순위,제목,저자,출판사,출간일,별점
73,코끼리도 장례식장에 간다,"케이틀린 오코넬 (지은이), 이선주 (옮긴이) ", 현대지성 , 2023년 1월,5.0
74,나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 , 2022년 12월,5.0
75,곽재식의 유령 잡는 화학자,곽재식 (지은이) , 김영사 , 2022년 10월,5.0
76,모기가 우리한테 해 준 게 뭔데?,"프라우케 피셔, 힐케 오버한스베르크 (지은이), 추미란 (옮긴이) ", 북트리거 , 2022년 11월,5.0
77,심리음향학,오세진 (지은이) , 시그마프레스 , 2014년 6월,4.0
78,클래식 파인만,"리처드 파인만, 랠프 레이턴 (지은이), 김희봉, 홍승우 (옮긴이) ", 사이언스북스 , 2018년 12월,4.5
79,작지만 큰 뇌과학 만화,"장이브 뒤우 (지은이), 최보민 (옮긴이) ", 김영사 , 2022년 7월,5.0
80,뇌,"모기 겐이치로 (지은이), 김선숙, 박주홍 (옮긴이) ", 성안당 , 2022년 10월,0.0
81,복잡계 개론,"윤영수, 채승병 (지은이) ", 삼성글로벌리서치 , 2022년 10월,4.5
82,넘버스,"케이스 데블린, 게리 로든 (지은이), 정경훈 (옮긴이) ", 바다출판사 , 2018년 1월,0.0
83,자동차 인터페이스 디자인,박수레 (지은이) , 책만 , 2022년 7월,5.0
84,동물지,"아리스토텔레스 (지은이), 서경주 (옮긴이), 김대웅 (해설) ", 노마드 , 2023년 2월,0.0
85,식물의 과학,"금종해, 강연실, 허준이 (지은이) ", 이음 , 2022년 3월,3.0
86,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 , 2023년 1월,0.0
87,패시브하우스 짓기,채완종 (지은이) , CIR(씨아이알) , 2020년 9월,0.0
88,양자 역학이란 무엇인가,"마이클 워커 (지은이), 조진혁 (옮긴이), 이강영 (감수) ", 처음북스 , 2023년 2월,5.0
89,맛의 원리,최낙언 (지은이) , 예문당 , 2022년 12월,0.0
90,내 마음을 담은 집,서현 (지은이) , 효형출판 , 2021년 11월,4.5
91,김남호의 F1 스토리,김남호 (지은이) , 42미디어콘텐츠 , 2023년 2월,0.0
92,전자공학 만능 레시피,"사이먼 몽크 (지은이), 이하영 (옮긴이) ", 인사이트 , 2022년 12월,0.0
93,사회과학 논문작성을 위한 연구방법론 : SPSS 활용방법,"이학식, 임지훈 (지은이) ", 집현재 , 2021년 3월,0.0
94,반드시 다가올 미래,남성현 (지은이) , 포르체 , 2022년 12월,5.0
95,간,"권수경 (옮긴이), 김헌수, 쿠리하라 타케시 (감수) ", 성안당 , 2023년 1월,5.0
96,인간과 동물의 감정 표현,"찰스 로버트 다윈 (지은이), 김성한 (옮긴이), 최재천 (감수), 다윈 포럼 (기획) ", 사이언스북스 , 2023년 2월,5.0
97,시간은 흐르지 않는다,"카를로 로벨리 (지은이), 이중원 (옮긴이) ", 쌤앤파커스 , 2019년 8월,4.0
98,미적분의 쓸모,한화택 (지은이) , 더퀘스트 , 2022년 5월,5.0
99,"지구는 괜찮아, 우리가 문제지",곽재식 (지은이) , 어크로스 , 2022년 2월,4.5
100,"나는 풍요로웠고, 지구는 달라졌다","호프 자런 (지은이), 김은령 (옮긴이) ", 김영사 , 2020년 9월,4.5
