순위,제목,저자,출판사,출간일,별점
75,따라 하는 기도 2,장재기 (지은이) , 규장(규장문화사) , 2022년 2월,4.0
76,모세의 코드,"제임스 타이먼 (지은이), 다니엘 최 (옮긴이) ", 행복우물 , 2023년 1월,4.5
77,왕의 십자가,"팀 켈러 (지은이), 정성묵 (옮긴이) ", 두란노 , 2022년 4월,5.0
78,하나님의 숨결,김병삼 (지은이) , 두란노 , 2023년 1월,5.0
79,결혼에 관하여,"팀 켈러, 캐시 켈러 (지은이), 윤종석 (옮긴이) ", 두란노 , 2020년 9월,5.0
80,"도마복음, 예수의 숨겨진 가르침",윤홍식 (지은이) , 봉황동래 , 2021년 12월,4.5
81,호흡하세요 그리고 미소지으세요,"타라 브랙 (지은이), 윤서인 (옮긴이) ", 불광출판사 , 2018년 7월,5.0
82,나는 괜찮은 사람입니다,"법륜 (지은이), 드로잉메리 (그림) ", 정토출판 , 2020년 12월,4.5
83,예수와 함께한 저녁식사,"데이비드 그레고리 (지은이), 서소울 (옮긴이) ", 포이에마 , 2016년 6월,4.0
84,내려놓음,이용규 (지은이) , 규장(규장문화사) , 2021년 4월,0.0
85,"휴먼디자인 시스템 : 동서양의 주역, 점성학, 카발라, 차크라가 통합된 비전","스티브 로즈 (지은이), 김종근, 박동화 (옮긴이) ", 물병자리 출판사 , 2022년 10월,4.5
86,예수님의 사람 : 인도자용 1,유기성 (지은이) , 위드지저스 , 2022년 9월,0.0
87,예수동행일기,유기성 (지은이) , 위드지저스 , 2021년 7월,0.0
88,베일 벗은 미스터리,"고드프리 레이 킹 (지은이), 이상범, 배민경 (옮긴이) ", 정신세계사 , 2022년 7월,3.5
89,[세트] 스토리텔링 성경 (총14권),"강정훈, 천종수, 김영진 (지은이) ", 성서원 , 2022년 3월,0.0
90,로또 당첨번호 내 꿈속에 있다 (완전판),새하얀 (지은이) , 다차원북스 , 2017년 8월,4.5
91,배철현의 요가수트라 강독 1 : 삼매,배철현 (지은이) , 김영사 , 2023년 1월,5.0
92,영원한 나를 찾아가는 여정,"킴 마이클즈 (지은이), 목현 (옮긴이) ", 아이앰출판사 , 2019년 3월,4.5
93,거기 계시는 하나님,프란시스 쉐퍼 (지은이) , 생명의말씀사 , 1995년 3월,0.0
94,물음에 답하다,조재욱 (지은이) , 두란노 , 2022년 4월,5.0
95,당신의 영원을 어디서 보낼 것인가? ,변승우 (엮은이) , 거룩한진주 , 2023년 1월,0.0
96,게리 콜린스의 코칭 바이블,"게리 R. 콜린스 (지은이), 양형주, 이규창 (옮긴이) ", IVP , 2017년 3월,0.0
97,당신 안의 평화,"조셉 머피 (지은이), 김민 (옮긴이) ", 서른세개의계단 , 2022년 6월,5.0
98,스토리텔링 성경 신약 5 : 사도행전,"강정훈, 천종수, 김영진 (지은이) ", 성서원 , 2021년 10월,5.0
99,단테의 신곡 상,"단테 알리기에리 (지은이), 최민순 (옮긴이) ", 가톨릭출판사 , 2019년 4월,4.5
100,불교를 꿰뚫다,등현 (지은이) , 불광출판사 , 2022년 11월,5.0
