순위,제목,저자,출판사,출간일,별점
85,아리스토텔레스 시학 (그리스어 원전 완역본),"아리스토텔레스 (지은이), 박문재 (옮긴이) ", 현대지성 , 2021년 3월,5.0
86,사랑 수업,윤홍균 (지은이) , 심플라이프 , 2020년 12월,4.5
87,자유로부터의 도피,"에리히 프롬 (지은이), 김석희 (옮긴이) ", 휴머니스트 , 2020년 9월,4.5
88,논어 - 손 안의 고전,황종원 (지은이) , 서책 , 2013년 1월,4.5
89,인생이 지옥처럼 느껴질 때,"마샤 리네한 (지은이), 박지니, 정미나 (옮긴이) ", 비잉(Being) , 2022년 4월,3.0
90,빈곤 과정,조문영 (지은이) , 글항아리 , 2022년 12월,4.0
91,지극히 사적인 러시아,벨랴코프 일리야 (지은이) , 틈새책방 , 2022년 7월,5.0
92,몸은 기억한다,"베셀 반 데어 콜크 (지은이), 제효영 (옮긴이), 김현수 (감수) ", 을유문화사 , 2021년 2월,4.5
93,사랑은 없다 : 쇼펜하우어 인생론 에세이,"아르투어 쇼펜하우어 (지은이), 이동진 (옮긴이) ", 해누리기획 , 2019년 10월,4.5
94,설득의 심리학 2 (개정판),"노아 골드스타인, 스티브 마틴, 로버트 치알디니 (지은이), 윤미나 (옮긴이) ", 21세기북스 , 2015년 1월,4.0
95,돌봄과 작업,"홍한별, 정서경, 서유미 (지은이) ", 돌고래 , 2022년 12월,4.5
96,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 , 2022년 7월,5.0
97,철학책 독서 모임,박동수 (지은이) , 민음사 , 2022년 6월,4.5
98,지극히 사적인 네팔,"수잔 샤키야, 홍성광 (지은이) ", 틈새책방 , 2022년 3월,5.0
99,아들러의 인간이해,"알프레드 아들러 (지은이), 홍혜경 (옮긴이) ", 을유문화사 , 2016년 9월,4.5
100,기분이 태도가 되지 않으려면,나겨울 (지은이) , 떠오름 , 2021년 12월,5.0
