순위,제목,저자,출판사,출간일,별점
89,어른의 중력,"사티아 도일 바이오크 (지은이), 임슬애 (옮긴이) ", 윌북 , 2022년 12월,4.5
90,새는 날아가면서 뒤돌아보지 않는다,류시화 (지은이) , 더숲 , 2017년 2월,4.5
91,기록하기로 했습니다.,김신지 (지은이) , 휴머니스트 , 2021년 3월,4.5
92,백석 평전,안도현 (지은이) , 다산책방 , 2014년 6월,4.5
93,따님이 기가 세요,하말넘많 (지은이) , 포르체 , 2021년 5월,5.0
94,쓸 만한 인간,박정민 (지은이) , 상상출판 , 2019년 9월,4.5
95,천 번의 죽음이 내게 알려준 것들,김여환 (지은이) , 포레스트북스 , 2021년 12월,5.0
96,저 별은 모두 당신을 위해 빛나고 있다,손힘찬(오가타 마리토) (지은이) , RISE(떠오름) , 2022년 5월,5.0
97,태도에 관하여,임경선 (지은이) , 한겨레출판 , 2018년 10월,4.0
98,상대적이며 절대적인 고양이 백과사전,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 , 2022년 12월,5.0
99,"꿈은 없고요, 그냥 성공하고 싶습니다",홍민지 (지은이) , 다산북스 , 2022년 3월,5.0
100,"스물아홉 생일, 1년 후 죽기로 결심했다 (스페셜 에디션 한정판)","하야마 아마리 (지은이), 장은주 (옮긴이) ", 예담 , 2021년 9월,4.0
