순위,제목,저자,출판사,출간일,별점
84,[세트] 대장간에서 시작하는 이세계 슬로 라이프 (총2권/미완결),"타마마루 (지은이), 킨타 (그림), 반기모 (옮긴이) ", 시프트노벨 , 2023년 2월,0.0
85,파트너는 초등학생 : 도서관 소녀는 신참 형사와 수수께끼를 푼다,"히즈키 유우 (지은이), 김해인 (옮긴이) ", ㈜소미미디어 , 2023년 2월,5.0
86,빙결경계의 에덴,"사자네 케이 (지은이), 카스카베 아키라 (그림), 엄태진 (옮긴이) ", 노블엔진 , 2022년 12월,5.0
87,매지컬★익스플로러,"이리스 (지은이), 칸나츠키 노보루 (그림) ", 시프트노벨 , 2022년 11월,0.0
88,"내가 연인이 될 수 있을 리 없잖아, 무리무리! (※무리가 아니었다?!)","미카미 테렌 (지은이), 타케시마 에쿠 (그림), 정백송 (옮긴이) ", ㈜소미미디어 , 2022년 3월,5.0
89,스파이 패밀리 소설 -가족의 초상-,"야지마 아야 (지은이), 엔도 타츠야 (원작) ", 학산문화사/DCW , 2022년 11월,5.0
90,"황금의 새장, 두 개의 열쇠",쇼콜라 (지은이) , 코르셋노블 , 2017년 10월,3.0
91,오크 영웅 이야기,"리후진 나 마고노테 (지은이), 아사나기 (그림), 손종근 (옮긴이) ", ㈜소미미디어 , 2022년 12월,5.0
92,[세트] 어둠의 실력자가 되고 싶어서! (총3권/미완결),Daisuke Aizawa/Touzai (지은이) , 제이노블 넥스트 , 2020년 5월,0.0
93,이상적인 기둥서방 생활,"와타나베 츠네히코 (지은이), 아야쿠라 쥬 (그림), 김정규 (옮긴이) ", 브이노블 , 2021년 10월,4.5
94,"세계 최고의 암살자, 이세계 귀족으로 전생하다","츠키요 루이 (지은이), 레이아 (그림), 송재희 (옮긴이) ", L노벨 , 2022년 11월,0.0
95,신들에게 주워진 남자,"Roy (지은이), 리린라 (그림), 권미량 (옮긴이) ", 서울문화사 , 2021년 3월,3.5
96,소드 오라토리아,"야스다 스즈히토, 하이무라 키요타카 (그림), 김민재 (옮긴이) ", ㈜소미미디어 , 2019년 12월,5.0
97,약캐 토모자키 군,"야쿠 유우키 (지은이), 박춘상 (옮긴이) ", ㈜소미미디어 , 2022년 10월,5.0
98,나에게 치트를,"온센타마고 (지은이), 우에다 료 (그림), 반기모 (옮긴이) ", 시프트노벨 , 2023년 1월,4.0
99,악덕 기사단의 노예가 착한 모험가 길드에 스카우트 되어 S랭크가 되었습니다,"지오 (지은이), 유우야 (그림), 박정철 (옮긴이) ", ㈜소미미디어 , 2023년 1월,0.0
100,진화의 열매,"미쿠 (지은이), U35 (그림), 송재희 (옮긴이) ", L노벨 , 2022년 9월,0.0
