,알라딘_순위,제목,알라딘_저자,알라딘_출판사,알라딘_출간일,알라딘_별점,알라딘_장르,상명장르,알라딘_가격
27,"

28.  
",꽃다발 봄 vol.1 꽃포장교실,플로라 편집부 (지은이) , 플로라 , 2018년 8월,0.0,요리/살림,가정/생활,"2,500"
28,"

29.  
",어떻게 먹을 것인가,"캐롤린 스틸 (지은이), 홍선영 (옮긴이) ", 메디치미디어 , 2023년 2월,0.0,요리/살림,가정/생활,"22,400"
29,"

30.  
",디디미니의 초간단 인생맛 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 빅피시 , 2021년 7월,5.0,요리/살림,가정/생활,"12,950"
30,"

31.  
",시미켄의 베스트 섹스,"시미즈 켄 (지은이), 김봄 (옮긴이) ", ㅁㅅㄴ , 2018년 2월,5.0,요리/살림,가정/생활,"12,000"
31,"

32.  
",아이주도 이유식 유아식 매뉴얼 (개정판),"BLW 연구소, 안소정 (지은이) ", 아퍼블리싱 , 2021년 10월,5.0,요리/살림,가정/생활,"18,000"
32,"

33.  
",잘 자고 잘 먹는 아기의 시간표,정재호 (지은이) , 한빛라이프 , 2014년 9월,5.0,요리/살림,가정/생활,"9,900"
33,"

34.  
",다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2021년 9월,4.5,요리/살림,가정/생활,"9,000"
34,"

35.  
","섹스, 그리고 카마수트라","바츠야야나 (지은이), 척 윌스 (엮은이), 엄성수 (옮긴이) ", 시그마북스 , 2015년 1월,2.5,요리/살림,가정/생활,"15,000"
35,"

36.  
",고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 위즈덤하우스 , 2018년 6월,4.5,요리/살림,가정/생활,"10,500"
36,"

37.  
",나는 질병없이 살기로 했다 : 독소를 청소하면 왜 병과 비만은 사라지는가,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 , 2020년 2월,5.0,요리/살림,가정/생활,"8,000"
37,"

38.  
",라임맘의 실패 없는 아이주도이유식 & 유아식,"옥한나 (지은이), 조애경 (감수) ", 중앙books(중앙북스) , 2021년 7월,5.0,요리/살림,가정/생활,"20,000"
38,"

39.  
",핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 , 2022년 7월,4.5,요리/살림,가정/생활,"11,900"
39,"

40.  
",세상에서 가장 맛있게 와인을 즐기는 방법,"휴 존슨 (지은이), 황근하 (옮긴이) ", 휴먼앤북스(Human&Books) , 2010년 10월,4.5,요리/살림,가정/생활,"7,500"
40,"

41.  
",섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 , 2014년 1월,4.0,요리/살림,가정/생활,"8,000"
41,"

42.  
",맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 , 2022년 6월,4.5,요리/살림,가정/생활,"12,950"
42,"

43.  
",만원으로 일주일 반찬 만들기,송혜영 (지은이) , 길벗 , 2020년 6월,5.0,요리/살림,가정/생활,"10,080"
43,"

44.  
",라미의 믿고 먹는 다이어트 레시피,이주아 (지은이) , 북테이블 , 2021년 8월,5.0,요리/살림,가정/생활,"12,600"
44,"

45.  
",정리 못하는 사람을 위한 정리책,"와타나베 아야 (지은이), 김수정 (옮긴이) ", 즐거운상상 , 2021년 5월,5.0,요리/살림,가정/생활,"9,800"
45,"

46.  
",만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 , 2019년 12월,4.5,요리/살림,가정/생활,"12,950"
46,"

47.  
",파스타 마스터 클래스,"백지혜 (지은이), 김보령 (사진) ", 세미콜론 , 2020년 8월,5.0,요리/살림,가정/생활,"12,600"
47,"

48.  
",2만원으로 일주일 집밥 만들기,송혜영 (지은이) , 길벗 , 2021년 11월,5.0,요리/살림,가정/생활,"11,760"
48,"

49.  
",정리 잘하는 사람은 이렇게 합니다,"고메다 마리나 (지은이), 박연정 (옮긴이) ", 한빛라이프 , 2022년 1월,5.0,요리/살림,가정/생활,"10,800"
49,"

50.  
",슈가레인 카페 디저트 클래스,조한빛 (지은이) , 비타북스 , 2022년 3월,5.0,요리/살림,가정/생활,"12,600"
50,"

51.  
",와인 상식사전,이기태 (지은이) , 길벗 , 2017년 6월,4.5,요리/살림,가정/생활,"11,600"
51,"

52.  
",피부에 헛돈 쓰지 마라,"옥지윤, 함익병 (지은이) ", 중앙books(중앙북스) , 2015년 7월,4.5,요리/살림,가정/생활,"10,500"
52,"

53.  
",지금은 섹스를 배울 시간,조명준 (지은이) , 성안당 , 2013년 7월,4.5,요리/살림,가정/생활,"7,800"
53,"

54.  
",안 먹는 아이도 바쁜 엄마도 반한 엘리네 미국 유아식,스마일 엘리 (지은이) , 세종(세종서적) , 2022년 1월,5.0,요리/살림,가정/생활,"13,300"
54,"

55.  
",집값 높여도 잘 팔리는 부동산 인테리어 : 삼성물산 출신의 인테리어 전문가가 알려 주는 부동산 인테리어의 모든 것,남경엽 (지은이) , 아라크네 , 2018년 12월,5.0,요리/살림,가정/생활,"12,600"
55,"

56.  
",아하부장의 맛,아하부장 (지은이) , 프롬비 , 2021년 11월,5.0,요리/살림,가정/생활,"17,000"
56,"

57.  
",내 몸에 착한 매일 저염식,이정민 (지은이) , 니들북 , 2015년 1월,4.5,요리/살림,가정/생활,"6,500"
57,"

58.  
",딱 1년만 옷 안 사고 살아보기,임다혜 (지은이) , 잇콘 , 2020년 9월,4.0,요리/살림,가정/생활,"9,450"
58,"

59.  
",맛있고 배부른 다노 다이어트 레시피,"이지수, 이애리 (지은이) ", 세미콜론 , 2021년 8월,5.0,요리/살림,가정/생활,"13,300"
59,"

60.  
",커피인문학,"박영순 (지은이), 유사랑 (그림) ", 인물과사상사 , 2018년 1월,4.0,요리/살림,가정/생활,"13,300"
60,"

61.  
",집밥이 더 맛있어지는 명랑쌤 비법 국물요리,명랑쌤(이혜원) (지은이) , 레시피팩토리 , 2021년 2월,5.0,요리/살림,가정/생활,"9,660"
61,"

62.  
",도해 사케,"키미지마 사토시 (지은이), 기미정 (옮긴이), 노자키 히로미츠 (감수) ", AK(에이케이)커뮤니케이션즈 , 2015년 6월,0.0,요리/살림,가정/생활,"9,100"
62,"

63.  
",1일 1쓰레기 1제로,"캐서린 켈로그 (지은이), 박여진 (옮긴이) ", 현대지성 , 2022년 10월,5.0,요리/살림,가정/생활,"11,000"
63,"

64.  
",자연식물식 다이어트 30일 챌린지,오공삼(오영세) (지은이) , 21세기북스 , 2020년 1월,4.5,요리/살림,가정/생활,"11,040"
64,"

65.  
",셀러리 주스,"앤서니 윌리엄 (지은이), 황은정 (옮긴이) ", 샨티 , 2022년 5월,4.0,요리/살림,가정/생활,"18,000"
65,"

66.  
",코바늘 수세미 원데이 클래스,이서진 (지은이) , 길벗 , 2022년 1월,5.0,요리/살림,가정/생활,"10,500"
66,"

67.  
",맛있게 쓴 옥주부 레시피 100,정종철 (지은이) , 중앙books(중앙북스) , 2021년 6월,5.0,요리/살림,가정/생활,"14,400"
67,"

68.  
",와인이 있는 100가지 장면,"엄정선, 배두환 (지은이), 박이수(박수정) (그림) ", 보틀프레스 , 2021년 9월,5.0,요리/살림,가정/생활,"15,120"
68,"

69.  
",마음이 단단해지는 살림,강효진(보통엄마jin) (지은이) , 비타북스 , 2022년 2월,5.0,요리/살림,가정/생활,"10,500"
69,"

70.  
",에어프라이어로 시작하는 건강 다이어트 요리,김희영 (지은이) , 레시피팩토리 , 2020년 11월,5.0,요리/살림,가정/생활,"9,660"
70,"

71.  
",이정현의 집밥레스토랑,이정현 (지은이) , 서사원 , 2020년 4월,4.0,요리/살림,가정/생활,"15,400"
71,"

72.  
",결혼은 환상이고 부부는 현실이다,공진수 (지은이) , 마음책방 , 2022년 2월,5.0,요리/살림,가정/생활,"10,360"
72,"

73.  
",전셋집이 특별해지는 28가지 인테리어 아이디어,조선이북 편집팀 (지은이) , 조선매거진(조선미디어) , 2013년 6월,0.0,요리/살림,가정/생활,500
73,"

74.  
",베이킹 하다 앳 홈,박정아 (지은이) , 중앙books(중앙북스) , 2022년 2월,5.0,요리/살림,가정/생활,"14,400"
74,"

75.  
","엄마니까 뚝딱, 내 아이의 아침밥 PART 01 Spring",다소마미 (지은이) , 위즈덤스타일 , 2014년 11월,4.5,요리/살림,가정/생활,"2,940"
75,"

76.  
",최고의 당뇨 밥상,마켓온오프 (지은이) , 리스컴 , 2021년 3월,4.5,요리/살림,가정/생활,"10,200"
76,"

77.  
",나를 만져요 : 내 남자를 사로잡는 은밀한 섹스의 기술,사막여우 ,, 2013년 10월,4.0,요리/살림,가정/생활,"5,800"
77,"

78.  
",사랑을 부르는 커플마사지 : Love in touch,전유진. 전동석 공저 (지은이) , 21세기북스 , 2012년 12월,0.0,요리/살림,가정/생활,"3,300"
78,"

79.  
",반죽부터 다시 시작하는 파운드케이크,하영아 (지은이) , 길벗 , 2021년 10월,5.0,요리/살림,가정/생활,"11,900"
79,"

80.  
",나만의 시크릿 홈카페,예나 (지은이) , 레시피팩토리 , 2021년 5월,5.0,요리/살림,가정/생활,"11,060"
80,"

81.  
",샐러드에 반하다,장연정 (지은이) , 리스컴 , 2015년 6월,5.0,요리/살림,가정/생활,"8,400"
81,"

82.  
",부부 같이 사는 게 기적입니다,김용태 (지은이) , 덴스토리(Denstory) , 2018년 2월,4.0,요리/살림,가정/생활,"9,660"
82,"

83.  
",무궁무진한 김밥의 맛,레시피팩토리 라이브러리 (엮은이) , 레시피팩토리 , 2017년 11월,4.5,요리/살림,가정/생활,"6,160"
83,"

84.  
","샐러드가 필요한 모든 순간, 나만의 드레싱이 빛나는 순간",지은경 (지은이) , 레시피팩토리 , 2022년 11월,4.5,요리/살림,가정/생활,"11,760"
84,"

85.  
","엄마니까 뚝딱, 내 아이의 아침밥 PART 04 Winter",다소마미 (지은이) , 위즈덤스타일 , 2014년 11월,4.5,요리/살림,가정/생활,"2,940"
85,"

86.  
",키토 한식,박지아 (지은이) , 경향BP , 2022년 3월,5.0,요리/살림,가정/생활,"11,800"
86,"

87.  
",혜니쿡의 파스타 다이어리,전혜원(혜니쿡) (지은이) , 책밥 , 2022년 4월,5.0,요리/살림,가정/생활,"13,000"
87,"

88.  
",불같은 여자 얼음같은 남자 : 연애 사랑 그리고 행복한 부부생활을 위한 최고의 지침서,"존 그레이 (지은이), 송인선 (옮긴이) ", 서영 , 2014년 9월,4.5,요리/살림,가정/생활,"9,600"
88,"

89.  
",반찬 없이도 테이블이 완벽해지는 솥밥,킴스쿠킹 (지은이) , 길벗 , 2019년 11월,5.0,요리/살림,가정/생활,"11,900"
89,"

90.  
",내 남자가 원하는 오 마이 섹스,윤수은 (지은이) , 21세기북스 , 2013년 4월,0.0,요리/살림,가정/생활,"5,000"
90,"

91.  
",위스키 테이스팅 코스,"에디 러들로 (지은이), 임지연 (옮긴이) ", 시그마북스 , 2022년 9월,5.0,요리/살림,가정/생활,"18,200"
91,"

92.  
",결,"고현정 (지은이), 조애경 (감수) ", 중앙M&B , 2011년 5월,4.5,요리/살림,가정/생활,"9,000"
92,"

93.  
",[고화질] R선생님의 간식,"후쿠다 리카 (글), 쿠모타 하루코 (그림) ", artePOP(아르테팝) , 2019년 11월,4.5,요리/살림,가정/생활,"9,600"
93,"

94.  
",한 권으로 끝내는 와인특강,전상헌 (지은이) , 예문 , 2021년 8월,5.0,요리/살림,가정/생활,"27,000"
94,"

95.  
",비만의 종말,"가쓰 데이비스 (지은이), 강신원, 김진영 (옮긴이) ", 사이몬북스 , 2021년 4월,5.0,요리/살림,가정/생활,"8,000"
95,"

96.  
",인생을 바꾸고 싶다면 서랍부터 정리하세요,이은영(더 프레젠트) (지은이) , 21세기북스 , 2022년 12월,4.5,요리/살림,가정/생활,"14,240"
96,"

97.  
",관계 디자인,박소영 (지은이) , 부커 , 2021년 8월,5.0,요리/살림,가정/생활,"10,500"
97,"

98.  
",남성패션 스타일 1,장창훈 (지은이) , 미디어북 , 2021년 1월,0.0,요리/살림,가정/생활,"1,000"
98,"

99.  
",더 가벼운 샌드위치,레시피팩토리 라이브러리 (엮은이) , 레시피팩토리 , 2018년 4월,5.0,요리/살림,가정/생활,"6,860"
99,"

100.  
",벤꾸리 가계부 다이어리,벤꾸리 (지은이) , 시원북스 , 2022년 11월,4.5,요리/살림,가정/생활,"11,900"
100,"

1.  
",당신도 느리게 나이 들 수 있습니다,정희원 (지은이) , 더퀘스트 , 2023년 1월,5.0,건강/취미,가정/생활,"14,240"
101,"

2.  
",음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 , 2023년 1월,4.5,건강/취미,가정/생활,"12,600"
102,"

3.  
",백년 목,정선근 (지은이) , 사이언스북스 , 2018년 7월,4.0,건강/취미,가정/생활,"12,000"
103,"

4.  
",고통의 비밀,"몬티 라이먼 (지은이), 박선영 (옮긴이) ", 상상스퀘어 , 2022년 11월,5.0,건강/취미,가정/생활,"13,230"
104,"

5.  
",비만코드,"제이슨 펑 (지은이), 제효영 (옮긴이) ", 시그마북스 , 2018년 11월,4.5,건강/취미,가정/생활,"11,200"
105,"

6.  
",식사가 잘못됐습니다,"마키타 젠지 (지은이), 전선영 (옮긴이), 강재헌 (감수) ", 더난출판사 , 2018년 10월,4.0,건강/취미,가정/생활,"10,150"
106,"

7.  
",건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 , 2022년 7월,5.0,건강/취미,가정/생활,"15,000"
107,"

8.  
",열방약국 유방암 상담소,김훈하 (지은이) , 리더북스 , 2022년 1월,5.0,건강/취미,가정/생활,"10,000"
108,"

9.  
",환자혁명,조한경 (지은이) , 에디터 , 2017년 11월,4.5,건강/취미,가정/생활,"10,500"
109,"

10.  
",김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 , 2022년 1월,4.5,건강/취미,가정/생활,"13,800"
110,"

11.  
",염증 해방,정세연 (지은이) , 다산라이프 , 2022년 11월,5.0,건강/취미,가정/생활,"12,600"
111,"

12.  
",나는 당신이 오래오래 걸었으면 좋겠습니다,"다나카 나오키 (지은이), 송소정 (옮긴이) ", 포레스트북스 , 2018년 5월,4.5,건강/취미,가정/생활,"9,500"
112,"

13.  
",헬스는 쪼렙입니다만,수피 (지은이) , 한문화 , 2023년 1월,0.0,건강/취미,가정/생활,"10,500"
113,"

14.  
",핏블리의 헬스 다이어트 전략집,핏블리(문석기) (지은이) , 비타북스 , 2021년 6월,5.0,건강/취미,가정/생활,"10,500"
114,"

15.  
",지방 대사 켜는 스위치온 다이어트,박용우 (지은이) , 루미너스 , 2019년 1월,4.5,건강/취미,가정/생활,"9,800"
115,"

16.  
",STOP! SMOKING : 스탑 스모킹,"알렌 카 (지은이), 심교준 (옮긴이) ", 한언출판사 , 2015년 6월,4.5,건강/취미,가정/생활,"8,900"
116,"

17.  
",헬스의 정석 : 이론편,수피 (지은이) , 한문화 , 2019년 10월,5.0,건강/취미,가정/생활,"17,500"
117,"

18.  
",된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0,건강/취미,가정/생활,"12,000"
118,"

19.  
",자율신경계,"고바야시 히로유키 (지은이), 박주홍 (감수) ", 성안당 , 2022년 12월,4.5,건강/취미,가정/생활,"7,800"
119,"

20.  
",미라클 브레인 푸드,"우마 나이두 (지은이), 김지혜 (옮긴이) ", 북라이프 , 2021년 5월,5.0,건강/취미,가정/생활,"13,860"
120,"

21.  
",요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 , 2023년 1월,5.0,건강/취미,가정/생활,"12,600"
121,"

22.  
",노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 , 2020년 8월,4.0,건강/취미,가정/생활,"15,500"
122,"

23.  
",피톨로지 피트니스 영양학,"이호욱, 정자람 (지은이) ", 예문당 , 2021년 9월,3.5,건강/취미,가정/생활,"11,000"
123,"

24.  
",식사가 잘못됐습니다 2 실천편,"마키타 젠지 (지은이), 강재헌 (감수) ", 더난출판 , 2020년 12월,4.5,건강/취미,가정/생활,"10,500"
124,"

25.  
",건강과 치유의 비밀,"안드레아스 모리츠 (지은이), 정진근 (옮긴이) ", 에디터 , 2020년 11월,5.0,건강/취미,가정/생활,"22,800"
125,"

26.  
",당뇨코드 : 제2형 당뇨병의 예방과 자연 치유 안내서,"제이슨 펑 (지은이), 이문영 (옮긴이), 이영훈 (감수) ", 라이팅하우스 , 2020년 2월,4.5,건강/취미,가정/생활,"13,500"
126,"

27.  
",아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 4월,5.0,건강/취미,가정/생활,"14,000"
127,"

28.  
",30일 5분 달리기,김성우 (지은이) , HB PRESS , 2021년 9월,5.0,건강/취미,가정/생활,"11,200"
128,"

29.  
",배철현의 요가수트라 강독 1 : 삼매,배철현 (지은이) , 김영사 , 2023년 1월,5.0,건강/취미,가정/생활,"15,300"
129,"

30.  
",브레인 리부트,"크리스틴 윌르마이어 (지은이), 김나연 (옮긴이) ", 부키 , 2023년 2월,5.0,건강/취미,가정/생활,"13,000"
130,"

31.  
",김남호의 F1 스토리,김남호 (지은이) , 42미디어콘텐츠 , 2023년 2월,0.0,건강/취미,가정/생활,"38,000"
131,"

32.  
",맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 , 2020년 7월,5.0,건강/취미,가정/생활,"12,250"
132,"

33.  
",헬스의 정석 : 근력운동편,수피 (지은이) , 한문화 , 2016년 7월,5.0,건강/취미,가정/생활,"17,000"
133,"

34.  
",다이어트 말고 직관적 식사,"에블린 트리볼리, 엘리스 레시 (지은이), 정지현 (옮긴이) ", 골든어페어 , 2019년 5월,5.0,건강/취미,가정/생활,"15,000"
134,"

35.  
",축구를 하며 생각한 것들,손흥민 (지은이) , 브레인스토어 , 2022년 11월,4.5,건강/취미,가정/생활,"12,600"
135,"

36.  
",소식주의자,미즈노 남보쿠 (지은이) , 사이몬북스 , 2022년 5월,4.5,건강/취미,가정/생활,"9,000"
136,"

37.  
",그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 , 2014년 10월,4.0,건강/취미,가정/생활,"5,000"
137,"

38.  
",치매의 거의 모든 기록,"웬디 미첼 (지은이), 조진경 (옮긴이) ", 문예춘추사 , 2022년 10월,5.0,건강/취미,가정/생활,"10,080"
138,"

39.  
",네 가지 질문 : 내 삶을 바꾸는 경이로운 힘,"스티븐 미첼, 바이런 케이티 (지은이), 김윤 (옮긴이) ", 침묵의향기 , 2020년 2월,5.0,건강/취미,가정/생활,"10,500"
139,"

40.  
",독소를 비우는 몸,"지미 무어, 제이슨 펑 (지은이), 이문영 (옮긴이), 양준상 (감수) ", 라이팅하우스 , 2018년 8월,4.5,건강/취미,가정/생활,"15,000"
140,"

41.  
",섹스의 기술 (합본),이영기 (지은이) , 볼륨 , 2012년 8월,0.0,건강/취미,가정/생활,"25,000"
141,"

42.  
",SNPE 바른자세 척추운동  : 100세  시대 현대인들의 필수 운동,"윤지유, 최중기 (지은이) ", 바른몸만들기 , 2020년 2월,5.0,건강/취미,가정/생활,"18,000"
142,"

43.  
",나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 6월,5.0,건강/취미,가정/생활,"9,900"
143,"

44.  
",당신이 플라시보다,"조 디스펜자 (지은이), 추미란 (옮긴이) ", 샨티 , 2022년 5월,4.5,건강/취미,가정/생활,"20,000"
144,"

45.  
",차민수 TEXAS HOLD'EM,차민수 (지은이) , 티나 , 2021년 10월,4.0,건강/취미,가정/생활,"17,100"
145,"

46.  
",먹고 단식하고 먹어라,"브래드 필론 (지은이), 박종윤 (옮긴이), 고수민 (감수) ", 36.5 , 2013년 6월,4.5,건강/취미,가정/생활,"11,200"
146,"

47.  
",오래도록 젊음을 유지하고 건강하게 죽는 법,"스티븐 R. 건드리 (지은이), 박선영 (옮긴이), 이용승 (감수) ", 브론스테인 , 2019년 12월,4.5,건강/취미,가정/생활,"12,420"
147,"

48.  
",처음 만나는 알렉산더 테크닉,김수연 (지은이) , 판미동 , 2022년 5월,5.0,건강/취미,가정/생활,"13,230"
148,"

49.  
",의사에게 살해당하지 않는 47가지 방법,"곤도 마코토 (지은이), 이근아 (옮긴이) ", 더난출판사 , 2019년 6월,4.0,건강/취미,가정/생활,"9,100"
149,"

50.  
",가장 쉬운 8체질 자가진단,이상원 (지은이) , 문예춘추사 , 2021년 5월,5.0,건강/취미,가정/생활,"10,800"
150,"

51.  
",감정 식사,"수잔 앨버스 (지은이), 강유리 (옮긴이), 유은정 (감수) ", 생각속의집 , 2018년 7월,5.0,건강/취미,가정/생활,"9,800"
151,"

52.  
",몸이 아니라고 말할 때,"게이버 메이트 (지은이), 류경희 (옮긴이), 정현채 (감수) ", 김영사 , 2015년 9월,4.5,건강/취미,가정/생활,"10,710"
152,"

53.  
",의사의 반란,신우섭 (지은이) , 에디터 , 2014년 11월,4.5,건강/취미,가정/생활,"8,400"
153,"

54.  
",체스 챔피언,김도윤 (지은이) , 성안당 , 2022년 8월,5.0,건강/취미,가정/생활,"17,600"
154,"

55.  
",힐링 코드,"알렉산더 로이드, 벤 존슨 (지은이), 이문영 (옮긴이) ", 시공사 , 2022년 8월,4.5,건강/취미,가정/생활,"11,800"
155,"

56.  
",호르몬과 건강의 비밀,요하네스 뷔머 (지은이) , 현대지성 , 2020년 12월,5.0,건강/취미,가정/생활,"9,000"
156,"

57.  
",케톤하는 몸 : Dr.머콜라의 최강의 저탄고지 교과서,"조셉 머콜라 (지은이), 김보은 (옮긴이), 이영훈 (감수) ", 판미동 , 2020년 1월,5.0,건강/취미,가정/생활,"11,850"
157,"

58.  
",축구직업설명서,"김환, 정다워 (지은이) ", 풋볼리스트 , 2016년 12월,4.5,건강/취미,가정/생활,"9,900"
158,"

59.  
",최현우의 마법 타로,최현우 (지은이) , 넥서스BOOKS , 2020년 12월,4.5,건강/취미,가정/생활,"11,600"
159,"

60.  
",올어바웃바디,이낙림 (지은이) , 치읓 , 2019년 1월,4.5,건강/취미,가정/생활,"9,180"
160,"

61.  
",하루 한 끼의 기적,이태근 (지은이) , 정신세계사 , 2016년 12월,4.0,건강/취미,가정/생활,"8,400"
161,"

62.  
",젊음은 나이가 아니라 호르몬이 만든다,안철우 (지은이) , 비타북스 , 2018년 1월,5.0,건강/취미,가정/생활,"9,600"
162,"

63.  
",운동 말고 움직임 리셋,홍정기 (지은이) , EBS BOOKS , 2022년 1월,5.0,건강/취미,가정/생활,"11,200"
163,"

64.  
",신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 , 2022년 5월,0.0,건강/취미,가정/생활,"13,200"
164,"

65.  
",골프 룰 이것만 알면 된다 2019 大개정,김해환 (지은이) , 골프아카데미 , 2019년 6월,0.0,건강/취미,가정/생활,"8,500"
