yes24_rank,title,yes24_writer,yes24_company,yes24_date,yes24_price,yes24_star_content,yes24_star_edit,yes24_gener,sm_gener
84,      새장 속의 딸                                , 진수성찬 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,"2,700원",3,3,로맨스,문학
85,      아가씨의 산란 1부                                , 율다 저                                                            , 로튼로즈                                        , 2023년 01월                                 ,"1,000원",4,4,로맨스,문학
86,      트위스트 러브                                , 얍스 저                                                            , 동아                                        , 2023년 02월                                 ,"2,700원",4,4,로맨스,문학
87,      나의 아빠 , 탱글탱글 저                                                            , 로튼로즈                                        , 2022년 12월                                 ,"1,000원",3,3,로맨스,문학
88,      내게 빌어봐                                   , 리베냐 저                                                            , 마담드디키                                        , 2022년 07월                                 ,"5,200원",4,4,로맨스,문학
89,      위태로운                                , 고성후 저                                                            , 텐북                                        , 2021년 03월                                 ,"3,300원",4,4,로맨스,문학
90,      십년지기 결혼식                                , 마뇽 저                                                            , 피플앤스토리                                        , 2023년 02월                                 ,"1,980원",3,3,로맨스,문학
91,      회사를 다닙시다                                , 우지혜 저                                                            , 플로레뜨                                        , 2022년 10월                                 ,"3,500원",4,4,로맨스,문학
92,      실버 트리                                   , 윤소리 저                                                            , 퀸즈셀렉션                                        , 2022년 09월                                 ,"3,200원",4,4,로맨스,문학
93,      주인과 노예의 변증법                                   , 이정운 저                                                            , 가하                                        , 2022년 03월                                 ,"3,400원",4,4,로맨스,문학
94,      그 겨울의 순정                                   , 채은 저                                                            , 텐북                                        , 2022년 05월                                 ,"4,500원",4,4,로맨스,문학
95,       세트  파혼은 어떻게 하나요   총3권    , 강하다 저                                                            , 하트퀸                                        , 2023년 02월                                 ,"8,370원",0,0,로맨스,문학
96,      소꿉친구 공략기                                , 곽두팔 저                                                            , 미스틱레드                                        , 2022년 09월                                 ,"3,200원",4,4,로맨스,문학
97,      품격을 배반한다                                   , 김빠 저                                                            , 로즈엔                                        , 2022년 08월                                 ,"3,200원",4,4,로맨스,문학
98,      이 결혼은 어차피 망하게 되어 있다                                   , 김차차 저                                                            , 서커스                                        , 2021년 05월                                 ,"6,660원",4,4,로맨스,문학
99,      지금은 XX물 소리 녹음중입니다                                , 벌리바바 저                                                            , 로튼로즈                                        , 2023년 02월                                 ,900원,0,0,로맨스,문학
100,      타락한 땅에도 꽃은 피는가                                   , 이낙낙 저                                                            , 에이블                                        , 2023년 02월                                 ,"3,200원",4,4,로맨스,문학
1,       BL  데이 브레이커                                , 체레네 저                                                            , 문라이트북스                                        , 2018년 01월                                 ,"3,000원",4,4,BL,문학
2,      라디오 스톰                                   , 팀 S S 저                                                            , 북극여우                                        , 2022년 09월                                 ,500원,0,0,BL,문학
3,       BL  파이브 바이 파이브 5x5                                    , 이소한 저                                                            , 텐북                                        , 2022년 08월                                 ,"4,800원",4,4,BL,문학
4,       BL  동티                                , 소조금 저                                                            , 모드                                        , 2022년 09월                                 ,"3,000원",4,4,BL,문학
5,       BL  시나몬 캔디                                , Whale 저                                                            , 모드                                        , 2022년 11월                                 ,"3,600원",4,4,BL,문학
6,       BL  연애제한구역                                   , 단비 저                                                            , 비욘드                                        , 2022년 08월                                 ,500원,0,0,BL,문학
7,      체크 메이트 , 탄 저                                                            , 키다리스튜디오                                        , 2020년 08월                                 ,600원,5,5,BL,문학
8,      Wet Sand    샌드  , DOYAK 도약  글그림                                                            , 두세븐 엔터테인먼트                                        , 2022년 09월                                 ,600원,0,0,BL,문학
9,       연재  너를 기다려 , 이현숙 글그림                                                            , 대원씨아이                                        , 2022년 05월                                 ,500원,5,5,BL,문학
10,       BL  그놈이 그놈이다                                , 차선 저                                                            , BLYNUE 블리뉴                                        , 2023년 02월                                 ,"3,700원",5,5,BL,문학
11,       BL  센차 레플리카                                   , 서니주 저                                                            , BLYNUE 블리뉴                                        , 2023년 02월                                 ,"3,800원",4,4,BL,문학
12,      남의 BL만화                                   , 보바리 글그림                                                            , 북큐브네트웍스                                        , 2021년 08월                                 ,400원,0,0,BL,문학
13,       루비  피지 않는 꽃에 물 주기                                   , 아가 나오미 저 yoshi 글그림                                                            , 현대지능개발사                                        , 2023년 02월                                 ,"2,520원",4,4,BL,문학
14,      꿈자리가 이상한데요   , 흰귀 저                                                            , 북극여우                                        , 2021년 02월                                 ,600원,0,0,BL,문학
15,       BL  서퍼   스토커 헌터지만 육아하고 있습니다                                    , 글먹SS 저                                                            , 더클북컴퍼니                                        , 2023년 02월                                 ,"4,200원",4,4,BL,문학
16,       BL  풀 블룸 Full bloom                                    , 구부 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,300원",4,4,BL,문학
17,       BL  주먹 구십구                                , 마연 저                                                            , 블러쉬                                        , 2022년 01월                                 ,"3,200원",4,4,BL,문학
18,       BL  스파이게임                                   , 바크베 저                                                            , 피아체                                        , 2021년 10월                                 ,"3,200원",4,4,BL,문학
19,      빅 애플 Big Apple                                    , 하루사리 저 호돗 그림                                                            , 비숲                                        , 2022년 09월                                 ,500원,0,0,BL,문학
20,       BL  이리 오너라  업고 놀자 , 바트 저                                                            , 가하 웹툰                                        , 2019년 07월                                 ,600원,5,5,BL,문학
21,       연재   BL  온 오어 오프  완전판    크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , A1 그림                                                            , 디앤씨웹툰비즈                                        , 2020년 09월                                 ,500원,4,4,BL,문학
22,       BL  인투 더 쓰릴 Into the thrill          크레마 3만원 이상 구매 시 디즈니 북램프 윤동주 팔각머그 택1 증정  포인트차감  한정수량                               , leefail 저                                                            , 블루코드                                        , 2020년 01월                                 ,"4,200원",4,4,BL,문학
23,       대여   루비  투명한 사랑의 그릇  한정판                                 , hitomi 글그림                                                            , 현대지능개발사                                        , 2023년 02월                                 ,"1,440원",4,4,BL,문학
24,      라라의 결혼 , 타메코우 글그림                                                            , 블랑코믹스                                        , 2020년 02월                                 ,"3,780원",4,4,BL,문학
25,       BL  미필적 고의에 의한 연애사   확정적 고의에 의한 연애사                                   , 우주토깽 저                                                            , 비욘드                                        , 2019년 02월                                 ,"4,500원",4,4,BL,문학
26,       연재   BL  마도조사 , 묵향동후 원작      광풍취고당 그림 저                                                            , B Lab 비랩코믹스                                         , 2020년 09월                                 ,300원,5,5,BL,문학
27,       BL  다정도 병인 양하여                                , Fensterrahmen 저                                                            , B cafe                                        , 2017년 08월                                 ,"3,000원",4,4,BL,문학
28,       BL  향현문자                                , 채팔이 저                                                            , 필연매니지먼트                                        , 2023년 02월                                 ,"4,200원",4,4,BL,문학
29,       BL  신입사원                                   , 제크  모스카레토 저                                                            , 비욘드                                        , 2022년 06월                                 ,600원,0,0,BL,문학
30,      킬 더 라이츠 , 장량 저 밍크 글그림                                                            , 비숲                                        , 2021년 07월                                 ,500원,0,0,BL,문학
31,       BL  오메가X알파 조교일지 , 썸머린 저                                                            , 여름의BL                                        , 2021년 03월                                 ,"1,000원",4,4,BL,문학
32,       BL  와이드 오픈                                , 바크베 저                                                            , BLYNUE 블리뉴                                        , 2023년 01월                                 ,"3,600원",4,4,BL,문학
33,       연재  일요일의 위로 , 사밀 저 한우주 글그림                                                            , 대원씨아이                                        , 2022년 09월                                 ,500원,0,0,BL,문학
34,       BL  문장                                , hologramm 저                                                            , 고렘팩토리                                        , 2021년 12월                                 ,"3,700원",4,4,BL,문학
35,       세트   BL  세컨드 러브 송 Second love song   총5권    , 코르테즈 저                                                            , MANZ                                         , 2023년 02월                                 ,"14,040원",0,0,BL,문학
36,      하절기 , 이로밀 원저 절구 글 밍구르 그림                                                            , 북극여우                                        , 2022년 08월                                 ,600원,0,0,BL,문학
37,       컬러 연재  영원한 계약 , 해진 글그림                                                            , 앤드비                                        , 2021년 12월                                 ,600원,0,0,BL,문학
38,       BL  조교 실격                                   , 쇼베 저                                                            , 시크노블                                        , 2023년 01월                                 ,"3,500원",4,4,BL,문학
39,       BL  11번째 수학여행                                   , 도해늘 저                                                            , 텐북                                        , 2022년 07월                                 ,"4,200원",4,4,BL,문학
40,      스윙 배이비                                   , 무단 글그림                                                            , 북큐브네트웍스                                        , 2021년 11월                                 ,400원,0,0,BL,문학
41,      Wet Sand    샌드  22화                                , DOYAK 저                                                            , 두세븐 엔터테인먼트                                        , 2023년 02월                                 ,600원,0,0,BL,문학
42,       BL  크리스마스 미라클                                , 제노리노 저                                                            , 모드                                        , 2021년 12월                                 ,"4,200원",4,4,BL,문학
