rank,title,writer,company,date,price,star_content,star_edit
54, eBook     단독  아이에게 주는 감정 유산   가족심리학자 엄마가 열어준 마음 성장의 힘  단독 선출간   EPUB                              , 이남옥 저                                                            , 라이프앤페이지                                        , 2023년 02월                                 ,"10,710원",0,0
55, eBook    마음 가면   수치심  불안  강박에 맞서는 용기의 심리학 EPUB                              , 브레네 브라운 저 안진이 역                                                            , 웅진지식하우스                                        , 2023년 02월                                 ,"11,340원",0,0
56, eBook    메이드 EPUB                              , 니타 프로스 저 노진선 역                                                            , 마시멜로                                        , 2023년 02월                                 ,"12,100원",0,0
57, eBook     대여  종이학 살인사건 EPUB                              , 치넨 미키토 저 권하영 역                                                            , 북플라자                                        , 2022년 10월                                 ,"5,750원",5,4
58, eBook     대여  형사의 분노 EPUB                              , 야쿠마루 가쿠 저 남소현 역                                                            , 북플라자                                        , 2022년 11월                                 ,"5,750원",0,0
59, eBook    인생을 숙제처럼 살지 않기로 했다   힘 빼고 유연하게  모든 순간을 파도 타듯 즐기는 심리 수업 EPUB                              , 웃따 저                                                            , 다산북스                                        , 2023년 02월                                 ,"10,710원",5,5
60, eBook     대여  살육에 이르는 병 EPUB                              , 아비코 다케마루 저 권일영 역                                                            , 검은숲                                        , 2022년 11월                                 ,"4,200원",3,3
61, eBook     대여  염증 해방   병 없이 오래 사는 사람들의 비밀 mp3                              , 정세연 저                                                            , 다산라이프                                        , 2022년 11월                                 ,500원,0,0
62, eBook    진짜 미국 영어 2023년 2월호 PDF                              ,                                  김교포  로라                                                            , 동아출판                                        , 2023년 01월                                 ,"6,400원",5,5
63, eBook    인생의 역사    공무도하가 에서  사랑의 발명 까지 EPUB                              , 신형철 저                                                            , 난다                                        , 2022년 12월                                 ,"12,600원",0,0
64, eBook    아파트 투자는 사이클이다   주식과 비교하면 더 쉽게 이해되는 EPUB                              , 이현철 저                                                            , 여의도책방                                        , 2022년 11월                                 ,"14,000원",5,5
65, eBook    거의 모든 일상 표현의 영어 PDF                              , 케빈 강 해나 변 저                                                            , 사람in                                        , 2022년 11월                                 ,"11,900원",5,5
66, eBook    사람을 얻는 지혜 EPUB                              , 발타자르 그라시안 저 김유경 역                                                            , 현대지성                                        , 2022년 10월                                 ,"6,900원",5,5
67, eBook    스틱    1초 만에 착 달라붙는 메시지  그 안에 숨은 6가지 법칙 EPUB                              , 칩 히스 댄 히스 저 안진환 박슬라 역                                                            , 웅진지식하우스                                        , 2022년 10월                                 ,"11,340원",5,5
68, eBook    진짜 쓰는 실무 엑셀   유튜브 대표 엑셀 채널  오빠두가 알려 주는 엑셀 함수  보고서 작성  데이터 분석 노하우  PDF                              , 전진권 저                                                            , 제이펍                                        , 2022년 09월                                 ,"14,700원",0,0
69, eBook    뉴욕 정신과 의사의 사람 도서관   낙인과 혐오를 넘어 이해와 공존으로 EPUB                              , 나종호 저                                                            , 아몬드                                        , 2022년 05월                                 ,"11,850원",5,5
70, eBook    원페이지 교육학 빈칸노트  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"17,000원",5,5
71, eBook    도파민네이션   쾌락 과잉 시대에서 균형 찾기  EPUB                              , 애나 렘키 저 김두완 역                                                            , 흐름출판                                        , 2022년 04월                                 ,"14,400원",4,5
72, eBook    삼국지 원전 완역판 8 도남 EPUB                              , 나관중 원저 요시카와 에이지 편저 바른번역 역                                                            , 코너스톤                                        , 2020년 03월                                 ,900원,0,0
73, eBook    모든 것은 기본에서 시작한다 EPUB                              , 손웅정 저                                                            , 수오서재                                        , 2022년 01월                                 ,"11,200원",5,5
74, eBook    물고기는 존재하지 않는다   상실  사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 EPUB                              , 룰루 밀러 저 정지인 역                                                            , 곰출판                                        , 2022년 01월                                 ,"11,900원",4,4
75, eBook    오늘 밤  세계에서 이 사랑이 사라진다 해도 EPUB                              , 이치조 미사키 저 권영주 역                                                            , 모모                                        , 2021년 07월                                 ,"10,000원",5,5
76, eBook    실전투자의 비밀   실전 수익률 투자대회 총 12회 수상자의 EPUB                              , 김형준 저                                                            , 이레미디어                                        , 2021년 06월                                 ,"15,400원",5,5
77, eBook    프로젝트 헤일메리 EPUB                              , 앤디 위어 저 강동혁 역                                                            , 알에이치코리아 RHK                                         , 2021년 05월                                 ,"12,950원",4,4
78, eBook    나혜석   이성간의 우정론   한국문학전집 55 EPUB                              , 나혜석 저                                                            , 9의예술                                        , 2021년 02월                                 ,"1,000원",4,4
79, eBook    룬의 아이들   데모닉 완전판 8 EPUB                              , 전민희 저                                                            , 14월의책                                        , 2021년 02월                                 ,"8,600원",5,5
80, eBook    돈의 심리학 EPUB                              , 모건 하우절 저   이지연 역 저                                                            , 인플루엔셜                                        , 2021년 01월                                 ,"14,800원",4,4
81, eBook    만일 내가 인생을 다시 산다면  10만 부 기념 스페셜 에디션    벌써 마흔이 된 당신에게 해 주고 싶은 말들 42 EPUB                              , 김혜남 저                                                            , 메이븐                                        , 2022년 11월                                 ,"12,000원",5,4
82, eBook    1퍼센트 부자의 법칙   반드시 성공하는 일천 번의 법칙 EPUB                              , 사이토 히토리 저 김진아 역                                                            , 나비스쿨 NAVI SCHOOL                                         , 2023년 02월                                 ,"12,000원",0,0
83, eBook    김미경의 마흔 수업 EPUB                              , 김미경 저                                                            , 어웨이크북스                                        , 2023년 02월                                 ,"12,600원",0,0
84, eBook    챗GPT   마침내 찾아온 특이점 PDF                              , 반병현 저                                                            , 생능북스                                        , 2023년 02월                                 ,"11,000원",0,0
85, eBook    불편한 편의점 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2021년 05월                                 ,"9,800원",4,4
86, eBook     100  페이백  대여  죽은 자의 꿈 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 정보라 저                                                            , 새파란상상  파란미디어                                         , 2023년 02월                                 ,"10,000원",4,4
87, eBook    구의 증명  할인  EPUB                              , 최진영 저                                                            , 은행나무                                        , 2015년 03월                                 ,"6,480원",4,4
88, eBook    사랑의 이해 EPUB                              , 이혁진 저                                                            , 민음사                                        , 2019년 04월                                 ,"10,500원",4,4
89, eBook     대여  스마트폰을 떨어뜨렸을 뿐인데 EPUB                              , 시가 아키라 저 김성미 역                                                            , 북플라자                                        , 2018년 05월                                 ,"5,500원",4,4
90, eBook     100  페이백  대여  우리도 문 정도는 열 수 있어 책소개 페이백 받기 링크를 확인하세요   EPUB                              , 유키나리 카오루 저 주원일 역                                                            , 제우미디어                                        , 2023년 01월                                 ,"9,000원",4,4
91, eBook    무조건 합격하는 암기의 기술   26살 9개월 만에 사법시험을 패스한 이윤규 변호사의 책 한 권 통째로 씹어먹는 공부법  EPUB                              , 이윤규 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"15,040원",0,0
92, eBook    주식투자 최적의 타이밍을 잡는 법 EPUB                              , 스탠 와인스타인 저 우승택 역                                                            , 플로우                                        , 2021년 02월                                 ,"15,400원",5,5
93, eBook    당신도 느리게 나이 들 수 있습니다   나이가 들어도 몸의 시간은 젊게 EPUB                              , 정희원 저                                                            , 더퀘스트                                        , 2023년 01월                                 ,"14,240원",4,3
94, eBook    아몬드   2020 일본 서점대상 번역소설상 수상작 EPUB                              , 손원평 저                                                            , 창비                                        , 2017년 03월                                 ,"8,400원",4,4
95, eBook    원씽   복잡한 세상을 이기는 단순함의 힘 EPUB                              , 제이 파파산 게리 켈러 저 구세희 역                                                            , 비즈니스북스                                        , 2013년 08월                                 ,"10,000원",4,4
96, eBook    불편한 편의점 2 EPUB                              , 김호연 저                                                            , 나무옆의자                                        , 2022년 08월                                 ,"9,800원",4,4
97, eBook    파친코 1 EPUB                              , 이민진 저 신승미 역                                                            , 인플루엔셜                                        , 2022년 10월                                 ,"12,500원",4,4
98, eBook    아버지의 해방일지 EPUB                              , 정지아 저                                                            , 창비                                        , 2022년 09월                                 ,"12,000원",4,4
99, eBook    원페이지 교육학 기본서  제6판  PDF                              , Dave 저                                                            , 도서출판 새벽노을                                        , 2022년 04월                                 ,"34,800원",4,4
100, eBook    무기력의 심리학   무력감을 털어내고 나답게 사는 심리 처방전 EPUB                              , 브릿 프랭크 저 김두완 역                                                            , 흐름출판                                        , 2023년 02월                                 ,"14,400원",0,0
