제목,kyobo_순위,kyobo_저자,kyobo_출판사,kyobo_발매일,kyobo_가격,kyobo_평점,kyobo_장르,상명대학교_학술정보관_장르
가불 선진국,12,조국,메디치미디어,2022.04.14 (종이책 출간 2022.03.25),"10,080",9.7,정치/사회,정치/사회
당하는 여자 하는 남자,13,김종갑,다른,2020.06.04 (종이책 출간 2020.01.10),"9,135",10,정치/사회,정치/사회
헌법,14,이국운,책세상,2019.08.22 (종이책 출간 2010.02.10),"7,560",9.4,정치/사회,정치/사회
유럽의 사회통합과 사회정책,15,한국유럽학회,한국학술정보,2013.06.10 (종이책 출간 2011.10.07),"18,900",0,정치/사회,정치/사회
기초 행정학,16,박민정,윤성사,2022.02.16 (종이책 출간 2020.01.30),"14,400",8.3,정치/사회,정치/사회
자발적 복종,17,엔티엔 드 라 보에시,생각정원,2015.04.02 (종이책 출간 2015.02.06),"6,300",9.5,정치/사회,정치/사회
워싱턴 인사이트,18,김수형,메디치미디어,2023.02.09 (종이책 출간 2022.10.17),"12,960",0,정치/사회,정치/사회
우크라이나에서 온 메시지,19,볼로디미르 젤렌스키,웅진지식하우스,2023.01.27 (종이책 출간 2023.01.30),"9,900",9.1,정치/사회,정치/사회
정운호와 사람들,20,박형준,중정,2021.06.30,"10,800",0,정치/사회,정치/사회
밀리터리 리뷰 이지 2012,21,편집부,에이디비씨,2020.11.26,"8,820",10,정치/사회,정치/사회
산업곤충 사육기준 및 규격(Ⅱ),22,농촌진흥청 국립농업과학원,휴먼컬처아리랑,2017.06.19,"17,640",0,정치/사회,정치/사회
탈코르셋 선언,23,윤지선,사월의책,2019.10.16 (종이책 출간 2019.07.15),"8,550",6.7,정치/사회,정치/사회
지리의 힘 2,24,팀 마샬,사이,2022.04.12 (종이책 출간 2022.04.10),"14,490",9.8,정치/사회,정치/사회
왜 가난한 사람들은 부자를 위해 투표하는가,25,토마스 프랭크,갈라파고스,2020.08.05 (종이책 출간 2012.05.25),"10,080",9.1,정치/사회,정치/사회
전쟁론,26,카를 폰 클라우제비츠,책세상,2017.06.19 (종이책 출간 1998.06.24),"11,340",8.8,정치/사회,정치/사회
돌봄이 돌보는 세계,27,다른몸들 (기획),동아시아,2022.08.18 (종이책 출간 2022.08.05),"10,710",10,정치/사회,정치/사회
지구를 위한다는 착각,28,마이클 셸런버거,부키,2021.05.07 (종이책 출간 2021.04.27),"13,950",8.9,정치/사회,정치/사회
번영의 역설: 왜 가난은 사라지지 않는가,29,클레이튼 M. 크리스텐슨,부키,2020.06.05 (종이책 출간 2020.05.27),"12,600",9.7,정치/사회,정치/사회
조변호사의 이혼이야기,30,조인섭,바움,2012.03.12 (종이책 출간 2012.01.30),"8,100",10,정치/사회,정치/사회
내리막 세상에서 일하는 노마드를 위한 안내서,31,제현주,어크로스,2019.03.25 (종이책 출간 2019.03.07),"9,000",7.5,정치/사회,정치/사회
"지방의회, 아는 만큼 잘할 수 있다!",32,강상원,알파미디어,2021.04.08 (종이책 출간 2018.06.30),"14,400",9.2,정치/사회,정치/사회
모나돌로지와 사회학,33,가브리엘 타르드,이책,2015.08.13 (종이책 출간 2015.01.20),"8,190",9.2,정치/사회,정치/사회
"차이나 쇼크, 한국의 선택",34,한청훤,사이드웨이,2022.08.31 (종이책 출간 2022.08.03),"10,800",9.5,정치/사회,정치/사회
나는 지방의회에서 일한다,35,이일우,에이원북스,2022.08.08 (종이책 출간 2022.06.25),"10,800",9.5,정치/사회,정치/사회
공산당 선언 리부트,36,슬라보예 지젝,미디어창비,2020.06.24 (종이책 출간 2020.04.29),"7,560",10,정치/사회,정치/사회
역사 전쟁,37,심용환,생각정원,2016.02.22 (종이책 출간 2015.12.18),"10,080",9.6,정치/사회,정치/사회
스마트팜피디아,38,농림축산식품부,휴먼컬처아리랑,2022.08.05 (종이책 출간 2021.03.26),"9,720",0,정치/사회,정치/사회
반성문 A to Z. 1,39,최한겨레,좋은땅,2020.01.17 (종이책 출간 2019.12.31),"8,100",0,정치/사회,정치/사회
일하는 마음,40,제현주,어크로스,2018.11.26 (종이책 출간 2018.11.19),"8,820",7.5,정치/사회,정치/사회
계속 가보겠습니다,41,임은정,메디치미디어,2022.08.22 (종이책 출간 2022.07.22),"11,340",9.8,정치/사회,정치/사회
넬슨 만델라의 위대한 협상,42,존 칼린,다른,2020.07.17 (종이책 출간 2019.08.16),"9,450",10,정치/사회,정치/사회
TV 뉴스 기사 작성법,43,김문환,커뮤니케이션북스,2018.08.13 (종이책 출간 2018.07.20),"12,960",10,정치/사회,정치/사회
우크라이나전쟁과 신세계질서,44,이해영,사계절출판사,2023.02.10 (종이책 출간 2023.02.03),"11,340",9.9,정치/사회,정치/사회
실제사례를 통해 살펴본 국회 의원입법절차 해설,45,최웅선,e퍼플,2022.07.01,"9,000",0,정치/사회,정치/사회
알아두면 쓸 데 있는 생활 속 법률 지식,46,채건,투데이북스,2018.03.19 (종이책 출간 2018.03.15),"7,020",9.4,정치/사회,정치/사회
나는 왜 테러리스트를 변호했나,47,예이르 리페스타드,그러나,2018.12.08 (종이책 출간 2018.02.28),"9,450",0,정치/사회,정치/사회
노무현 한국정치 이의있습니다,48,참여정부 대통령비서실,역사비평사,2013.02.28 (종이책 출간 2009.06.29),"8,550",10,정치/사회,정치/사회
나는 글을 쓸 때만 정의롭다,49,조형근,창비,2022.08.23 (종이책 출간 2022.08.19),"12,240",9.4,정치/사회,정치/사회
"피크 재팬, 마지막 정점을 찍은 일본",50,브래드 글로서먼,김영사,2020.06.30 (종이책 출간 2020.06.22),"12,420",9.6,정치/사회,정치/사회
생각하는 여자는 괴물과 함께 잠을 잔다,51,김은주,봄알람,2018.02.23 (종이책 출간 2017.09.08),"7,560",9.4,정치/사회,정치/사회
대한민국 금기 깨기,52,김동연,쌤앤파커스,2022.08.09 (종이책 출간 2021.07.28),"10,710",9.9,정치/사회,정치/사회
한국형 탄도미사일 개발사,53,황재연,에이디비씨,2021.07.15,"8,910",10,정치/사회,정치/사회
본격 한중일 세계사 15,1,굽시니스트,위즈덤하우스,2023.01.26 (종이책 출간 2022.12.21),"9,954",0,역사/문화,역사/문화
사진으로 보는 우리 문화유산,2,강형원,알에이치코리아,2022.10.20 (종이책 출간 2022.09.30),"14,040",9.9,역사/문화,역사/문화
시민의 한국사 2 : 근현대편,3,한국역사연구회,돌베개,2022.07.08 (종이책 출간 2022.06.24),"23,850",10,역사/문화,역사/문화
무예 인문학 : 전통 무예에 담긴 역사 문화 철학,4,최형국,인물과사상사,2017.12.09 (종이책 출간 2017.05.08),"9,450",9.2,역사/문화,역사/문화
사기 열전(1~2 합본),5,사마천,민음사,2013.06.28,"37,800",10,역사/문화,역사/문화
역사란 무엇인가,6,E.H. 카,까치,2015.08.04 (종이책 출간 2015.03.16),"8,640",9.6,역사/문화,역사/문화
서양사 강좌,7,박윤덕 외,아카넷,2022.08.26 (종이책 출간 2022.03.01),"23,400",10,역사/문화,역사/문화
알제리전쟁 1954-1962,8,노서경,문학동네,2022.06.16 (종이책 출간 2017.09.29),"23,670",0,역사/문화,역사/문화
제2차 세계대전 인포그래픽,9,장 로페즈,레드리버,2021.06.02 (종이책 출간 2021.05.26),"34,560",9.5,역사/문화,역사/문화
나의 문화유산답사기  산사 순례,10,유홍준,창비,2018.08.24 (종이책 출간 2018.08.24),"11,340",9.4,역사/문화,역사/문화
이순신의 바다,11,황현필,역바연,2022.05.26 (종이책 출간 2021.12.16),"13,860",9.6,역사/문화,역사/문화
매국노 고종,12,박종인,와이즈맵,2021.03.18 (종이책 출간 2020.12.30),"11,340",10,역사/문화,역사/문화
대한민국 징비록,13,박종인,와이즈맵,2019.10.01 (종이책 출간 2019.10.05),"11,340",9.5,역사/문화,역사/문화
벌거벗은 세계사 인물편+사건편 세트,14,tvN <벌거벗은 세계사> 제작팀,교보문고,2022.02.18,"28,800",10,역사/문화,역사/문화
정사 삼국지 세트,15,진수,휴머니스트,2021.10.18,"69,300",0,역사/문화,역사/문화
위대한 한국사의 비밀 환단고기,16,최두환,한국문학방송,2020.10.20,"4,500",10,역사/문화,역사/문화
환단고기,17,계연수,도디드,2020.09.15,"8,100",2.5,역사/문화,역사/문화
한자인명사전 : 나폴레옹(拿破侖)과 조세핀(約瑟芬),18,서울교육방송,미디어북,2017.01.18,450,0,역사/문화,역사/문화
송욱 평전,19,박종석,한국문학도서관,2008.08.08,"6,480",0,역사/문화,역사/문화
영국 바꾸지 않아도 행복한 나라,20,이식,리수,2013.07.09 (종이책 출간 2007.01.18),"8,757",7.9,역사/문화,역사/문화
런던 숨어 있는 보석을 찾아서,21,전원경,리수,2008.08.22 (종이책 출간 2008.06.13),"9,450",10,역사/문화,역사/문화
제국과 상인,22,이승렬,역사비평사,2008.07.16 (종이책 출간 2007.04.25),"10,080",0,역사/문화,역사/문화
분열하는 제국,23,콜린 우다드,글항아리,2018.04.16 (종이책 출간 2017.07.05),"16,200",9.9,역사/문화,역사/문화
아틀라스 중앙유라시아사,24,김호동,사계절,2017.11.17 (종이책 출간 2016.01.15),"18,000",9.9,역사/문화,역사/문화
실패한 제국. 1: 냉전시대 소련의 역사,25,블라디슬라프 M.주보크,아카넷,2017.05.24 (종이책 출간 2016.12.20),"13,500",8.7,역사/문화,역사/문화
병자호란: 그냥 지는 전쟁은 없다,26,임용한,레드리버,2022.02.24 (종이책 출간 2022.02.23),"15,840",9.8,역사/문화,역사/문화
어제까지의 세계,27,재레드 다이아몬드,김영사,2016.04.21 (종이책 출간 2013.05.09),"17,820",9.5,역사/문화,역사/문화
세상의 모든 지식이 내 것이 되는 1페이지 한국사 365,28,심용환,빅피시,2021.08.09 (종이책 출간 2021.07.28),"10,395",10,역사/문화,역사/문화
1페이지 세계사 365,29,심용환,빅피시,2021.08.02 (종이책 출간 2021.06.30),"11,025",9.7,역사/문화,역사/문화
거꾸로 읽는 세계사,30,유시민,돌베개,2021.11.08 (종이책 출간 2021.10.29),"10,800",9.3,역사/문화,역사/문화
세계사를 바꾼 12가지 신소재,31,사토 겐타로,북라이프,2019.06.24 (종이책 출간 2019.06.25),"10,080",9.5,역사/문화,역사/문화
로열 패밀리,32,정유경,위즈덤하우스,2022.08.04 (종이책 출간 2022.07.22),"13,860",8.6,역사/문화,역사/문화
정사 삼국지: 촉서,33,진수,휴머니스트,2019.09.09 (종이책 출간 2018.03.05),"12,600",9.6,역사/문화,역사/문화
"누정, 선비문화의 산실",34,우응순,한국학중앙연구원출판부,2017.04.24 (종이책 출간 2016.09.30),"10,800",0,역사/문화,역사/문화
북유럽 신화,35,닐 게이먼,나무의철학,2019.03.20 (종이책 출간 2019.02.25),"10,584",9.5,역사/문화,역사/문화
인간의 흑역사,36,톰 필립스,윌북,2019.10.08 (종이책 출간 2019.10.10),"9,810",9.3,역사/문화,역사/문화
스페인은 가우디다,37,김희곤,오브제,2014.09.25 (종이책 출간 2014.09.15),"10,080",8.6,역사/문화,역사/문화
세계사를 바꾼 전쟁의 고수들,38,임용한,EBS BOOKS,2023.02.01 (종이책 출간 2022.09.30),"12,600",0,역사/문화,역사/문화
마약 중독과 전쟁의 시대,39,노르만 올러,열린책들,2022.12.25 (종이책 출간 2022.12.25),"13,950",5,역사/문화,역사/문화
김진명의 한국사 X파일,40,김진명,새움,2022.12.20 (종이책 출간 2017.01.17),"6,750",9.1,역사/문화,역사/문화
세계 문화 여행: 일본,41,폴 노버리,시그마북스,2017.10.31 (종이책 출간 2017.10.23),"7,200",9.5,역사/문화,역사/문화
거란 고려관계사연구,42,김재만,국학자료원,2021.03.04 (종이책 출간 1999.02.15),"17,010",0,역사/문화,역사/문화
나의 한국현대사 1959-2020,43,유시민,돌베개,2021.02.09 (종이책 출간 2021.01.20),"11,970",10,역사/문화,역사/문화
기축옥사 재조명,44,역사문화교육연구소,선인,2016.03.31 (종이책 출간 2010.10.16),"8,190",10,역사/문화,역사/문화
윌리엄 모리스 평전,45,박홍규,개마고원,2013.09.30 (종이책 출간 2007.04.16),"11,340",0,역사/문화,역사/문화
"윈스턴 처칠, 나의 청춘",46,윈스턴 S. 처칠,행북,2020.10.27 (종이책 출간 2020.06.25),"13,230",9.3,역사/문화,역사/문화
물고기는 존재하지 않는다,1,룰루 밀러,곰출판,2022.01.19 (종이책 출간 2021.12.17),"10,710",9.4,과학/공학,과학/공학
다정한 것이 살아남는다,2,브라이언 헤어,디플롯,2021.10.15 (종이책 출간 2021.07.26),"15,300",9.7,과학/공학,과학/공학
2023 기출이 답이다 산업안전지도사 1차,3,이문호,시대고시기획,2022.08.19 (종이책 출간 2023.01.05),"22,680",8,과학/공학,과학/공학
2022 화재감식평가기사·산업기사 필기 기출문제집,4,문옥섭,시대고시기획,2022.02.10 (종이책 출간 2022.03.04),"17,640",10,과학/공학,과학/공학
리처드 도킨스의 진화론 강의,5,리처드 도킨스,옥당,2019.05.17 (종이책 출간 2016.05.30),"12,960",10,과학/공학,과학/공학
생물학 명강 라이브 1,6,한국분자세포생물학회 (기획),해나무,2018.01.29 (종이책 출간 2017.04.28),"10,125",10,과학/공학,과학/공학
해양생물의 세계 (해양과학총서 4),7,편집부,한국해양연구소,2008.12.16 (종이책 출간 1998.02.25),"5,400",0,과학/공학,과학/공학
최신 시퀀스제어기술(IEC 60617활용),8,한태환,복두출판사,2021.04.16 (종이책 출간 2021.01.27),"23,400",0,과학/공학,과학/공학
자동차 소음 진동,9,김재휘,골든벨,2022.09.13 (종이책 출간 2019.09.23),"28,350",0,과학/공학,과학/공학
기초 선형대수학,10,이광연,한빛아카데미,2021.06.24 (종이책 출간 2021.06.07),"23,400",8.2,과학/공학,과학/공학
허공의 놀라운 비밀,11,남경흥,지식과감성,2013.08.21 (종이책 출간 2013.07.27),"9,450",8.8,과학/공학,과학/공학
2022 화재감식평가기사·산업기사 실기 필답형,12,문옥섭,시대고시기획,2022.03.21 (종이책 출간 2022.05.04),"20,790",10,과학/공학,과학/공학
나를 나답게 만드는 것들,13,빌 설리번,브론스테인,2021.01.06 (종이책 출간 2020.12.23),"12,420",9.5,과학/공학,과학/공학
장바구니에 담긴 화학,14,"Ben Selinger,Russell Barrow 공저,류설 역",자유아카데미,2023.02.17 (종이책 출간 2022.08.10),"28,800",0,과학/공학,과학/공학
라파엘로가 사랑한 철학자들,15,김종성,비제이퍼블릭,2023.02.14 (종이책 출간 2023.02.14),"14,400",10,과학/공학,과학/공학
"구마 겐고, 나의 모든 일",16,구마 겐고,나무생각,2023.01.18 (종이책 출간 2023.01.18),"23,040",10,과학/공학,과학/공학
물리상수는 어떻게 생겨났을까,17,사이죠 토시미,아카데미서적,2010.07.14 (종이책 출간 2008.10.15),"8,100",10,과학/공학,과학/공학
과학사의 이해,18,임경순,다산출판사,2021.12.23 (종이책 출간 2014.08.30),"20,160",0,과학/공학,과학/공학
자연은 어떻게 발명하는가,19,닐 슈빈,부키,2022.08.02 (종이책 출간 2022.07.25),"11,250",9.6,과학/공학,과학/공학
호흡의 기술,20,제임스 네스터,북트리거,2021.05.07 (종이책 출간 2021.02.19),"12,330",9.6,과학/공학,과학/공학
원소의 이름,21,피터 워더스,윌북,2021.06.29 (종이책 출간 2021.06.10),"11,340",9.7,과학/공학,과학/공학
소방설비기사 필기 전기편 기본서. 2(2021),22,이수용,시대고시기획,2020.12.07 (종이책 출간 2021.01.05),"20,790",10,과학/공학,과학/공학
2023 Win-Q 건설안전기사 필기 단기합격,23,박병호,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"20,790",10,과학/공학,과학/공학
ChatGPT와 DALLE2로 인공지능 내맘대로 다루기	,24,초보AI,e퍼플,2023.02.10,"10,800",0,과학/공학,과학/공학
양자역학이란 무엇인가,25,마이클 워커,처음북스,2023.02.10 (종이책 출간 2023.01.20),"16,560",9.5,과학/공학,과학/공학
2023 Win-Q 화학분석기사 필기 단기합격,26,박지은,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"19,530",10,과학/공학,과학/공학
2023 위험물기능장 실기,27,이덕수,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"23,310",10,과학/공학,과학/공학
2023 맞춤형화장품 조제관리사 단기합격,28,한국화장품전문가협회,시대고시기획,2023.02.06 (종이책 출간 2023.02.06),"14,490",10,과학/공학,과학/공학
실험으로 이해하는 구조역학,29,이성수,기문당,2022.12.05,"13,500",0,과학/공학,과학/공학
2023 EBS 유튜브 무료 특강이 있는 Win-Q 전기기능사 필기 단기합격,30,김대범,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"13,230",9.3,과학/공학,과학/공학
2023 연구실안전관리사 1차 합격 단기완성,31,김훈,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"18,270",10,과학/공학,과학/공학
2023 동물보건사 기출모의고사 + 관련법령 오디오북 제공,32,SD연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"17,640",10,과학/공학,과학/공학
알기쉬운 회로이론(12판) .10,33,김종오,복두출판사,2020.07.03,"1,530",0,과학/공학,과학/공학
합성생물학,34,김영창,충북대학교출판부,2020.03.26,"12,600",0,과학/공학,과학/공학
전기 시퀀스제어 (4판),35,신흥열,복두출판사,2015.05.08,"19,800",0,과학/공학,과학/공학
물리의 정석: 양자 역학 편,36,레너드 서스킨드,사이언스북스,2020.08.28 (종이책 출간 2018.05.02),"16,650",8.4,과학/공학,과학/공학
인류의 기원,37,이상희,사이언스북스,2016.06.24 (종이책 출간 2015.09.18),"9,900",9.8,과학/공학,과학/공학
코스모스,38,칼 세이건,사이언스북스,2017.03.24 (종이책 출간 2010.01.20),"14,850",9.7,과학/공학,과학/공학
Revit Architecture로 배우는 한옥설계,39,최준호,복두출판사,2014.02.04 (종이책 출간 2013.08.20),"21,600",7.5,과학/공학,과학/공학
위성통신 이론 및 시스템,40,이해선,복두출판사,2014.02.06 (종이책 출간 2013.03.04),"16,200",10,과학/공학,과학/공학
가이아의 정원,41,토비 헤멘웨이,들녘,2015.01.15 (종이책 출간 2014.12.18),"15,750",9.9,과학/공학,과학/공학
호킹의 빅 퀘스천에 대한 간결한 대답,42,스티븐 호킹,까치,2019.01.22 (종이책 출간 2019.01.07),"10,710",9.5,과학/공학,과학/공학
침묵의 봄,43,레이첼 카슨,에코리브르,2012.09.25 (종이책 출간 2011.12.30),"14,400",9.7,과학/공학,과학/공학
노거수와 마을숲,44,정계준,경상국립대학교출판부,2020.03.31 (종이책 출간 2017.11.20),"27,000",0,과학/공학,과학/공학
더 위험한 과학책,45,랜들 먼로,시공사,2020.03.03 (종이책 출간 2020.01.25),"13,860",9.6,과학/공학,과학/공학
과학고전선집,46,홍성욱,서울대학교출판부,2012.11.06 (종이책 출간 2006.04.25),"14,400",7.5,과학/공학,과학/공학
신비롭지 않은 여자들,47,임소연,민음사,2022.07.05 (종이책 출간 2022.06.01),"9,450",9.5,과학/공학,과학/공학
데이터과학자의 사고법,48,김용대,김영사,2021.03.09 (종이책 출간 2021.02.26),"9,990",9.6,과학/공학,과학/공학
우리는 왜 잠을 자야 할까,49,매슈 워커,열린책들,2019.02.27 (종이책 출간 2019.02.25),"13,500",9.6,과학/공학,과학/공학
분자 사용 설명서,50,김지환,반니,2020.12.10 (종이책 출간 2018.10.30),"9,000",10,과학/공학,과학/공학
물리와 철학,51,베르너 하이젠베르크,서커스(서커스출판상회),2018.07.13 (종이책 출간 2018.04.15),"10,080",10,과학/공학,과학/공학
미적분의 쓸모,52,한화택,더퀘스트,2022.05.31 (종이책 출간 2022.05.21),"12,285",9.8,과학/공학,과학/공학
이렇게 쉬운 통계학,53,혼마루 료,한빛미디어,2019.03.18 (종이책 출간 2019.03.10),"11,520",9.4,과학/공학,과학/공학
피부는 인생이다,54,몬티 라이먼,브론스테인,2020.04.16 (종이책 출간 2020.04.14),"12,420",9.3,과학/공학,과학/공학
제2의 뇌,55,마이클 D. 거숀,지식을만드는지식,2013.12.12 (종이책 출간 2013.12.01),"20,160",10,과학/공학,과학/공학
정보통신 전원 및 접지설비 정보통신공사 표준 시방서,56,과학기술정보통신부,진한엠앤비,2019.07.31 (종이책 출간 2019.04.25),"12,600",10,과학/공학,과학/공학
양자역학 이야기,57,팀 제임스,한빛비즈,2022.11.28 (종이책 출간 2022.11.28),"11,340",9,과학/공학,과학/공학
우리 본성의 선한 천사,58,스티븐 핑커,사이언스북스,2017.03.24 (종이책 출간 2014.08.25),"43,200",9.3,과학/공학,과학/공학
궤도의 과학 허세(리커버),59,궤도,동아시아,2022.07.04 (종이책 출간 2022.06.22),"10,080",10,과학/공학,과학/공학
손에 잡히는 텃밭농사 기초,60,효재 홍순덕,유페이퍼,2022.03.06,"2,250",10,과학/공학,과학/공학
사이코패스 뇌과학자,61,제임스 팰런,더퀘스트,2020.10.23 (종이책 출간 2020.09.23),"11,520",9.2,과학/공학,과학/공학
회로이론,62,김종오,복두출판사,2020.06.30 (종이책 출간 2019.03.05),"20,700",0,과학/공학,과학/공학
기초 전기전자 에센스,63,모현선,한빛아카데미,2021.06.28 (종이책 출간 2017.01.02),"22,500",9.7,과학/공학,과학/공학
최고의 엔지니어는 어떻게 성장하는가,64,다쿠미 슈사쿠,다산사이언스,2018.09.20 (종이책 출간 2018.09.18),"8,820",9.3,과학/공학,과학/공학
지질환경과학,65,Frederick K. Lutgens,시그마프레스,2016.03.25 (종이책 출간 2016.03.15),"23,940",10,과학/공학,과학/공학
Do it! 점프 투 파이썬,1,박응용,이지스퍼블리싱,2019.06.25 (종이책 출간 2019.06.20),"11,700",9.4,IT/프로그래밍,IT/프로그래밍
코딩자율 학습 나도코딩의 C언어 입문,2,나도코딩,길벗,2022.10.10,"18,720",0,IT/프로그래밍,IT/프로그래밍
모던 자바스크립트 Deep Dive,3,이웅모,위키북스,2021.01.04 (종이책 출간 2020.09.25),"28,350",9.7,IT/프로그래밍,IT/프로그래밍
파이썬 알고리즘 인터뷰,4,박상길,책만,2020.10.28 (종이책 출간 2020.07.15),"27,360",8.6,IT/프로그래밍,IT/프로그래밍
진짜 쓰는 실무 엑셀,5,오빠두(전진권),제이펍,2022.09.27 (종이책 출간 2022.02.15),"13,230",9.4,IT/프로그래밍,IT/프로그래밍
2023 이지패스 ADsP 데이터분석 준전문가,6,전용문,위키북스,2023.01.17 (종이책 출간 2023.01.16),"17,640",10,IT/프로그래밍,IT/프로그래밍
데이터 과학을 위한 파이썬 프로그래밍,7,최성철,한빛아카데미,2022.12.01 (종이책 출간 2023.01.01),"27,000",0,IT/프로그래밍,IT/프로그래밍
파이썬을 이용한 비트코인 자동매매,8,유대표,파이스탁,2022.10.31 (종이책 출간 2021.03.22),"19,440",8.9,IT/프로그래밍,IT/프로그래밍
Do it! 자료구조와 함께 배우는 알고리즘 입문 C 언어 편 (전면 개정판),9,시바타 보요,이지스퍼블리싱,2022.10.31,"14,400",0,IT/프로그래밍,IT/프로그래밍
초보자를 위한 파이썬(Python) 200제,10,장삼용,정보문화사,2017.03.07 (종이책 출간 2017.02.27),"12,600",9.9,IT/프로그래밍,IT/프로그래밍
된다! 네이버 블로그 상위 노출,11,황윤정,이지스퍼블리싱,2022.06.30 (종이책 출간 2022.06.30),"10,350",9.7,IT/프로그래밍,IT/프로그래밍
Do it! 점프 투 장고,12,박응용,이지스퍼블리싱,2021.01.12 (종이책 출간 2021.01.06),"11,880",8.4,IT/프로그래밍,IT/프로그래밍
2023 에듀윌 EXIT ITQ 파워포인트 ver.2016,13,박은진,에듀윌,2023.01.06 (종이책 출간 2022.09.28),"13,770",0,IT/프로그래밍,IT/프로그래밍
업무와 일상을 정리하는 새로운 방법 노션(Notion),14,전시진,제이펍,2022.12.09 (종이책 출간 2022.11.14),"11,907",8.8,IT/프로그래밍,IT/프로그래밍
전문가를 위한 파이썬 프로그래밍,15,미하우 야보르스키,제이펍,2022.09.27 (종이책 출간 2022.08.12),"23,940",10,IT/프로그래밍,IT/프로그래밍
실전 스프링 부트 웹 개발 JSP + MyBatis + MySQL 개정판,16,향단코드,온노트,2021.03.09,"9,000",10,IT/프로그래밍,IT/프로그래밍
자신 있어! 아이패드 & 갤럭시 탭 드로잉,17,이솔기,중앙북스,2021.05.13 (종이책 출간 2021.04.26),"12,240",9.8,IT/프로그래밍,IT/프로그래밍
이것이 자료구조+알고리즘이다 with C 언어,18,박상현,한빛미디어,2022.08.10 (종이책 출간 2022.08.03),"24,480",9.4,IT/프로그래밍,IT/프로그래밍
직장인을 위한 실무 구글 스프레드시트,19,진은영,길벗,2022.06.16 (종이책 출간 2022.05.16),"14,490",9.4,IT/프로그래밍,IT/프로그래밍
[epub3.0]컨테이너 인프라 환경 구축을 위한 쿠버네티스/도커,20,조훈,길벗,2021.06.30 (종이책 출간 2021.06.07),"21,420",9.5,IT/프로그래밍,IT/프로그래밍
당당한 디자인 결정을 위한 9가지 방법,21,톰 그리버,한빛미디어,2022.02.16 (종이책 출간 2021.12.10),"15,840",10,IT/프로그래밍,IT/프로그래밍
실습과 그림으로 배우는 리눅스 구조,22,다케우치 사토루,한빛미디어,2019.02.20 (종이책 출간 2019.02.20),"17,280",7.4,IT/프로그래밍,IT/프로그래밍
치매에 관한 새로운 생각,23,티아 파월,브론스테인,2023.02.08 (종이책 출간 2023.02.08),"13,860",0,IT/프로그래밍,IT/프로그래밍
업무에 바로 쓰는 AWS 입문,24,김성민,한빛미디어,2023.01.09 (종이책 출간 2023.01.10),"19,440",8,IT/프로그래밍,IT/프로그래밍
제로 트러스트 구글 엔지니어는 아무도 믿지 않는다,25,가쓰무라 유키히로,제이펍,2022.12.09 (종이책 출간 2022.10.28),"12,474",10,IT/프로그래밍,IT/프로그래밍
위대한 IT 영어 Introduction,26,장진호,아고라스,2022.10.07,"26,100",9.3,IT/프로그래밍,IT/프로그래밍
국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는 승인율 99.9% 이모티콘 만들기,27,씨엠제이(최민정),한빛미디어,2022.10.10 (종이책 출간 2022.10.10),"10,800",10,IT/프로그래밍,IT/프로그래밍
전문가를 위한 C,28,캄란 아미니,한빛미디어,2022.10.10 (종이책 출간 2022.10.12),"39,600",10,IT/프로그래밍,IT/프로그래밍
"클린 코드, 이제는 파이썬이다",29,알 스웨이가트,책만,2022.10.14 (종이책 출간 2022.08.16),"21,600",10,IT/프로그래밍,IT/프로그래밍
엑셀 파워포인트 워드 2010,30,전미진,한빛미디어,2012.10.10 (종이책 출간 2011.08.23),"10,710",8.9,IT/프로그래밍,IT/프로그래밍
빅데이터 기초,31,Thomas Erl,시그마프레스,2017.09.14 (종이책 출간 2017.09.05),"11,340",8.8,IT/프로그래밍,IT/프로그래밍
클린 아키텍처: 소프트웨어 구조와 설계의 원칙,32,로버트 C. 마틴,인사이트,2020.06.25 (종이책 출간 2019.08.20),"19,800",9.7,IT/프로그래밍,IT/프로그래밍
구글 광고 하는 여자,33,유수정 (디디),디지털북스,2022.05.09 (종이책 출간 2022.03.30),"15,300",9.1,IT/프로그래밍,IT/프로그래밍
가장 쉬운 인스타툰 만들기,34,박희연,정보문화사,2022.06.16 (종이책 출간 2022.05.30),"12,600",10,IT/프로그래밍,IT/프로그래밍
Tucker의 Go 언어 프로그래밍,35,공봉식,골든래빗(주),2021.04.12 (종이책 출간 2021.04.12),"30,240",10,IT/프로그래밍,IT/프로그래밍
인공지능. 2,36,스튜어트 러셀,제이펍,2021.12.21 (종이책 출간 2021.08.25),"23,940",10,IT/프로그래밍,IT/프로그래밍
텍스트 데이터 시각화와 처리,37,박정원,아우라,2020.10.01,"18,000",0,IT/프로그래밍,IT/프로그래밍
당신을 야근에서 구해줄 무기 데이터 리터러시,38,피터,비제이퍼블릭,2022.06.28 (종이책 출간 2022.06.29),"17,010",0,IT/프로그래밍,IT/프로그래밍
