제목,저자,출판사,발매일,가격,평점,장르
시민의 한국사 2 : 근현대편,한국역사연구회,돌베개,2022.07.08 (종이책 출간 2022.06.24),"23,850원",9.9,역사/문화
광기와 우연의 역사(최신 완역판),슈테판 츠바이크,이화북스,2022.01.03 (종이책 출간 2020.11.30),"10,395원",9.4,역사/문화
"사기, 2천 년의 비밀",이덕일,만권당,2022.02.25 (종이책 출간 2022.03.02),"13,860원",9,역사/문화
역사는 재미난 이야기라고 믿는 사람들을 위한 역사책,정기문,책과함께,2019.05.24 (종이책 출간 2018.09.21),"10,584원",8.9,역사/문화
지극히 사적인 러시아,벨랴코프 일리야,틈새책방,2022.07.07 (종이책 출간 2022.07.08),"10,530원",10,역사/문화
제국에서 민국으로 가는 길,박광일,생각정원,2019.02.07 (종이책 출간 2019.01.22),"11,340원",9.8,역사/문화
이슬람 제국,류광철,말글빛냄,2018.03.27 (종이책 출간 2018.04.02),"9,900원",5,역사/문화
세계기록유산 100% 활용하기,홍덕용,좋은땅,2020.07.24 (종이책 출간 2020.06.05),"8,100원",10,역사/문화
도원심평의 무당 이야기,김윤호,좋은땅,2020.07.03 (종이책 출간 2020.05.25),"10,800원",9.3,역사/문화
최초의 여신 인안나,김산해,휴머니스트,2022.04.29 (종이책 출간 2022.04.25),"10,710원",10,역사/문화
박시백의 고려사. 1,박시백,휴머니스트,2022.02.25 (종이책 출간 2022.03.14),"9,135원",9.8,역사/문화
최초의 역사 수메르,김산해,휴머니스트,2022.03.11 (종이책 출간 2021.12.27),"20,790원",9.3,역사/문화
최초의 신화 길가메쉬 서사시,김산해,휴머니스트,2020.08.26 (종이책 출간 2020.06.01),"18,900원",9.9,역사/문화
면화의 제국,스벤 베커트,휴머니스트,2019.10.25 (종이책 출간 2018.10.29),"26,460원",9.4,역사/문화
두 개의 스페인,신정환,한국외국어대학교출판부,2020.03.26 (종이책 출간 2016.02.25),"18,000원",10,역사/문화
인간의 흑역사,톰 필립스,윌북,2019.10.08 (종이책 출간 2019.10.10),"9,810원",9.3,역사/문화
이집트에서 24시간 살아보기,도널드 P. 라이언,매일경제신문사,2019.07.09 (종이책 출간 2019.06.25),"9,900원",9.5,역사/문화
클래식 영국사,박지향,김영사,2012.05.13 (종이책 출간 2012.05.11),"20,160원",0,역사/문화
벌거벗은 세계사: 전쟁편,tvn<벌거벗은세계사>제작팀,교보문고,2022.07.27 (종이책 출간 2022.07.27),"14,400원",10,역사/문화
위대한 한국사의 비밀 환단고기,최두환,한국문학방송,2020.10.20,"4,500원",10,역사/문화
이중톈 중국사. 15: 무측천의 정치,이중톈,글항아리,2022.04.01 (종이책 출간 2022.03.11),"9,450원",10,역사/문화
대역죄인 박열과 가네코,김세중,스타북스,2017.06.26 (종이책 출간 2017.06.25),"3,960원",9.7,역사/문화
재일조선인 아리랑,이용식,논형,2021.05.04 (종이책 출간 2010.06.14),"9,000원",10,역사/문화
물고기는 존재하지 않는다,룰루 밀러,곰출판,2022.01.19 (종이책 출간 2021.12.17),"10,710원",9.4,과학/공학
음악 인류,대니얼 J. 레비틴,와이즈베리,2022.01.19 (종이책 출간 2022.01.03),"13,860원",7.9,과학/공학
마법에서 과학으로: 자석과 스핀트로닉스,김갑진,이음,2021.11.25 (종이책 출간 2021.09.08),"10,800원",10,과학/공학
전기자동차 매뉴얼 이론 & 실무,이진구,골든벨,2022.09.13 (종이책 출간 2019.09.30),"26,730원",8.8,과학/공학
다정한 것이 살아남는다,브라이언 헤어,디플롯,2021.10.15 (종이책 출간 2021.07.26),"15,300원",9.7,과학/공학
피타고라스 생각 수업,이광연,유노라이프,2023.01.27 (종이책 출간 2023.01.17),"13,500원",10,과학/공학
특이점이 온다,레이 커즈와일,김영사,2016.07.15 (종이책 출간 2016.07.15),"19,800원",9.5,과학/공학
코스모스,칼 세이건,사이언스북스,2017.03.24 (종이책 출간 2010.01.20),"14,850원",9.7,과학/공학
김기사의 e-쉬운 전기,김명진,성안당,2021.01.26 (종이책 출간 2021.01.11),"30,240원",10,과학/공학
2022 확 바뀐 패스 자동차정비산업기사 필기,김명준,골든벨,2022.09.13 (종이책 출간 2022.01.10),"20,250원",10,과학/공학
2023 Win-Q 화학분석기사 필기 단기합격,박지은,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"19,530원",0,과학/공학
2023 Win-Q 가스산업기사 필기 단기합격,박병호,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"17,640원",10,과학/공학
자원식물학,류수노,한국방송통신대학교출판문화원,2018.04.13 (종이책 출간 2018.02.19),"20,700원",9.5,과학/공학
영혼의 세계,강건일,참과학,2013.05.16 (종이책 출간 2007.12.17),"5,400원",10,과학/공학
머리가 좋아지는 인도 수학,인도 베다수학 연구회,황매,2008.07.10 (종이책 출간 2008.04.14),"3,060원",9,과학/공학
시간은 흐르지 않는다,카를로 로벨리,쌤앤파커스,2019.08.06 (종이책 출간 2019.06.10),"10,080원",9.6,과학/공학
현장실무자를 위한 펌프 입문,이창영,BG북갤러리,2022.03.29 (종이책 출간 2022.03.28),"12,600원",10,과학/공학
침묵의 봄,레이첼 카슨,에코리브르,2012.09.25 (종이책 출간 2011.12.30),"14,400원",9.7,과학/공학
뇌는 어떻게 세상을 보는가,빌라야누르 라마찬드란,바다출판사,2018.06.15 (종이책 출간 2016.11.15),"8,100원",10,과학/공학
공학이란 무엇인가,성풍현,살림,2014.11.18 (종이책 출간 2013.09.10),"9,450원",9,과학/공학
AI는 세상을 어떻게 바꾸는가,장동선,김영사,2022.02.23 (종이책 출간 2022.01.31),"7,245원",9.8,과학/공학
숫자는 거짓말을 한다,알베르토 카이로,웅진지식하우스,2020.10.21 (종이책 출간 2020.10.13),"10,980원",9.7,과학/공학
창조력 코드,마커스 드 사토이,북라이프,2020.07.10 (종이책 출간 2020.07.15),"12,600원",9.3,과학/공학
생각은 어떻게 행동이 되는가,데이비드 바드르,해나무,2022.03.15 (종이책 출간 2022.02.14),"13,365원",9.5,과학/공학
데이터 통신과 컴퓨터 네트워크,박기현,한빛아카데미,2022.07.04 (종이책 출간 2022.06.30),"27,000원",0,과학/공학
처음 만나는 디지털 논리회로,임석구,한빛아카데미,2021.06.28 (종이책 출간 2016.07.25),"19,800원",9.4,과학/공학
2022 화재감식평가기사·산업기사 실기 필답형,문옥섭,시대고시기획,2022.03.21 (종이책 출간 2022.05.04),"20,790원",10,과학/공학
2023 Win-Q 건설안전기사 필기 단기합격,박병호,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"20,790원",0,과학/공학
ChatGPT와 DALLE2로 인공지능 내맘대로 다루기	,초보AI,e퍼플,2023.02.10,"10,800원",0,과학/공학
2023 정수시설운영관리사 한권으로 끝내기,최영희,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"30,240원",10,과학/공학
2023 위험물기능장 실기,이덕수,시대고시기획,2023.03.10 (종이책 출간 2023.03.10),"23,310원",10,과학/공학
2023 유튜브 무료 특강이 있는 Win-Q 위험물산업기사 실기 단기합격,이덕수,시대고시기획,2023.02.10 (종이책 출간 2023.02.10),"15,750원",10,과학/공학
조선의 숲은 왜 사라졌는가,전영우,조계종출판사,2022.12.21 (종이책 출간 2022.11.18),"13,860원",0,과학/공학
복잡한 세상을 이기는 수학의 힘,류쉐펑,미디어숲,2023.01.20 (종이책 출간 2023.01.20),"13,860원",10,과학/공학
우리는 모두 조금은 이상한 것을 믿는다,스켑틱 편집부,바다출판사,2022.07.22 (종이책 출간 2022.07.29),"11,520원",0,과학/공학
날로 먹는 분자세포생물학,신인철,성안당,2022.11.16 (종이책 출간 2022.11.16),"14,400원",10,과학/공학
2023 Win-Q 기계가공조립기능사 필기 단기합격,박병욱,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"15,120원",10,과학/공학
2023 농촌지도사·농업연구사 재배학 핵심이론 합격공략,SD 공무원시험연구소,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"18,270원",10,과학/공학
메시에 가이드 1,윤관우,바른북스,2022.10.30 (종이책 출간 2022.10.07),"11,700원",0,과학/공학
나비를 그리는 소녀,조이스 시드먼,북레시피,2020.05.20,"10,800원",0,과학/공학
위험물 질의회신 내용모음,편집부,소방문화사,2019.03.01,"4,500원",0,과학/공학
식물의학,최재을,한국방송통신대학교출판문화원,2018.04.13 (종이책 출간 2018.02.19),"22,500원",10,과학/공학
배관설계 데이터북,테크노공학기술연구소,엔지니어북스,2015.11.27 (종이책 출간 2013.07.01),"20,160원",2.5,과학/공학
조상호의 천체사진 길라잡이,조상호,가람기획,2006.07.13 (종이책 출간 2004.10.30),"9,720원",7.5,과학/공학
빅뱅 우주론 강의,이석영,사이언스북스,2017.06.29 (종이책 출간 2017.03.24),"13,500원",9.7,과학/공학
흙부대 집,김성원,들녘,2015.01.15 (종이책 출간 2009.02.27),"13,860원",8.8,과학/공학
PC 기반 제어,김영민,광문각,2017.09.06 (종이책 출간 2016.10.25),"21,600원",10,과학/공학
전기차 첨단기술 교과서,톰 덴튼,보누스,2021.09.02 (종이책 출간 2021.09.10),"16,200원",0,과학/공학
궤도의 과학 허세(리커버),궤도,동아시아,2022.07.04 (종이책 출간 2022.06.22),"10,080원",10,과학/공학
일어날 일은 일어난다,박권,동아시아,2021.10.20 (종이책 출간 2021.10.15),"11,025원",9.2,과학/공학
위험한 과학책,랜들 먼로,시공사,2015.06.11 (종이책 출간 2015.04.24),"13,860원",9.6,과학/공학
더 위험한 과학책,랜들 먼로,시공사,2020.03.03 (종이책 출간 2020.01.25),"13,860원",9.6,과학/공학
비,신시아 바넷,21세기북스,2017.08.21 (종이책 출간 2017.07.21),"20,160원",9.8,과학/공학
"기억하는 뇌, 망각하는 뇌",이인아,21세기북스,2022.08.01 (종이책 출간 2022.07.15),"12,240원",9.8,과학/공학
신비롭지 않은 여자들,임소연,민음사,2022.07.05 (종이책 출간 2022.06.01),"9,450원",9.5,과학/공학
수공구조물 공학설계를 위한 수문학.수리학,윤용남,교문사,2021.05.07 (종이책 출간 2021.02.19),"23,760원",8.2,과학/공학
생물의 이름에는 이야기가 있다,스티븐 허드,김영사,2021.11.26 (종이책 출간 2021.08.23),"11,250원",9.8,과학/공학
초공간,미치오 카쿠,김영사,2018.06.12 (종이책 출간 2018.06.13),"15,750원",9.7,과학/공학
필드,린 맥태거트,김영사,2016.12.02 (종이책 출간 2016.11.25),"9,900원",9.4,과학/공학
뇌 진화의 역사,브렛 스텟카,리가서재,2022.07.16 (종이책 출간 2022.06.30),"12,600원",10,과학/공학
흙의 학교,기무라 아키노리,목수책방,2020.12.22 (종이책 출간 2015.01.23),"8,190원",10,과학/공학
거룩한 똥,진 록스던,목수책방,2017.12.21 (종이책 출간 2017.09.30),"10,710원",10,과학/공학
"빌트, 우리가 지어 올린 모든 것들의 과학",로마 아그라왈,어크로스,2019.09.06 (종이책 출간 2019.08.23),"9,900원",9.1,과학/공학
어쩐지 미술에서 뇌과학이 보인다,에릭 캔델,프시케의숲,2019.03.18 (종이책 출간 2019.01.01),"11,844원",9.6,과학/공학
체육관으로 간 뇌과학자,웬디 스즈키,북라이프,2019.06.24 (종이책 출간 2019.06.25),"10,710원",9.7,과학/공학
우주날씨 이야기,황정아,플루토,2019.10.24 (종이책 출간 2019.08.06),"10,710원",10,과학/공학
천문학 콘서트   우리가 살면서 한 번은 꼭 읽어야 할 천문학 이야기(개정증보판),이광식,더숲,2018.11.08 (종이책 출간 2018.09.24),"11,340원",9.7,과학/공학
별보기의 즐거움,조강욱,들메나무,2019.01.11 (종이책 출간 2017.04.08),"12,600원",9.9,과학/공학
인류사를 바꾼 위대한 과학,아널드 R 브로디,글담출판,2018.04.04 (종이책 출간 2018.04.02),"14,490원",9.3,과학/공학
일렉트릭 유니버스,데이비드 보더니스,글램북스,2015.04.14 (종이책 출간 2014.10.10),"6,570원",9.3,과학/공학
기계설계산업기사 일반기계기사 2D & 3D 실기 퍼펙트 가이드북,조성일,메카피아,2015.12.10 (종이책 출간 2014.05.10),"18,900원",9.2,과학/공학
비전공자도 이해할 수 있는 AI 지식,박상길,반니,2022.09.01 (종이책 출간 2022.03.04),"11,700원",9.7,과학/공학
수학 하지 않는 수학,제이슨 윌크스,시공사,2020.12.21 (종이책 출간 2020.11.30),"20,160원",9.6,과학/공학
미분과 적분,뉴턴프레스,아이뉴턴(뉴턴코리아),2020.07.02 (종이책 출간 2020.06.05),"5,985원",9.7,과학/공학
토질역학의 원리,이인모,씨아이알,2021.06.18 (종이책 출간 2021.03.02),"21,600원",7.5,과학/공학
수리학,김민환,씨아이알,2018.10.26 (종이책 출간 2014.07.03),"8,100원",0,과학/공학
2022 도로교통사고감정사 한권으로 끝내기,권순익,시대고시기획,2022.05.17 (종이책 출간 2022.06.03),"21,420원",10,과학/공학
2022 Win-Q 바이오화학제품제조산업기사 필기 단기완성,조은진,시대고시기획,2022.05.03 (종이책 출간 2022.06.03),"17,010원",10,과학/공학
2022 화재감식평가기사·산업기사 필기 기출문제집,문옥섭,시대고시기획,2022.02.10 (종이책 출간 2022.03.04),"17,640원",10,과학/공학
종의 기원,찰스 다윈,올재클래식스,2020.12.15,"1,900원",8.9,과학/공학
"우주 탐사 역사상 최대 야심작, 카시니호의 장대한 ‘토성 미션’",이광식,동아엠앤비,2018.08.28,"1,080원",7.5,과학/공학
"실패를 통해 발전하는 과학, 여론조사",서금영,동아엠앤비,2018.08.28,"1,080원",5.9,과학/공학
"과학, 인문으로 탐구하다",박민아,한국문학사,2015.11.11 (종이책 출간 2015.09.03),"10,000원",9.9,과학/공학
한국건축 용어사전,김왕직,동녘,2013.09.30 (종이책 출간 2007.04.10),"15,120원",9.8,과학/공학
식품학,김정숙,지구문화사,2021.12.22 (종이책 출간 2019.03.08),"19,800원",0,과학/공학
생명의 설계도 게놈 편집의 세계,NHK 게놈 편집 취재반,바다출판사,2019.01.31 (종이책 출간 2017.09.26),"9,000원",8.8,과학/공학
이기적 몬스터 : 암은 어떻게 인간을 지배해왔는가,캣 아니,현암사,2022.05.31 (종이책 출간 2021.06.15),"12,600원",10,과학/공학
"전략가, 잡초",이나가키 히데히로,더숲,2021.05.08 (종이책 출간 2021.03.26),"8,820원",9.7,과학/공학
개복치의 비밀,사와이 에쓰로,이김,2019.11.13 (종이책 출간 2018.12.02),"7,200원",10,과학/공학
송기원의 포스트 게놈 시대,송기원,사이언스북스,2019.06.05 (종이책 출간 2018.10.15),"10,800원",9.7,과학/공학
허공의 놀라운 비밀,남경흥,지식과감성,2013.08.21 (종이책 출간 2013.07.27),"9,450원",9.2,과학/공학
문과생도 이해하는 전기전자수학,야마시타 아키라,한빛아카데미,2023.02.07 (종이책 출간 2017.07.14),"18,000원",0,과학/공학
인간의 놀라운 능력 웨이파인딩,M. R. 오코너,브론스테인,2022.11.30 (종이책 출간 2022.11.30),"14,400원",0,과학/공학
크립토그래피,키스 M. 마틴,브론스테인,2022.11.23 (종이책 출간 2022.11.23),"12,600원",0,과학/공학
소성역학과 응용,김영석,시그마프레스,2016.05.13 (종이책 출간 2014.02.05),"20,790원",9.6,과학/공학
과학드림의 이상하게 빠져드는 과학책,김정훈(과학드림),더퀘스트,2022.05.31 (종이책 출간 2022.05.20),"11,655원",9.8,과학/공학
나를 나답게 만드는 것들,빌 설리번,브론스테인,2021.01.06 (종이책 출간 2020.12.23),"12,420원",9.5,과학/공학
생명의 경계,칼 짐머,브론스테인,2022.04.20 (종이책 출간 2022.04.20),"13,860원",10,과학/공학
퍼스트 스텝,제레미 드실바,브론스테인,2022.03.23 (종이책 출간 2022.03.23),"12,600원",9.3,과학/공학
유전자 임팩트,케빈 데이비스,브론스테인,2021.05.27 (종이책 출간 2021.05.26),"17,640원",9.9,과학/공학
밑바닥부터 시작하는 딥러닝. 3,사이토 고키,한빛미디어,2020.11.30 (종이책 출간 2020.11.10),"27,360원",9.7,IT/프로그래밍
"팀 개발을 위한 Git, GitHub 시작하기",정호영,한빛미디어,2020.01.15 (종이책 출간 2020.01.06),"12,960원",9.6,IT/프로그래밍
이것이 자바다,신용권,한빛미디어,2022.09.02 (종이책 출간 2022.09.05),"25,920원",10,IT/프로그래밍
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2023,김덕영,한빛미디어,2023.02.13 (종이책 출간 2023.02.06),"17,280원",8.2,IT/프로그래밍
맛있는 디자인 포토샵&일러스트레이터 CC 2023,빨간고래,한빛미디어,2023.02.13 (종이책 출간 2023.01.31),"16,560원",9,IT/프로그래밍
비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,2021.01.21 (종이책 출간 2020.07.14),"10,800원",9.1,IT/프로그래밍
이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈,한빛미디어,2020.09.28 (종이책 출간 2020.08.05),"24,480원",9.6,IT/프로그래밍
모두의 구글 애널리틱스4,김도연,길벗,2023.02.15 (종이책 출간 2023.01.25),"20,160원",0,IT/프로그래밍
포토샵&일러스트레이터 CC 2023 무작정 따라하기,"문수민,앤미디어,민지영",길벗,2023.01.28 (종이책 출간 2023.01.20),"16,560원",10,IT/프로그래밍
업무와 일상을 정리하는 새로운 방법 노션(Notion),전시진,제이펍,2022.12.09 (종이책 출간 2022.11.14),"11,907원",8.8,IT/프로그래밍
UX/UI 디자이너를 위한 실무 피그마,클레어 정,한빛미디어,2022.11.07 (종이책 출간 2022.11.01),"18,720원",10,IT/프로그래밍
클린 아키텍처: 소프트웨어 구조와 설계의 원칙,로버트 C. 마틴,인사이트,2020.06.25 (종이책 출간 2019.08.20),"19,800원",9.7,IT/프로그래밍
스프링 부트와 AWS로 혼자 구현하는 웹 서비스,이동욱,프리렉,2020.11.13 (종이책 출간 2019.11.29),"13,860원",9.4,IT/프로그래밍
실무에 바로 쓰는 일잘러의 보고서 작성법,김마라,제이펍,2022.06.23 (종이책 출간 2020.11.17),"11,340원",9.7,IT/프로그래밍
거니의 문과 감성 실용 파이썬,이건희,길벗,2023.02.09 (종이책 출간 2023.01.20),"15,840원",0,IT/프로그래밍
Do it! 알고리즘 코딩 테스트 - C++ 편,김종관,이지스퍼블리싱,2023.02.09 (종이책 출간 2022.12.28),"21,150원",0,IT/프로그래밍
성공하는 유튜브 채널은 따로 있다,강차분PD,한빛미디어,2023.01.09 (종이책 출간 2023.01.06),"12,960원",10,IT/프로그래밍
Pandas를 이용한 데이터 분석 실습,스테파니 몰린,에이콘출판,2023.01.06 (종이책 출간 2022.11.30),"36,000원",0,IT/프로그래밍
이것이 UX/UI 디자인이다,조성봉,위키북스,2022.11.30 (종이책 출간 2020.07.03),"17,640원",0,IT/프로그래밍
2023 hoa 최신 기출복원문제가 수록된 전산회계운용사 2급 필기 핵심이론+기출문제,고민석,시대고시기획,2023.01.05 (종이책 출간 2023.01.05),"11,970원",10,IT/프로그래밍
"클린 코드, 이제는 파이썬이다",알 스웨이가트,책만,2022.10.14 (종이책 출간 2022.08.16),"21,600원",10,IT/프로그래밍
임베디드 엔지니어 교과서,와타나베 노보루,제이펍,2022.06.23 (종이책 출간 2020.07.29),"16,380원",10,IT/프로그래밍
그림으로 공부하는 IT 인프라 구조,야마자키 야스시,제이펍,2021.04.15 (종이책 출간 2020.12.09),"16,380원",9.9,IT/프로그래밍
개발자도 궁금한 IT 인프라,정송화,제이펍,2020.01.02 (종이책 출간 2018.06.11),"12,600원",9.5,IT/프로그래밍
아파치 카프카 애플리케이션 프로그래밍 with 자바,최원영,비제이퍼블릭,2021.04.08 (종이책 출간 2021.04.14),"23,040원",10,IT/프로그래밍
쉽게 따라 만드는 파이썬 주식 자동 매매 시스템,박준성,길벗,2021.10.27 (종이책 출간 2021.10.14),"17,640원",9.7,IT/프로그래밍
딥러닝 챗봇,조경래,한빛미디어,2020.11.16 (종이책 출간 2020.11.01),"18,720원",8.7,IT/프로그래밍
[epub3.0]가장 빨리 만나는 코어 자바 9,카이 호스트만,길벗,2018.05.16 (종이책 출간 2018.03.30),"25,920원",9.2,IT/프로그래밍
파이썬과 케라스로 배우는 강화학습,이웅원,위키북스,2021.06.02 (종이책 출간 2020.04.07),"17,640원",10,IT/프로그래밍
아이패드 캐릭터 드로잉,난다비,성안당,2023.01.31 (종이책 출간 2023.01.31),"20,880원",9,IT/프로그래밍
직장인을 위한 실무 파워포인트,"김기만,배준오",길벗,2023.01.19 (종이책 출간 2022.12.30),"16,560원",10,IT/프로그래밍
Node.js 교과서,조현영,길벗,2022.12.29 (종이책 출간 2022.12.20),"30,240원",10,IT/프로그래밍
JAVA 언어로 배우는 디자인 패턴 입문: 쉽게 배우는 GoF의 23가지 디자인 패턴,유키 히로시,영진닷컴,2022.12.26 (종이책 출간 2022.12.10),"20,160원",10,IT/프로그래밍
깡샘의 안드로이드 앱 프로그래밍 with 코틀린,강성윤,출판사없음,2022.12.13 (종이책 출간 2022.12.16),"25,200원",10,IT/프로그래밍
2022 기사패스 정보처리기사 기출문제 상세풀이 800제,피터H,한국정보화기술,2021.12.24 (종이책 출간 2021.12.23),"13,500원",9.9,IT/프로그래밍
알고리즘,이관용,한국방송통신대학교출판문화원,2018.04.13 (종이책 출간 2018.02.19),"11,700원",9,IT/프로그래밍
파이썬(Python),박병기,아티오,2017.01.17 (종이책 출간 2017.01.30),"14,490원",9,IT/프로그래밍
대규모 서비스를 지탱하는 기술,이토 나오야,제이펍,2022.03.24 (종이책 출간 2011.02.28),"15,750원",10,IT/프로그래밍
SW 코딩자격 스크래치 3급,박희숙,광문각,2021.12.15 (종이책 출간 2021.09.06),"13,500원",10,IT/프로그래밍
Effective Debugging(이펙티브 디버깅),디오미디스 스피넬리스,한빛미디어,2017.06.07 (종이책 출간 2017.05.20),"15,120원",8.3,IT/프로그래밍
JavaScript + jQuery 입문,윤인성,한빛미디어,2017.06.01 (종이책 출간 2017.05.01),"20,160원",9.4,IT/프로그래밍
"한 달 만에 블로그 일 방문자 수 1,000명 만들기",권호영,푸른향기,2021.07.05 (종이책 출간 2021.06.10),"9,450원",9.5,IT/프로그래밍
밑바닥부터 만드는 컴퓨팅 시스템,노암 니산,인사이트,2020.06.25 (종이책 출간 2019.03.20),"18,000원",9.7,IT/프로그래밍
Cocoa Internals,김정,인사이트,2021.03.02 (종이책 출간 2017.01.03),"15,300원",7.5,IT/프로그래밍
맨먼스 미신,프레더릭 브룩스,인사이트,2021.03.02 (종이책 출간 2015.03.23),"15,840원",8,IT/프로그래밍
CODE,찰스 펫졸드,인사이트,2020.08.11 (종이책 출간 2015.01.25),"18,000원",9.8,IT/프로그래밍
스케치업 2021 & V-Ray(SketchUp Pro),남현우,정보문화사,2021.05.28 (종이책 출간 2021.04.30),"13,500원",9.4,IT/프로그래밍
인생 유니티 VR/AR 교과서,이영호,성안당,2021.04.21 (종이책 출간 2021.04.05),"25,200원",9.6,IT/프로그래밍
바닥부터 배우는 강화 학습,노승은,영진닷컴,2021.04.08 (종이책 출간 2020.09.15),"13,500원",9.7,IT/프로그래밍
스프링 인 액션,크레이그 월즈,제이펍,2020.09.07 (종이책 출간 2020.05.14),"22,050원",8.8,IT/프로그래밍
이득우의 게임 수학,이득우,책만,2022.04.18 (종이책 출간 2022.02.22),"32,400원",10,IT/프로그래밍
디자이너에 의한 디자이너를 위한 실무코딩(HTML+CSS),엄태성,비제이퍼블릭,2021.03.29 (종이책 출간 2021.03.29),"21,240원",9.7,IT/프로그래밍
아이패드 프로크리에이트로 캐릭터 이모티콘 만들기,이광욱,비제이퍼블릭,2021.02.24 (종이책 출간 2021.02.26),"16,560원",9.3,IT/프로그래밍
퇴근 후 스마트스토어로 투잡하기,해밀(박하나),비제이퍼블릭,2020.09.23 (종이책 출간 2020.09.25),"20,160원",10,IT/프로그래밍
면접을 위한 CS 전공지식 노트,주홍철,길벗,2023.01.04 (종이책 출간 2022.04.28),"15,120원",9.1,IT/프로그래밍
[epub3.0]모두의 R 데이터 분석,김도연,길벗,2020.10.07 (종이책 출간 2020.09.28),"12,600원",10,IT/프로그래밍
쉽게 따라하는 NFT 마스터 가이드,티아나 로런스,한빛미디어,2022.06.30 (종이책 출간 2022.06.15),"14,400원",9.8,IT/프로그래밍
도메인 주도 개발 시작하기: DDD 핵심 개념 정리부터 구현까지,최범균,한빛미디어,2022.04.11 (종이책 출간 2022.03.21),"20,160원",9.6,IT/프로그래밍
혼자 공부하는 컴퓨터 구조+운영체제,강민철,한빛미디어,2022.08.10 (종이책 출간 2022.08.16),"20,160원",9.8,IT/프로그래밍
스위프트 프로그래밍: Swift 5,야곰,한빛미디어,2019.10.29 (종이책 출간 2019.10.01),"23,040원",9.1,IT/프로그래밍
데이터베이스 개론과 실습,박우창,한빛아카데미,2021.06.25 (종이책 출간 2020.07.30),"26,100원",9.5,IT/프로그래밍
컴파일러의 이해,박두순,한빛아카데미,2021.06.28 (종이책 출간 2020.02.20),"24,300원",8.5,IT/프로그래밍
이산수학,박두순,한빛아카데미,2021.06.28 (종이책 출간 2019.01.31),"21,600원",9.8,IT/프로그래밍
컴퓨터 아키텍처,우종정,한빛아카데미,2021.06.28 (종이책 출간 2014.08.08),"23,400원",8.1,IT/프로그래밍
[epub3.0]클라우드 엔지니어를 위한 97가지 조언,에밀리 프리먼,길벗,2022.08.11 (종이책 출간 2022.08.10),"18,000원",10,IT/프로그래밍
[epub3.0]모두의 깃 & 깃허브,강민철,길벗,2022.07.29 (종이책 출간 2022.07.25),"12,600원",9.5,IT/프로그래밍
자기 주도 건강관리법,송춘회,모아북스,2023.01.13 (종이책 출간 2022.11.09),"14,400원",0,IT/프로그래밍
Do it! 스위프트로 아이폰 앱 만들기: 입문,"송호정,이범근 공저",이지스퍼블리싱,2023.01.27 (종이책 출간 2023.01.20),"20,700원",9.7,IT/프로그래밍
일 잘하는 디자이너,"시부야 료이치 저,안동현 역",이지스퍼블리싱,2023.01.27 (종이책 출간 2023.02.03),"9,900원",10,IT/프로그래밍
아이패드로 시작하는 음악 프로듀싱 with 개러지밴드,옥정헌,비제이퍼블릭,2023.01.25 (종이책 출간 2023.01.25),"18,000원",0,IT/프로그래밍
2023 이지패스 ADsP 데이터분석 준전문가,전용문,위키북스,2023.01.17 (종이책 출간 2023.01.16),"17,640원",10,IT/프로그래밍
러닝 타입스크립트,조시 골드버그,한빛미디어,2023.01.09 (종이책 출간 2023.01.02),"18,720원",9,IT/프로그래밍
자바스크립트로 배우는 SICP,해럴드 에이블슨,한빛미디어,2023.01.09 (종이책 출간 2022.12.30),"32,400원",7.5,IT/프로그래밍
NGINX 쿡북,데릭 디용기,한빛미디어,2023.01.09 (종이책 출간 2022.12.20),"15,120원",10,IT/프로그래밍
직장인을 위한 실무 엑셀,선양미,길벗,2023.02.03 (종이책 출간 2022.12.12),"15,120원",10,IT/프로그래밍
된다! 아이패드 하루 24시간,홍정희(톡써니),출판사없음,2023.01.03 (종이책 출간 2023.01.11),"9,450원",10,IT/프로그래밍
Do it! 리액트 모던 웹 개발 with 타입스크립트,전예홍,출판사없음,2023.02.09 (종이책 출간 2023.01.09),"25,200원",10,IT/프로그래밍
규칙으로 배우는 임베디드 시스템: CPU 이론 및 펌웨어 개발 규칙,장선웅,북랩,2022.12.25 (종이책 출간 2022.11.25),"11,340원",0,IT/프로그래밍
Code Complete 코드 컴플리트 2/E,스티브 맥코넬,위키북스,2023.01.03 (종이책 출간 2017.07.28),"34,200원",9.7,IT/프로그래밍
그림으로 배우는 파이썬 기초 문법,조대표,파이스탁,2023.01.02 (종이책 출간 2023.01.02),"13,770원",10,IT/프로그래밍
Do it! 게임 10개 만들며 배우는 파이썬,벤 포터,이지스퍼블리싱,2022.12.20,"13,500원",10,IT/프로그래밍
구글 코랩으로 배우는 인공지능 기술,아즈마 유키나가,에이케이커뮤니케이션즈,2022.11.15 (종이책 출간 2022.11.10),"28,656원",10,IT/프로그래밍
