aladin_rank,subject,aladin_writer,aladin_publisher,aladin_date,aladin_price,aladin_review,aladin_genre,sm_genre,present_date
  73    ,부부 같이 사는 게 기적입니다,김용태 (지은이) , 덴스토리(Denstory) ,2018-02-01,9660,4.0,요리/살림,가정/생활,2023-02-24
  74    ,차 상식사전,"리사 리처드슨 (지은이), 공민희 (옮긴이), 이유진 (감수) ", 길벗 ,2016-11-01,12000,5.0,요리/살림,가정/생활,2023-02-24
  75    ,열두 달 향신료 카레,김민지 (지은이) , 세미콜론 ,2022-07-01,14000,5.0,요리/살림,가정/생활,2023-02-24
  76    ,사유 식탁,"알랭 드 보통, 인생학교 (지은이), 이용재 (옮긴이) ", 오렌지디 ,2022-12-01,26950,5.0,요리/살림,가정/생활,2023-02-24
  77    ,영국 인테리어의 역사,"트레버 요크 (지은이), 김효진 (옮긴이) ", AK(에이케이)커뮤니케이션즈 ,2022-12-01,11840,5.0,요리/살림,가정/생활,2023-02-24
  78    ,남자의 바람을 응징하라!,안동헌 (지은이) , M&W ,2013-03-01,7200,4.0,요리/살림,가정/생활,2023-02-24
  79    ,"엄마니까 뚝딱, 내 아이의 아침밥 PART 01 Spring",다소마미 (지은이) , 위즈덤스타일 ,2014-11-01,2940,4.5,요리/살림,가정/생활,2023-02-24
  80    ,최고의 당뇨 밥상,마켓온오프 (지은이) , 리스컴 ,2021-03-01,10200,4.5,요리/살림,가정/생활,2023-02-24
  81    ,반찬 없이도 테이블이 완벽해지는 솥밥,킴스쿠킹 (지은이) , 길벗 ,2019-11-01,11900,5.0,요리/살림,가정/생활,2023-02-24
  82    ,세계 최고의 바리스타가 커피 초보자를 위해 만든 BOOK,"이자키 히데노리 (지은이), 전지혜 (옮긴이) ", 아티오 ,2022-03-01,11900,4.5,요리/살림,가정/생활,2023-02-24
  83    ,키토 한식,박지아 (지은이) , 경향BP ,2022-03-01,11800,5.0,요리/살림,가정/생활,2023-02-24
  84    ,브리첼의 감성 케이크,서귀영(브리첼) (지은이) , 북라이프 ,2021-05-01,15400,5.0,요리/살림,가정/생활,2023-02-24
  85    ,[고화질] R선생님의 간식,"후쿠다 리카 (글), 쿠모타 하루코 (그림) ", artePOP(아르테팝) ,2019-11-01,9600,4.5,요리/살림,가정/생활,2023-02-24
  86    ,샐러드에 반하다,장연정 (지은이) , 리스컴 ,2015-06-01,8400,5.0,요리/살림,가정/생활,2023-02-24
  87    ,프리띵의 맛있는 디저트 캔들,프리띵 (지은이) , 영진.com(영진닷컴) ,2021-06-01,10800,5.0,요리/살림,가정/생활,2023-02-24
  88    ,아침식사의 문화사 Breakfast,"헤더 안트 앤더슨 (지은이), 이상원 (옮긴이) ", 니케북스 ,2016-04-01,15000,4.0,요리/살림,가정/생활,2023-02-24
  89    ,"샐러드가 필요한 모든 순간, 나만의 드레싱이 빛나는 순간",지은경 (지은이) , 레시피팩토리 ,2022-11-01,11760,4.5,요리/살림,가정/생활,2023-02-24
  90    ,인류 역사에 담긴 음식문화 이야기,"린다 시비텔로 (지은이), 이영미, 김소영, 최정희 (옮긴이) ", 린(LINN) ,2018-08-01,23000,5.0,요리/살림,가정/생활,2023-02-24
  91    ,"엄마니까 뚝딱, 내 아이의 아침밥 PART 04 Winter",다소마미 (지은이) , 위즈덤스타일 ,2014-11-01,2940,4.5,요리/살림,가정/생활,2023-02-24
  92    ,스페인 가정식 레시피,박수정 (지은이) , 아이생각(디지털북스) ,2020-04-01,13000,0.0,요리/살림,가정/생활,2023-02-24
  93    ,관계 디자인,박소영 (지은이) , 부커 ,2021-08-01,10500,5.0,요리/살림,가정/생활,2023-02-24
  94    ,더 캔들 The Candle,이송희 (지은이) , 한빛라이프 ,2016-06-01,11340,5.0,요리/살림,가정/생활,2023-02-24
  95    ,인생을 바꾸고 싶다면 서랍부터 정리하세요,이은영(더 프레젠트) (지은이) , 21세기북스 ,2022-12-01,14240,4.5,요리/살림,가정/생활,2023-02-24
  96    ,나는 당신이 작은 얼굴을 가졌으면 좋겠습니다 : 윤곽수술 없이 작고 아름다운 얼굴 만들기,이하영 (지은이) , 미다스북스 ,2019-06-01,10000,5.0,요리/살림,가정/생활,2023-02-24
  97    ,주방에서 배우는 맛있는 과학,"사이먼 퀠런 필드 (지은이), 윤현정 (옮긴이) ", 터닝포인트 ,2022-06-01,11000,4.5,요리/살림,가정/생활,2023-02-24
  98    ,"아기와 함께 10개월 잘 먹기, 태교음식","이지연 (지은이), 신종철, 남기선 (감수) ", 레시피팩토리 ,2021-03-01,12460,5.0,요리/살림,가정/생활,2023-02-24
  99    ,당질,"마키타 젠지 (지은이), 김선숙 (옮긴이), 차원 (감수) ", 성안당 ,2021-06-01,7800,0.0,요리/살림,가정/생활,2023-02-24
  100    ,조리법별 일본 요리,"츠지조리사전문학교 (지은이), 최강록 (옮긴이) ", 클 ,2018-04-01,23100,5.0,요리/살림,가정/생활,2023-02-24
  1    ,당신도 느리게 나이 들 수 있습니다,정희원 (지은이) , 더퀘스트 ,2023-01-01,14240,5.0,건강/취미,가정/생활,2023-02-24
  2    ,음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 ,2023-01-01,12600,4.5,건강/취미,가정/생활,2023-02-24
  3    ,나는 당신이 오래오래 걸었으면 좋겠습니다,"다나카 나오키 (지은이), 송소정 (옮긴이) ", 포레스트북스 ,2018-05-01,9500,4.5,건강/취미,가정/생활,2023-02-24
  4    ,고통의 비밀,"몬티 라이먼 (지은이), 박선영 (옮긴이) ", 상상스퀘어 ,2022-11-01,13230,5.0,건강/취미,가정/생활,2023-02-24
  5    ,환자혁명,조한경 (지은이) , 에디터 ,2017-11-01,10500,4.5,건강/취미,가정/생활,2023-02-24
  6    ,식사가 잘못됐습니다,"마키타 젠지 (지은이), 전선영 (옮긴이), 강재헌 (감수) ", 더난출판사 ,2018-10-01,10150,4.0,건강/취미,가정/생활,2023-02-24
  7    ,헬스는 쪼렙입니다만,수피 (지은이) , 한문화 ,2023-01-01,10500,0.0,건강/취미,가정/생활,2023-02-24
  8    ,브레인 리부트,"크리스틴 윌르마이어 (지은이), 김나연 (옮긴이) ", 부키 ,2023-02-01,13000,4.5,건강/취미,가정/생활,2023-02-24
  9    ,피톨로지 피트니스 영양학,"이호욱, 정자람 (지은이) ", 예문당 ,2021-09-01,11000,3.5,건강/취미,가정/생활,2023-02-24
  10    ,핏블리의 헬스 다이어트 전략집,핏블리(문석기) (지은이) , 비타북스 ,2021-06-01,10500,5.0,건강/취미,가정/생활,2023-02-24
  11    ,지방 대사 켜는 스위치온 다이어트,박용우 (지은이) , 루미너스 ,2019-01-01,9800,4.5,건강/취미,가정/생활,2023-02-24
  12    ,비만코드,"제이슨 펑 (지은이), 제효영 (옮긴이) ", 시그마북스 ,2018-11-01,11200,4.5,건강/취미,가정/생활,2023-02-24
  13    ,다이어트 말고 직관적 식사,"에블린 트리볼리, 엘리스 레시 (지은이), 정지현 (옮긴이) ", 골든어페어 ,2019-05-01,15000,5.0,건강/취미,가정/생활,2023-02-24
  14    ,STOP! SMOKING : 스탑 스모킹,"알렌 카 (지은이), 심교준 (옮긴이) ", 한언출판사 ,2015-06-01,8900,4.5,건강/취미,가정/생활,2023-02-24
  15    ,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 ,2022-07-01,15000,5.0,건강/취미,가정/생활,2023-02-24
  16    ,열방약국 유방암 상담소,김훈하 (지은이) , 리더북스 ,2022-01-01,10000,5.0,건강/취미,가정/생활,2023-02-24
  17    ,처음 만나는 알렉산더 테크닉,김수연 (지은이) , 판미동 ,2022-05-01,13230,5.0,건강/취미,가정/생활,2023-02-24
  18    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,12600,5.0,건강/취미,가정/생활,2023-02-24
  19    ,자율신경계,"고바야시 히로유키 (지은이), 박주홍 (감수) ", 성안당 ,2022-12-01,7800,4.5,건강/취미,가정/생활,2023-02-24
  20    ,신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 ,2022-05-01,13200,0.0,건강/취미,가정/생활,2023-02-24
  21    ,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 ,2020-08-01,15500,4.0,건강/취미,가정/생활,2023-02-24
  22    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,13800,4.5,건강/취미,가정/생활,2023-02-24
  23    ,축구를 하며 생각한 것들,손흥민 (지은이) , 브레인스토어 ,2022-11-01,12600,4.5,건강/취미,가정/생활,2023-02-24
  24    ,섹스의 기술 (합본),이영기 (지은이) , 볼륨 ,2012-08-01,25000,0.0,건강/취미,가정/생활,2023-02-24
  25    ,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) ,2022-01-01,12000,5.0,건강/취미,가정/생활,2023-02-24
  26    ,기적의 식단,이영훈 (지은이) , 북드림 ,2021-11-01,16500,5.0,건강/취미,가정/생활,2023-02-24
  27    ,건강과 치유의 비밀,"안드레아스 모리츠 (지은이), 정진근 (옮긴이) ", 에디터 ,2020-11-01,22800,5.0,건강/취미,가정/생활,2023-02-24
  28    ,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-04-01,14000,5.0,건강/취미,가정/생활,2023-02-24
  29    ,배철현의 요가수트라 강독 1 : 삼매,배철현 (지은이) , 김영사 ,2023-01-01,15300,5.0,건강/취미,가정/생활,2023-02-24
  30    ,80세의 벽,"와다 히데키 (지은이), 김동연 (옮긴이) ", 한즈미디어 ,2022-12-01,11100,5.0,건강/취미,가정/생활,2023-02-24
  31    ,근육이 연금보다 강하다 : 건강나이를 10년 앞당기는 최강의 근력 운동,김헌경 (지은이) , 비타북스 ,2019-08-01,10300,4.5,건강/취미,가정/생활,2023-02-24
  32    ,밤의 숨소리,치아(治我) (지은이) , FIKA(피카) ,2021-03-01,11550,5.0,건강/취미,가정/생활,2023-02-24
  33    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,9000,4.5,건강/취미,가정/생활,2023-02-24
  34    ,나는 내가 죽었다고 생각했습니다,장호연 (옮긴이) , 윌북 ,2018-11-01,9660,4.5,건강/취미,가정/생활,2023-02-24
  35    ,염증 해방,정세연 (지은이) , 다산라이프 ,2022-11-01,12600,5.0,건강/취미,가정/생활,2023-02-24
  36    ,죄수 운동법,"폴 웨이드 (지은이), 정미화 (옮긴이) ", 비타북스 ,2017-07-01,15400,4.5,건강/취미,가정/생활,2023-02-24
  37    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,5000,4.0,건강/취미,가정/생활,2023-02-24
  38    ,독소를 비우는 몸,"지미 무어, 제이슨 펑 (지은이), 이문영 (옮긴이), 양준상 (감수) ", 라이팅하우스 ,2018-08-01,15000,4.5,건강/취미,가정/생활,2023-02-24
  39    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,11900,4.5,건강/취미,가정/생활,2023-02-24
  40    ,신경 청소 혁명,"구도 치아키 (지은이), 김은혜 (옮긴이) ", 비타북스 ,2021-09-01,9800,5.0,건강/취미,가정/생활,2023-02-24
  41    ,당신이 플라시보다,"조 디스펜자 (지은이), 추미란 (옮긴이) ", 샨티 ,2022-05-01,20000,4.5,건강/취미,가정/생활,2023-02-24
  42    ,맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 ,2022-06-01,12950,4.5,건강/취미,가정/생활,2023-02-24
  43    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,8000,4.0,건강/취미,가정/생활,2023-02-24
  44    ,먹고 단식하고 먹어라,"브래드 필론 (지은이), 박종윤 (옮긴이), 고수민 (감수) ", 36.5 ,2013-06-01,11200,4.5,건강/취미,가정/생활,2023-02-24
  45    ,벤 호건 골프의 기본,"벤 호건, 허버트 워런 윈드 (지은이), 앤서니 라비엘리 (그림) ", 한국경제신문 ,2022-03-01,16000,4.5,건강/취미,가정/생활,2023-02-24
  46    ,스탠퍼드식 최고의 수면법,"니시노 세이지 (지은이), 조해선 (옮긴이) ", 북라이프 ,2017-10-01,9800,5.0,건강/취미,가정/생활,2023-02-24
  47    ,당신의 몸짓은 개에게 무엇을 말하는가,"패트리샤 맥코넬 (지은이), 신남식, 김소희 (옮긴이) ", 페티앙북스 ,2012-01-01,10800,4.5,건강/취미,가정/생활,2023-02-24
  48    ,달리기의 모든 것,남혁우 (지은이) , 매일경제신문사 ,2022-03-01,11000,5.0,건강/취미,가정/생활,2023-02-24
  49    ,고양이 집사 매뉴얼,"수의사 냥토스 (지은이), 오키에이코 (그림), 박제이 (옮긴이) ", 서사원 ,2022-02-01,12000,5.0,건강/취미,가정/생활,2023-02-24
  50    ,고양이 육아 백과,이준희 (지은이) , 테이스트북스 ,2021-06-01,18000,5.0,건강/취미,가정/생활,2023-02-24
  51    ,조금씩 천천히 자연식물식,이의철 (지은이) , 니들북 ,2021-03-01,13090,4.5,건강/취미,가정/생활,2023-02-24
  52    ,의사의 반란,신우섭 (지은이) , 에디터 ,2014-11-01,8400,4.5,건강/취미,가정/생활,2023-02-24
  53    ,체스 챔피언,김도윤 (지은이) , 성안당 ,2022-08-01,17600,5.0,건강/취미,가정/생활,2023-02-24
  54    ,미라클 브레인 푸드,"우마 나이두 (지은이), 김지혜 (옮긴이) ", 북라이프 ,2021-05-01,13860,5.0,건강/취미,가정/생활,2023-02-24
  55    ,"채식은 어렵지만, 채소 습관",홍성란 (지은이) , 휴머니스트 ,2019-07-01,8190,4.5,건강/취미,가정/생활,2023-02-24
  56    ,30일 5분 달리기,김성우 (지은이) , HB PRESS ,2021-09-01,11200,5.0,건강/취미,가정/생활,2023-02-24
  57    ,3분만 바라보면 눈이 좋아진다,"히라마쓰 루이 (지은이), 김소영 (옮긴이) ", 쌤앤파커스 ,2020-12-01,8960,5.0,건강/취미,가정/생활,2023-02-24
  58    ,갱년기 교과서,"다카오 미호 (지은이), 박승희 (옮긴이), 정문영 (감수) ", 즐거운상상 ,2022-11-01,10500,4.5,건강/취미,가정/생활,2023-02-24
  59    ,코바늘 다육이,"엠마 바남 (지은이), 송민경 (옮긴이) ", 미호 ,2021-04-01,10500,5.0,건강/취미,가정/생활,2023-02-24
  60    ,경락혈의 기본,"황명희, 이명훈 (옮긴이), 모리 히데토시 (감수) ", 성안당 ,2022-06-01,13200,0.0,건강/취미,가정/생활,2023-02-24
  61    ,영양학의 기본,"와타나베 쇼 (지은이), 차원, 양지영 (옮긴이) ", 성안당 ,2021-11-01,13200,0.0,건강/취미,가정/생활,2023-02-24
  62    ,축구직업설명서,"김환, 정다워 (지은이) ", 풋볼리스트 ,2016-12-01,9900,4.5,건강/취미,가정/생활,2023-02-24
  63    ,살아남기 위해 필요한 고통,"마쓰모토 도시히코 (지은이), 김영현 (옮긴이) ", 다다서재 ,2023-01-01,10500,5.0,건강/취미,가정/생활,2023-02-24
