순위,제목,저자,출판사,출간일,별점
44,LIVE2D 캐릭터 모델링 기초 강의,"fumi(후미) (지은이), 김재훈 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 1월,0.0
45,스토리 : 흥행하는 글쓰기,오기환 (지은이) , 시공아트 , 2020년 10월,4.0
46,이상한 날씨,"올리비아 랭 (지은이), 이동교 (옮긴이) ", 어크로스 , 2021년 12월,4.5
47,브랜드 디자인,"캐서린 슬레이드브루킹 (지은이), 이재경 (옮긴이) ", 홍디자인 , 2018년 8월,5.0
48,인체 드로잉,"앤드류 루미스 (지은이), 이나영 (옮긴이) ", 미디어샘 , 2020년 6월,5.0
49,만화 스토리 창작의 모든 것,"마크 니스 (지은이), 정아영 (옮긴이) ", 다른 , 2017년 7월,4.0
50,닫힌 방.악마와 선한 신,"장 폴 사르트르 (지은이), 지영래 (옮긴이) ", 민음사 , 2022년 7월,4.5
51,세계의 기호와 상징 사전,"D. R. 매켈로이 (지은이), 최다인 (옮긴이) ", 한즈미디어 , 2021년 11월,5.0
52,버려지는 디자인 통과되는 디자인- 웹&앱 디자인,신승희 (지은이) , 길벗 , 2019년 8월,3.0
53,한국불교미술사,"정은우, 안귀숙, 김리나 (지은이) ", 미진사 , 2021년 7월,5.0
54,1일 1클래식 1포옹,"클레먼시 버턴힐 (지은이), 이석호 (옮긴이) ", 윌북 , 2023년 1월,5.0
55,예술에서의 정신적인 것에 대하여,"바실리 칸딘스키 (지은이), 권영필 (옮긴이) ", 열화당 , 2021년 11월,0.0
56,이상한 변호사 우영우 1,문지원 (지은이) , 김영사 , 2022년 10월,5.0
57,일산오빠의 실용음악통론 평가문제집,"윤영준 (지은이), 1458music 편집부 (엮은이) ", 1458music , 2021년 6월,2.5
58,노래하는 뇌,"대니얼 J. 레비틴 (지은이), 김성훈 (옮긴이) ", 와이즈베리 , 2023년 1월,4.5
59,교향곡,최은규 (지은이) , 마티 , 2018년 1월,5.0
60,아파트,박철수 (지은이) , 마티 , 2014년 4월,4.5
61,사용자의 마음을 움직이는 UX 디자인의 힘,김동후 (지은이) , 맹그로브숲 , 2021년 5월,5.0
62,베토벤의 생애와 음악 - 범우문고 250,로맹 롤랑 (지은이) , 범우사 , 2013년 7월,0.0
63,"인생, 예술",윤혜정 (지은이) , 을유문화사 , 2022년 11월,5.0
64,월드 오브 워크래프트 3,"블리자드 엔터테인먼트, 크리스 멧젠 (지은이), 고경훈 (옮긴이) ", 제우미디어 , 2019년 8월,5.0
65,[세트] 셰익스피어 4대 비극 에디션 (총4권),"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2021년 12월,3.5
66,(해설이 있는) 클래식 음악 1편 : 글로 듣는 작곡가 인생과 작품 이야기,잇끌림편집부 (비발디.바흐.헨델.하이든.모차르트.베토벤.슈베르트) (지은이) , 잇끌림 , 2018년 1월,0.0
67,내 마음을 담은 집,서현 (지은이) , 효형출판 , 2021년 11월,4.5
68,유럽 도자기 여행 동유럽편,조용준 (지은이) , 도도(도서출판) , 2019년 12월,4.0
69,[합본] 나의 해방일지 일반판,박해영 (지은이) , 오브제 , 2023년 2월,4.5
70,취미가 호비스트 디지털 영인본 Vol.1,호비스트 (지은이) , 스타비즈 , 2020년 1월,5.0
71,영화는 세상의 암호,박태식 (지은이) , 늘봄 , 2017년 11월,4.0
72,픽사 스토리텔링,"매튜 룬 (지은이), 박여진 (옮긴이) ", 현대지성 , 2022년 1월,5.0
73,고도를 기다리며,"사뮈엘 베케트 (지은이), 오증자 (옮긴이) ", 민음사 , 2014년 12월,4.5
74,정확한 사랑의 실험,신형철 (지은이) , 마음산책 , 2014년 10월,4.5
75,리어 왕 - 열린책들 세계문학 201,박우수 (옮긴이) , 열린책들 , 2012년 3월,4.0
76,캐릭터 직업 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 최세민 (옮긴이) ", 윌북 , 2021년 10월,4.5
77,햄릿,최종철 (옮긴이) , 민음사 , 2013년 2월,4.0
78,[세트] 브람스를 좋아하세요? (총2권),류보리 (지은이) , 위즈덤하우스 , 2020년 11월,5.0
79,[고화질] 캐릭터 디자인 & 드로잉 완성,"쿠루미츠 (지은이), 김재훈 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 2월,4.5
