순위,제목,저자,출판사,출간일,별점
71,한국사 편지 5 : 대한제국부터 남북 화해 시대까지,"박은봉 (지은이), 박지훈 (그림) ", 책과함께 , 2020년 12월,4.5
72,그림 쏙 사진 쏙 세계사 - 어려움을 풀어 주는 실마리│아리아드네의 실 꾸러미,히스트 (지은이) , 가람누리 , 2022년 1월,0.0
73,초등 1학년 필수 어휘 100개의 기적,"박은주, 윤희솔 (지은이) ", 위즈덤하우스 , 2021년 2월,5.0
74,우리 역사에 숨어 있는 인권 존중의 씨앗,"김은영, 김영주 (지은이), 한용욱 (그림) ", 북멘토 , 2021년 1월,5.0
75,퍼시 잭슨과 올림포스의 신 02 : 번개도둑,"릭 라이어던 (지은이), 정서영 (그림), 이수현 (옮긴이) ", 한솔수북 , 2014년 4월,3.5
76,초등영어 연음법과 관용어,우슬초 (지은이) , 이페이지 , 2021년 6월,0.0
77,중학수학 개념 별거아니야,"하지연 (지은이), 문진록 (그림), 배수경 (감수) ", 동아엠앤비 , 2012년 7월,4.5
78,어린이를 위한 우동 한 그릇,"구리 료헤이, 다케모도 고노스케 (지은이), 이가혜 (그림), 최영혁 (옮긴이) ", 청조사 , 2015년 3월,5.0
79,경제는 어렵지만 부자가 되고 싶어,"월터 안달 (지은이), 김조이 (그림), 김선희 (옮긴이) ", 윌북 , 2021년 8월,5.0
80,햇빛초 대나무 숲에 새 글이 올라왔습니다,"황지영 (지은이), 백두리 (그림) ", (주)우리학교 , 2022년 10월,4.5
81,헨젤과 그레텔,그림 형제 (지은이) , 바로이북 , 2022년 4월,0.0
82,그 사람을 본 적이 있나요? - 보름달문고 44,"김려령 (지은이), 장경혜 (그림) ", 문학동네 , 2013년 10월,4.5
83,아기는 어떻게 태어날까?,"페르 홀름 크누센 (지은이), 정주혜 (옮긴이) ", 담푸스 , 2021년 4월,4.0
84,나무 위의 물고기,"린다 멀랠리 헌트 (지은이), 강나은 (옮긴이) ", 책과콩나무 , 2016년 6월,5.0
85,78층 나무 집,"앤디 그리피스 (지은이), 테리 덴톤 (그림), 신수진 (옮긴이) ", 시공주니어 , 2019년 9월,5.0
86,녹색 인간,"신양진 (지은이), 국민지 (그림) ", 별숲 , 2021년 5월,5.0
87,전사들 2부 새로운 예언 1 : 암흑의 밤,"에린 헌터 (지은이), 서나연 (옮긴이) ", 가람어린이 , 2020년 6월,4.5
88,아홉 살 성교육 사전 : 남자아이 몸,손경이 (지은이) , 다산에듀 , 2020년 2월,4.5
89,햇빛 이야기,한스 크리스티안 안데르센 (지은이) , 바로이북 , 2021년 11월,0.0
90,노총각의 나이트캡,한스 크리스티안 안데르센 (지은이) , 바로이북 , 2021년 7월,0.0
91,이어위그와 마녀,"다이애나 윈 존스 (지은이), 사타케 미호 (그림), 윤영 (옮긴이) ", 가람어린이 , 2020년 7월,4.5
92,한국사 편지 4 : 조선 후기부터 대한제국 성립까지,박은봉 (지은이) , 책과함께 , 2020년 12월,4.5
93,라그랑주가 들려주는 운동 법칙 이야기 (개정판) : 과학자가 들려주는 과학 이야기 063,송은영 (지은이) , 자음과모음 , 2019년 12월,5.0
95,"이태석, 낮은 곳에서 진정으로 나눔을 실천하다","채빈 (지은이), 김윤정 (그림) ", 스코프 , 2013년 11월,0.0
96,자율신경 경영학총론,김선복 (지은이) , 선지명 , 2020년 7월,5.0
97,처음 만나는 고사성어,"표시정 (글), 마이신 (그림) ", 미래주니어 , 2014년 4월,4.5
98,책 읽는 고양이 서꽁치,"이경혜 (지은이), 이은경 (그림) ", 문학과지성사 , 2022년 11월,5.0
99,영도가 필요 없는 엄마표 SR TEST 완전 정복,딸키맘 (지은이) , 페스트북 , 2022년 11월,0.0
100,맨 처음 우리나라 고조선,"이현 (지은이), 이광익 (그림) ", 휴먼어린이 , 2022년 12월,5.0
