순위,제목,저자,출판사,출간일,별점
74,Do it! 모던 자바스크립트 프로그래밍의 정석,고경희 (지은이) , 이지스퍼블리싱 (주) , 2022년 12월,5.0
75,한 권으로 끝내는 네트워크 기초,"오키타 토시야 (지은이), 김성훈 (옮긴이) ", 길벗 , 2022년 6월,5.0
76,클라우드 AWS 자격증으로 시작하기,"임호진, 오세희, 임서연 (지은이) ", 성안당 , 2022년 8월,0.0
77,회사 실무에 힘을 주는 한글 2022,김로사 (지은이) , 정보문화사 , 2022년 11월,5.0
78,맛있는 디자인 포토샵 & 일러스트레이터 CC 2023,"빨간고래(박정아), 윤이사라(포완카) (지은이) ", 한빛미디어 , 2023년 2월,5.0
79,실전에서 바로 쓰는 Next.js,"미셸 리바 (지은이), 박수현 (옮긴이) ", 한빛미디어 , 2023년 2월,0.0
80,클린 코드 Clean Code,"로버트 C. 마틴 (지은이), 이해영, 박재호 (옮긴이) ", 인사이트 , 2020년 8월,5.0
81,스프링 부트와 AWS로 혼자 구현하는 웹 서비스,이동욱(향로) (지은이) , 프리렉 , 2020년 11월,4.5
82,리팩터링 2판 (리팩토링 개정판),"마틴 파울러 (지은이), 남기혁, 개앞맵시 (옮긴이) ", 한빛미디어 , 2020년 5월,5.0
83,1일 1로그 100일 완성 IT 지식,"브라이언 W. 커니핸 (지은이), 하성창 (옮긴이) ", 인사이트 , 2022년 1월,5.0
84,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희 (지은이) , 이지스퍼블리싱 (주) , 2021년 1월,4.5
85,헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 , 2022년 4월,5.0
86,프로그래머의 뇌,"펠리너 헤르만스 (지은이), 차건회 (옮긴이) ", 제이펍 , 2022년 3월,4.5
87,Do it! 자바 프로그래밍 입문,박은종 (지은이) , 이지스퍼블리싱 , 2018년 8월,4.5
88,이것이 자바다,신용권 (지은이) , 한빛미디어 , 2022년 9월,4.5
89,오브젝트,조영호 (지은이) , 위키북스 , 2021년 3월,4.0
90,"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",우동이즘 (지은이) , 한빛미디어 , 2021년 11월,5.0
91,현업 기획자 도그냥이 알려주는 서비스 기획 스쿨,이미준 (지은이) , 초록비책공방 , 2020년 7월,5.0
92,실용주의 프로그래머 20주년 기념판,"데이비드 토머스, 앤드류 헌트 (지은이), 김창준 (감수) ", 인사이트 , 2022년 3월,4.5
93,그림으로 이해하는 AWS 구조와 기술,"오가사와라 시게타카 (지은이), 성창규 (옮긴이) ", 길벗 , 2021년 7월,4.5
94,Do it! Vue.js 입문,장기효 (지은이) , 이지스퍼블리싱 , 2018년 2월,4.5
95,국내 최다 이모티콘 승인 작가 씨엠제이가 알려주는 승인율 99.9% 이모티콘 만들기,씨엠제이(최민정) (지은이) , 한빛미디어 , 2022년 10월,5.0
96,데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) , 2022년 1월,0.0
97,스프링 부트 핵심 가이드,장정우 (지은이) , 위키북스 , 2022년 8월,5.0
98,"한 달 만에 블로그 일 방문자 수 1,000명 만들기",권호영 (지은이) , 푸른향기 , 2021년 6월,5.0
99,UX/UI의 10가지 심리학 법칙,"존 야블론스키 (지은이), 이미령 (옮긴이) ", 책만 , 2020년 11월,4.5
100,백견불여일타 스프링 부트 쇼핑몰 프로젝트 with JPA,변구훈 (지은이) , 로드북 , 2021년 11월,4.5
