순위,제목,저자,출판사,출간일,별점,장르
1323,지구인만큼 지구를 사랑할 순 없어,정세랑 (지은이) , 위즈덤하우스 , 2021년 6월,4.5,여행
1324,전국축제자랑,"박태하, 김혼비 (지은이) ", 민음사 , 2021년 3월,4.5,여행
1325,오래 준비해온 대답,김영하 (지은이) , 복복서가 , 2020년 6월,4.5,여행
1326,모든 요일의 여행,김민철 (지은이) , 북라이프 , 2016년 7월,4.5,여행
1327,미국 서부 셀프 트래블,조은정 (지은이) , 상상출판 , 2022년 6월,0.0,여행
1328,"낯선 도시에 취하다 (스위스, 이탈리아 여행기)",한윤희 (지은이) , 더플래닛 , 2011년 10월,0.0,여행
1329,자전거 여행 1,"김훈 (지은이), 이강빈 (사진) ", 문학동네 , 2015년 1월,4.5,여행
1330,일본 소도시 여행,박탄호 (지은이) , 플래닝북스 , 2018년 1월,5.0,여행
1331,나영석 피디의 어차피 레이스는 길다,나영석 (지은이) , 문학동네 , 2018년 6월,4.0,여행
1332,무작정 따라하기 후쿠오카,"전상현, 두경아 (지은이) ", 길벗 , 2019년 6월,5.0,여행
1333,"소소낭만, 일본 소도시 여행(2023~2024 최신 개정판)",우승민 (지은이) , 꿈의지도 , 2022년 10월,0.0,여행
1334,내일은 도쿄 온니-오직 도쿄만 여행하는 여행자를 위한 (2019~2020 최신정보수록),온 더 로드 저 (지은이) , 착한책방 , 2019년 7월,0.0,여행
1335,런던 셀프트래블,"박정은, 전혜진 (지은이) ", 상상출판 , 2019년 6월,4.5,여행
1336,걸어서 환장 속으로,곽민지 (지은이) , 달 , 2019년 4월,4.5,여행
1337,설레는 건 많을수록 좋아,김옥선 (지은이) , 상상출판 , 2021년 8월,4.0,여행
1338,바르셀로나에서 보낸 일주일 : 스페인 바르셀로나 여행기,한윤희 (지은이) , 더플래닛 , 2014년 3월,0.0,여행
1339,이탈리아의 사생활 : 알베르토가 전하는 이탈리아의 열 가지 무늬,"알베르토 몬디, 이윤주 (지은이) ", 틈새책방 , 2017년 7월,4.0,여행
1340,자전거 여행 2,"김훈 (지은이), 이강빈 (사진) ", 문학동네 , 2014년 1월,4.0,여행
1341,동유럽 셀프 트래블,"박정은, 장은주 (지은이) ", 상상출판 , 2022년 9월,4.5,여행
1342,북유럽 셀프 트래블,유진선 (지은이) , 상상출판 , 2022년 6월,3.0,여행
1343,다정한 구원,임경선 (지은이) , 미디어창비 , 2019년 5월,4.5,여행
1344,명품 둘레길 63선_전국 최고의 걷기 코스만 모았다!,조선이북 편집팀 (지은이) , 조선뉴스프레스 , 2012년 1월,0.0,여행
1345,"타이페이, 대만 자유여행",지구별여행자 (지은이) , Lucky Bag , 2018년 1월,0.0,여행
1346,베트남 셀프트래블,정승원 (지은이) , 상상출판 , 2019년 6월,5.0,여행
1347,지금 발리(2022),송지헌 (지은이) , 플래닝북스 , 2022년 9월,5.0,여행
1348,저스트고 미국 동부 (2019~2020년 최신개정판),"윤영주, 서태경 (지은이) ", 시공사 , 2019년 12월,0.0,여행
1349,"내 손으로, 발리 BOOK",NEWRUN(뉴런) ,, 2015년 6월,4.5,여행
1350,독일 셀프 트래블,김주희 (지은이) , 상상출판 , 2022년 9월,0.0,여행
1351,무작정 따라하기 방콕,"이진경, 김경현 (지은이) ", 길벗 , 2019년 7월,4.5,여행
1352,"나 홀로 유럽 7 : 찌릿찌릿 프랑스(파리, 베르사유)",백원달 (지은이) , 더플래닛 , 2022년 12월,0.0,여행
1353,ENJOY 일본어 메뉴판 읽기 : 일본 여행에서 꼭 먹어야 할 음식,황미진 (지은이) , 넥서스 , 2017년 10월,4.0,여행
1354,포르투갈 리스본 가이드북,한윤희 (지은이) , 더플래닛 , 2013년 4월,0.0,여행
1355,무작정 따라하기 바르셀로나,김지영 (지은이) , 길벗 , 2019년 9월,5.0,여행
1356,일본에서 일하며 산다는 것,"나무, 박현아, 김성헌, 차주영, 황세영, 시에, 이미진, 이소정, 신선아, 이예은, 김희진, 모모, 오효정, 류종미 (지은이) ", 세나북스 , 2018년 6월,4.5,여행
1357,무작정 따라하기 이탈리아,정숙영 (지은이) , 길벗 , 2020년 2월,5.0,여행
1358,퍼스트 폴란드 - 처음 떠나는 해외여행 29,"노미노, 한채영 (지은이) ", 시공사 , 2020년 2월,0.0,여행
1359,"나 홀로 유럽 13 : 반짝반짝 이탈리아(로마, 바티칸)",백원달 (지은이) , 더플래닛 , 2022년 12월,0.0,여행
1360,지구별 여행자,"류시화 (지은이), 크리스토퍼 코어 (그림) ", 연금술사 , 2019년 7월,5.0,여행
1361,절대 실패하지 않는 호주 워킹홀리데이,이도원 (지은이) , 위닝북스 , 2017년 12월,5.0,여행
1362,프라도 미술관에서 꼭 봐야 할 그림 100,김영숙 (지은이) , 휴머니스트 , 2022년 5월,4.0,여행
1363,저스트고 캄보디아,이주영 (지은이) , 시공사 , 2019년 11월,0.0,여행
1364,내 옆에 있는 사람,이병률 (지은이) , 달 , 2020년 5월,4.5,여행
1365,"인조이 나트랑, 달랏(2판)",양신혜 (지은이) , 넥서스BOOKS , 2022년 8월,5.0,여행
1366,나 홀로 유럽 11 : 반짝반짝 이탈리아(베네치아),백원달 (지은이) , 더플래닛 , 2022년 12월,0.0,여행
1367,인조이 필리핀(2020),백주희 (지은이) , 넥서스BOOKS , 2020년 4월,0.0,여행
1368,태국 문방구,이현경 (지은이) , 소장각 , 2022년 8월,4.0,여행
1369,동유럽 기행,"가브리엘 가르시아 마르케스 (지은이), 송병선 (옮긴이) ", 민음사 , 2022년 6월,5.0,여행
1370,남프랑스 홀리데이 (2019-2020 개정판),맹지나 (지은이) , 꿈의지도 , 2018년 8월,5.0,여행
1371,리얼 몽골,강한나 (지은이) , 한빛라이프 , 2022년 10월,5.0,여행
1372,"세계를 읽다, 태국","로버트 쿠퍼 (지은이), 정해영 (옮긴이) ", 도서출판 가지 , 2022년 8월,5.0,여행
1373,퍼스트 독일,"김숙현, 정기범 (지은이) ", 시공사 , 2020년 2월,0.0,여행
1374,빌 브라이슨 발칙한 미국 횡단기 (리커버 에디션),"빌 브라이슨 (지은이), 권상미 (옮긴이) ", 21세기북스 , 2021년 5월,5.0,여행
1375,스페인은 건축이다,김희곤 (지은이) , 오브제(다산북스) , 2014년 4월,4.0,여행
1376,반나절 서울 걷기 여행,"최미선, 신석교 (지은이) ", 넥서스BOOKS , 2020년 8월,0.0,여행
1377,"일단 멈춤, 교토",송은정 (지은이) , 꿈의지도 , 2018년 3월,4.0,여행
1378,한호림의 진짜 캐나다 이야기,한호림 (지은이) , 리수 , 2016년 9월,4.0,여행
1379,"보라카이, 세부, 보홀 홀리데이 (2019-2020 개정판)",박애진 (지은이) , 꿈의지도 , 2019년 7월,0.0,여행
1380,40일간의 남미 일주,최민석 (지은이) , 해냄출판사 , 2020년 8월,4.0,여행
1381,"포르투갈, 시간이 머무는 곳",최경화 (지은이) , 모요사 , 2019년 7월,5.0,여행
1382,진짜 모로코와 만나는 시간 : 천사의 모로코 여행,이수호 (지은이) , 더플래닛 , 2016년 6월,0.0,여행
1383,여행이 좋아 미국동부,LA중앙일보 (엮은이) , 포북(for book) , 2015년 3월,4.0,여행
1384,여행이 좋아 미국서부,LA중앙일보 (엮은이) , 포북(for book) , 2015년 3월,0.0,여행
1385,느긋하게 즐기는 쿠로카와 온천마을 완전정복,이즈미 (지은이) , 유페이퍼 , 2019년 12월,0.0,여행
1386,미국 서부 맥주 산책,"이현수 (지은이), 손형진 (감수) ", 더디퍼런스 , 2020년 1월,4.5,여행
1387,베네치아 걷기여행,"조앤 티트마시 (지은이), 정현진 (옮긴이) ", 터치아트 , 2016년 9월,4.0,여행
1388,영국 :  바꾸지 않아도 행복한 나라 - 타산지석 01,"이식, 전원경 (지은이) ", 리수 , 2013년 4월,4.5,여행
1389,유럽 도자기 여행 동유럽편,조용준 (지은이) , 도도(도서출판) , 2019년 12월,4.0,여행
1390,한번가면 평생 잊지 못할 울릉도 여행,양영훈 (지은이) , 예담 , 2011년 11월,4.5,여행
1391,퍼스트 방콕,박진주 (지은이) , 시공사 , 2020년 2월,0.0,여행
1392,베를린 홀리데이,유상현 (지은이) , 꿈의지도 , 2017년 3월,0.0,여행
1393,"가자, 강원도 속초 여행 (최신 확장판)",럭키백여행 (엮은이) , LuckyBag , 2017년 2월,0.0,여행
1394,그래서 네덜란드로 갔어,죠디 리 (지은이) , 하모니북 , 2020년 4월,4.0,여행
1395,간도기행,김기림 (지은이) , 온이퍼브 , 2021년 1월,0.0,여행
1396,포르투갈 홀리데이,"맹지나, 우지경 (지은이) ", 꿈의지도 , 2019년 12월,0.0,여행
1397,피렌체 걷기여행,"엘라 카 (지은이), 정현진 (옮긴이) ", 터치아트 , 2019년 1월,4.0,여행
1398,이욱정 PD의 요리인류 키친,이욱정 (지은이) , 예담 , 2015년 12월,4.0,여행
1399,바나나 그 다음,박성호 (지은이) , 북하우스 , 2017년 12월,4.5,여행
1400,이탈리아 여행 스크랩북,김성윤 (지은이) , 깊은나무 , 2017년 2월,0.0,여행
1401,사피엔스,"유발 하라리 (지은이), 조현욱 (옮긴이), 이태수 (감수) ", 김영사 , 2023년 1월,4.5,역사
1402,지리의 힘,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2016년 8월,4.0,역사
1403,지리의 힘 2,"팀 마샬 (지은이), 김미선 (옮긴이) ", 사이 , 2022년 4월,4.0,역사
1404,군중의 망상,"윌리엄 번스타인 (지은이), 노윤기 (옮긴이) ", 포레스트북스 , 2023년 1월,5.0,역사
1405,사소절,"이덕무 (지은이), 이동희 (옮긴이) ", 전통문화연구회 , 2013년 6월,4.5,역사
1406,전쟁으로 보는 서양사,"살라흐 앗 딘 (지은이), 압둘와헤구루 (그림) ", 부커 , 2023년 2월,4.5,역사
1407,거의 모든 것의 역사,"빌 브라이슨 (지은이), 이덕환 (옮긴이) ", 까치 , 2020년 5월,4.5,역사
1408,초판본 한중록,"혜경궁 홍씨 (지은이), 박병성 (옮긴이) ", 더스토리 , 2020년 4월,5.0,역사
1409,창발의 시대,"패트릭 와이먼 (지은이), 장영재 (옮긴이) ", 로크미디어 , 2022년 11월,0.0,역사
1410,본격 한중일 세계사 15,굽시니스트 (지은이) , 위즈덤하우스 , 2023년 1월,4.0,역사
1411,로마인 이야기 1,"시오노 나나미 (지은이), 김석희 (옮긴이) ", 한길사 , 2022년 10월,4.0,역사
1412,아주 평범한 사람들,"크리스토퍼 R. 브라우닝 (지은이), 이진모 (옮긴이) ", 책과함께 , 2023년 2월,5.0,역사
1413,거꾸로 읽는 세계사,유시민 (지은이) , 돌베개 , 2021년 10월,4.5,역사
1414,인간의 흑역사 : 인간의 욕심은 끝이 없고 똑같은 실수를 반복한다,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2019년 10월,4.5,역사
1415,세상에서 가장 짧은 한국사,김재원 (지은이) , 빅피시 , 2022년 6월,5.0,역사
1416,박시백의 고려사 3,박시백 (지은이) , 휴머니스트 , 2023년 1월,5.0,역사
1417,썬킴의 거침없는 세계사,썬킴 (지은이) , 넥서스 , 2021년 5월,5.0,역사
1418,세금의 세계사,"도미닉 프리스비 (지은이), 조용빈 (옮긴이) ", 한빛비즈 , 2022년 3월,5.0,역사
1419,하멜 표류기 : 1668년 오리지널 초판본 표지디자인,"헨드릭 하멜 (지은이), 유동익 (옮긴이) ", 더스토리 , 2020년 2월,5.0,역사
1420,인류본사,이희수 (지은이) , 휴머니스트 , 2022년 7월,5.0,역사
1421,병자호란,"임용한, 조현영 (지은이) ", 레드리버 , 2022년 2월,4.5,역사
1422,만화로 배우는 와인의 역사,"브누아 시마 (지은이), 다니엘 카사나브 (그림), 이정은 (옮긴이) ", 한빛비즈 , 2019년 12월,4.5,역사
1423,"여성, 인종, 계급","앤절라 Y. 데이비스 (지은이), 성원 (옮긴이) ", arte(아르테) , 2022년 8월,5.0,역사
1424,[세트] 로마인 이야기 (총15권),"시오노 나나미 (지은이), 김석희 (옮긴이) ", 한길사 , 2022년 10월,0.0,역사
1425,거의 모든 전쟁의 역사,"제러미 블랙 (지은이), 유나영 (옮긴이) ", 서해문집 , 2022년 6월,3.5,역사
1426,세상에서 가장 짧은 세계사,"존 허스트 (지은이), 김종원 (옮긴이) ", 위즈덤하우스 , 2017년 11월,3.5,역사
1427,최초의 신화 길가메쉬 서사시 (리커버 개정판),김산해 (지은이) , 휴머니스트 , 2020년 7월,4.5,역사
1428,일본의 굴레,"R. 태가트 머피 (지은이), 윤영수, 박경환 (옮긴이) ", 글항아리 , 2021년 4월,4.5,역사
1429,음식의 언어,"댄 주래프스키 (지은이), 김병화 (옮긴이) ", 어크로스 , 2015년 4월,4.5,역사
1430,문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 , 2017년 4월,4.0,역사
1431,30개 도시로 읽는 일본사,"조 지무쇼 (지은이), 이세연, 긴다 아키히로 (감수) ", 다산초당 , 2021년 12월,4.5,역사
1432,바다 인류,주경철 (지은이) , 휴머니스트 , 2022년 2월,5.0,역사
1433,중동전쟁,"임용한, 조현영 (지은이) ", 레드리버 , 2022년 12월,5.0,역사
1434,나폴레옹 세계사,"알렉산더 미카베리즈 (지은이), 최파일 (옮긴이) ", 책과함께 , 2022년 2월,5.0,역사
1435,나의 문화유산답사기 9,유홍준 (지은이) , 창비 , 2017년 8월,4.5,역사
1436,왜 서양이 지배하는가,"이언 모리스 (지은이), 최파일 (옮긴이) ", 글항아리 , 2017년 10월,4.5,역사
1437,낙인찍힌 몸,염운옥 (지은이) , 돌베개 , 2019년 9월,4.5,역사
1438,헤이세이(平成) 일본의 잃어버린 30년,"요시미 슌야 (지은이), 서의동 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2020년 7월,4.5,역사
1439,본격 한중일 세계사 5,굽시니스트 (지은이) , 위즈덤하우스 , 2019년 4월,4.5,역사
1440,미즈키 시게루의 라바울 전기,"미즈키 시게루 (지은이), 김효진 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,4.5,역사
1441,세상에서 가장 짧은 미국사,"폴 S. 보이어 (지은이), 김종원 (옮긴이) ", 위즈덤하우스 , 2021년 4월,5.0,역사
1442,세계사 신박한 정리,박영규 (지은이) , 김영사 , 2022년 12월,4.5,역사
1443,한눈에 꿰뚫는 세계지도 상식도감 : 지도로 읽는다,"롬 인터내셔널 (지은이), 정미영 (옮긴이) ", 이다미디어 , 2020년 1월,4.5,역사
1444,"갑골음으로 잡는 식민사학, 동북공정",최춘태 (지은이) , 북랩 , 2017년 3월,4.5,역사
1445,마약 중독과 전쟁의 시대,"노르만 올러 (지은이), 박종대 (옮긴이) ", 열린책들 , 2022년 12월,5.0,역사
1446,난중일기,"이순신 (지은이), 송찬섭 (옮긴이), 김성수 (낭독) ", 서해문집 , 2020년 8월,4.5,역사
1447,임락경의 우리 영성가 이야기,임락경 (지은이) , 홍성사 , 2018년 12월,5.0,역사
1448,세계사를 바꾼 전쟁의 고수들,임용한 (지은이) , EBS BOOKS , 2022년 12월,4.0,역사
1449,사진으로 보는 우리 문화유산,강형원 (지은이) , 알에이치코리아(RHK) , 2022년 10월,5.0,역사
1450,10대 민족으로 읽는 패권의 세계사,"미야자키 마사카츠 (지은이), 정은희 (옮긴이) ", 미래의창 , 2023년 1월,5.0,역사
1451,사우디아라비아,"캐런 엘리엇 하우스 (지은이), 빙진영 (옮긴이), 서정민 (해제) ", 메디치미디어 , 2016년 9월,4.5,역사
1452,원사열전 총서,방기혁 (지은이) , 슬기야단비야 , 2015년 6월,0.0,역사
1453,원사번역한자,방기혁 (지은이) , 슬기야단비야 , 2015년 6월,0.0,역사
1454,"전쟁과 약, 기나긴 악연의 역사",백승만 (지은이) , 동아시아 , 2022년 9월,5.0,역사
1455,불멸의 유혹 - 카사노바 자서전,"자코모 카사노바 (지은이), 이경식, 백찬욱 (옮긴이) ", 휴먼앤북스(Human&Books) , 2010년 4월,5.0,역사
1456,박시백의 고려사 1,박시백 (지은이) , 휴머니스트 , 2022년 3월,4.5,역사
1457,제주 4.3을 묻는 너에게,허영선 (지은이) , 서해문집 , 2018년 4월,4.5,역사
1458,어제까지의 세계,"재레드 다이아몬드 (지은이), 강주헌 (옮긴이) ", 김영사 , 2016년 4월,5.0,역사
1459,박시백의 고려사 2,박시백 (지은이) , 휴머니스트 , 2022년 8월,4.5,역사
1460,미루기의 천재들,"앤드루 산텔라 (지은이), 김하현 (옮긴이) ", 어크로스 , 2019년 2월,3.5,역사
1461,경성을 뒤흔든 11가지 연애사건,이철 (지은이) , 다산초당(다산북스) , 2011년 9월,4.0,역사
1462,조선잡사,"강문종, 장유승, 홍현성, 김동건 (지은이) ", 민음사 , 2020년 11월,4.0,역사
1463,눈에 보이지 않는 지도책,"제임스 체셔, 올리버 우버티 (지은이), 송예슬 (옮긴이) ", 윌북 , 2022년 11월,5.0,역사
1464,나의 문화유산답사기 10 : 서울편 2,유홍준 (지은이) , 창비 , 2017년 8월,4.5,역사
1465,미식가의 어원 사전,"앨버트 잭 (지은이), 정은지 (옮긴이) ", 윌북 , 2022년 2월,4.0,역사
1466,메트로폴리스,"벤 윌슨 (지은이), 박수철 (옮긴이), 박진빈 (감수) ", 매일경제신문사 , 2021년 2월,5.0,역사
1467,석유는 어떻게 세계를 지배하는가,최지웅 (지은이) , 부키 , 2019년 8월,4.5,역사
1468,썬킴의 세계사 완전 정복,썬킴 (지은이) , 알에이치코리아(RHK) , 2022년 8월,5.0,역사
1469,"괴물, 조선의 또 다른 풍경",곽재식 (지은이) , 위즈덤하우스 , 2021년 1월,4.0,역사
1470,다시는 신을 부르지 마옵소서,김준태 (지은이) , 눌민 , 2020년 9월,4.5,역사
1471,히틀러를 선택한 나라,"벤저민 카터 헷 (지은이), 이선주 (옮긴이) ", 눌와 , 2022년 5월,4.5,역사
1472,"합스부르크, 세계를 지배하다","마틴 래디 (지은이), 박수철 (옮긴이) ", 까치글방 , 2022년 11월,4.5,역사
1473,하멜표류기,"헨드릭 하멜 (지은이), 신동운 (옮긴이) ", 스타북스 , 2020년 2월,4.5,역사
1474,1페이지 한국사 365,심용환 (지은이) , 빅피시 , 2021년 8월,4.5,역사
1475,박시백의 조선왕조실록,박시백 (지은이) , 휴머니스트 , 2015년 8월,4.5,역사
1476,신의 전쟁,"카렌 암스트롱 (지은이), 정영목 (옮긴이) ", 교양인 , 2021년 10월,4.5,역사
1477,본격 한중일 세계사 14,굽시니스트 (지은이) , 위즈덤하우스 , 2022년 8월,5.0,역사
1478,만화로 배우는 요리의 역사,"브누아 시마 (지은이), 스테판 두에 (그림), 김모 (옮긴이) ", 한빛비즈 , 2022년 10월,5.0,역사
1479,지구를 구할 여자들,"카트리네 마르살 (지은이), 김하현 (옮긴이) ", 부키 , 2022년 9월,5.0,역사
1480,[세트] 사기 열전 (개정판) (전2권),"사마천 (지은이), 김원중 (옮긴이) ", 민음사 , 2015년 8월,0.0,역사
1481,몸으로 읽는 세계사,"로스 페트라스, 캐스린 페트라스 (지은이), 박지선 (옮긴이) ", 다산초당(다산북스) , 2023년 1월,5.0,역사
1482,메이지유신을 설계한 최후의 사무라이들,박훈 (지은이) , 21세기북스 , 2020년 12월,5.0,역사
1483,본격 한중일 세계사 12,굽시니스트 (지은이) , 위즈덤하우스 , 2021년 12월,4.0,역사
1484,본격 한중일 세계사 13,굽시니스트 (지은이) , 위즈덤하우스 , 2022년 4월,4.0,역사
1485,강남의 탄생,"한종수, 강희용 (지은이) ", 미지북스 , 2016년 5월,4.5,역사
1486,진실의 흑역사,"톰 필립스 (지은이), 홍한결 (옮긴이) ", 윌북 , 2020년 11월,4.5,역사
1487,마녀를 심판하는 망치,"하인리히 크라머, 야콥 슈프랭거 (지은이), 이재필 (옮긴이) ", 우물이있는집 , 2017년 2월,5.0,역사
1488,유령에 홀린 세계사,"리사 모튼 (지은이), 박일귀 (옮긴이) ", 탐나는책 , 2022년 12월,4.5,역사
1489,"유럽의 첫 번째 태양, 스페인","서희석, 호세 안토니오 팔마 (지은이) ", 을유문화사 , 2015년 10월,4.5,역사
1490,광기와 우연의 역사,"슈테판 츠바이크 (지은이), 안인희 (옮긴이), 오지혜 (낭독) ", 커뮤니케이션북스 , 2019년 12월,4.5,역사
1491,난중일기,"이순신 (지은이), 장윤철 (옮긴이) ", 스타북스 , 2022년 8월,5.0,역사
1492,하이켈하임 로마사 : 한 권으로 읽는 디테일 로마사,"프리츠 하이켈하임 (지은이), 김덕수 (옮긴이) ", 현대지성 , 2017년 11월,5.0,역사
1493,나의 문화유산답사기 1,유홍준 (지은이) , 창비 , 2012년 10월,0.0,역사
1494,두선생의 지도로 읽는 세계사 : 서양 편,한영준 (지은이) , 21세기북스 , 2022년 4월,5.0,역사
1495,"사마천 사기 56 : 본기, 세가, 열전, 서의 명편들","사마천 (지은이), 소준섭 (옮긴이) ", 현대지성 , 2016년 7월,4.5,역사
1496,벌거벗은 한국사 : 인물편,"tvN〈벌거벗은 한국사〉제작팀 (지은이), 최태성 (감수) ", 프런트페이지 , 2022년 10월,5.0,역사
1497,감염도시,"스티븐 존슨 (지은이), 김명남 (옮긴이) ", 김영사 , 2020년 4월,5.0,역사
1498,죽음을 넘어 시대의 어둠을 넘어,"황석영, 전용호, 이재의 (지은이), (사)광주민주화운동기념사업회 (엮은이) ", 창비 , 2017년 5월,0.0,역사
1499,본격 한중일 세계사 3,굽시니스트 (지은이) , 위즈덤하우스 , 2019년 4월,5.0,역사
1500,교양인을 위한 수학사 강의 : 수의 탄생에서 카오스 이론까지 20가지 주제로 살펴보는 수학의 역사,"이언 스튜어트 (지은이), 노태복 (옮긴이) ", 반니 , 2016년 3월,5.0,역사
1501,생생하게 살아 있는 캐릭터 만드는 법,"키라앤 펠리컨 (지은이), 정미화 (옮긴이) ", 아날로그(글담) , 2023년 1월,5.0,예술/대중문화
1502,심판,"베르나르 베르베르 (지은이), 전미연 (옮긴이) ", 열린책들 , 2020년 8월,4.5,예술/대중문화
1503,나는 좌절의 스페셜리스트입니다,백혜선 (지은이) , 다산북스 , 2023년 1월,5.0,예술/대중문화
1504,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) (지은이) , 한빛미디어 , 2022년 6월,5.0,예술/대중문화
1505,일 잘하는 디자이너,"시부야 료이치(파치파치 디자인) (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 , 2023년 2월,5.0,예술/대중문화
1506,"철학자 들뢰즈, 화가 베이컨을 말하다",박정태 (지은이) , 이학사 , 2019년 1월,5.0,예술/대중문화
1507,딜레마 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 오수원 (옮긴이) ", 윌북 , 2022년 8월,4.5,예술/대중문화
1508,카메라를 끄고 씁니다,"양영희 (지은이), 인예니 (옮긴이) ", 마음산책 , 2022년 11월,5.0,예술/대중문화
1509,[합본] 나의 해방일지 일반판,박해영 (지은이) , 오브제 , 2023년 2월,4.5,예술/대중문화
1510,헤어질 결심 각본,"박찬욱, 정서경 (지은이) ", 을유문화사 , 2022년 8월,5.0,예술/대중문화
1511,햄릿 (한글+영문판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 6월,5.0,예술/대중문화
1512,모국어는 차라리 침묵,목정원 (지은이) , 아침달 , 2022년 6월,4.5,예술/대중문화
1513,오셀로 (한글판 + 영문판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 , 2015년 1월,0.0,예술/대중문화
1514,한경아르떼 합스부르크 600년 매혹의 걸작들 100배 즐기기,한경arte 특별취재팀 (지은이) , 한국경제신문 , 2022년 12월,5.0,예술/대중문화
1515,1일 1클래식 1포옹,"클레먼시 버턴힐 (지은이), 이석호 (옮긴이) ", 윌북 , 2023년 1월,5.0,예술/대중문화
1516,인간의 마음을 사로잡는 스무 가지 플롯,"로널드 B. 토비아스 (지은이), 김석만 (옮긴이) ", 풀빛 , 2015년 3월,4.5,예술/대중문화
1517,바냐 아저씨 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2014년 6월,5.0,예술/대중문화
1518,캐릭터 직업 사전,"안젤라 애커만, 베카 푸글리시 (지은이), 최세민 (옮긴이) ", 윌북 , 2021년 10월,4.5,예술/대중문화
1519,인형의 집,"헨리크 입센 (지은이), 안미란 (옮긴이) ", 민음사 , 2012년 7월,4.5,예술/대중문화
1520,STORY 시나리오 어떻게 쓸 것인가,"로버트 맥키 (지은이), 고영범, 이승민 (옮긴이) ", 민음인 , 2019년 2월,4.5,예술/대중문화
1521,오셀로,"윌리엄 셰익스피어 (지은이), 최종철 (옮긴이) ", 민음사 , 2013년 2월,4.5,예술/대중문화
1522,닫힌 방.악마와 선한 신,"장 폴 사르트르 (지은이), 지영래 (옮긴이) ", 민음사 , 2022년 7월,4.5,예술/대중문화
1523,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) , 2022년 4월,5.0,예술/대중문화
1524,도시는 무엇으로 사는가,유현준 (지은이) , 을유문화사 , 2015년 5월,4.5,예술/대중문화
1525,햄릿 (한글),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2012년 12월,4.0,예술/대중문화
1526,맥베스 (한글판),"윌리엄 셰익스피어 (지은이), 한우리 (옮긴이) ", 더클래식 , 2013년 8월,4.0,예술/대중문화
1527,빌런의 공식,"사샤 블랙 (지은이), 정지현 (옮긴이) ", 윌북 , 2022년 10월,5.0,예술/대중문화
1528,한계선을 넘다,크래프톤 (지은이) , 황금가지 , 2022년 11월,5.0,예술/대중문화
1529,벚꽃동산 (한글판),"안톤 파블로비치 체호프 (지은이), 장한 (옮긴이) ", 더클래식 , 2013년 12월,3.5,예술/대중문화
1530,앤드류 루미스의 인체 드로잉,앤드류 루미스 (지은이) , 아르드 , 2020년 3월,0.0,예술/대중문화
1531,아가씨 각본,"박찬욱, 정서경 (지은이) ", 그책 , 2016년 9월,4.5,예술/대중문화
1532,일러스트로 배우는 채색 테크닉,"무라 카루키 (지은이), 김재훈 (옮긴이) ", AK(에이케이)커뮤니케이션즈 , 2022년 6월,5.0,예술/대중문화
1533,오셀로 (한글판),"윌리엄 셰익스피어 (지은이), 김민애 (옮긴이) ", 더클래식 , 2017년 4월,0.0,예술/대중문화
1534,[세트] 디테일 사전 (총2권),"안젤라 애커만, 베카 푸글리시 (지은이), 최세희 (옮긴이) ", 윌북 , 2021년 5월,4.0,예술/대중문화
1535,밤으로의 긴 여로,"유진 오닐 (지은이), 민승남 (옮긴이) ", 민음사 , 2012년 10월,4.5,예술/대중문화
1536,"디자인, 이렇게 하면 되나요?","오자와 하야토 (지은이), 구수영 (옮긴이) ", 제이펍 , 2022년 6월,5.0,예술/대중문화
1537,나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) , 2021년 6월,5.0,예술/대중문화
1538,이상한 날씨,"올리비아 랭 (지은이), 이동교 (옮긴이) ", 어크로스 , 2021년 12월,4.5,예술/대중문화
1539,기이한 것과 으스스한 것,"마크 피셔 (지은이), 안현주 (옮긴이) ", 구픽 , 2019년 8월,0.0,예술/대중문화
1540,명화로 읽는 합스부르크 역사,"나카노 교코 (지은이), 이유라 (옮긴이) ", 한경arte , 2022년 10월,4.5,예술/대중문화
1541,파우스트 1,"요한 볼프강 폰 괴테 (지은이), 정서웅 (옮긴이) ", 민음사 , 2022년 5월,4.5,예술/대중문화
1542,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) , 2022년 1월,5.0,예술/대중문화
