aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,aladin_가격
  12    ,익스텐드 마인드,"애니 머피 폴 (지은이), 이정미 (옮긴이) ", 알에이치코리아(RHK) ,2022-11-01,5.0,과학,자연/과학,14000
  13    ,코스모스,칼 세이건 (지은이) , 사이언스북스 ,2020-02-01,3.5,과학,자연/과학,16500
  14    ,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 ,2022-07-01,5.0,과학,자연/과학,15000
  15    ,AI 지도책,"케이트 크로퍼드 (지은이), 노승영 (옮긴이) ", 소소의책 ,2022-11-01,5.0,과학,자연/과학,16800
  16    ,초공간,"미치오 카쿠 (지은이), 박병철 (옮긴이) ", 김영사 ,2018-06-01,4.5,과학,자연/과학,15750
  17    ,나무 수업,"페터 볼레벤 (지은이), 장혜경 (옮긴이) ", 위즈덤하우스 ,2016-03-01,4.5,과학,자연/과학,8300
  18    ,나는 어떻게 성형미인이 되었나,임소연 (지은이) , 돌베개 ,2022-12-01,5.0,과학,자연/과학,10500
  19    ,지구가 평평하다고 믿는 사람과 즐겁고 생산적인 대화를 나누는 법,"리 매킨타이어 (지은이), 노윤기 (옮긴이) ", 위즈덤하우스 ,2022-12-01,4.5,과학,자연/과학,15400
  20    ,놓아버림,"데이비드 호킨스 (지은이), 박찬준 (옮긴이) ", 판미동 ,2013-11-01,5.0,과학,자연/과학,13300
  21    ,거의 모든 것의 역사,"빌 브라이슨 (지은이), 이덕환 (옮긴이) ", 까치 ,2020-05-01,4.5,과학,자연/과학,17500
  22    ,우리는 왜 잠을 자야 할까 : 수면과 꿈의 과학,"매슈 워커 (지은이), 이한음 (옮긴이) ", 열린책들 ,2019-02-01,5.0,과학,자연/과학,15000
  23    ,과학이 사랑에 대해 말해줄 수 있는 모든 것,"애나 마친 (지은이), 제효영 (옮긴이) ", 어크로스 ,2022-12-01,4.5,과학,자연/과학,14000
  24    ,특이점이 온다,"레이 커즈와일 (지은이), 장시형, 김명남 (옮긴이), 진대제 (감수) ", 김영사 ,2020-02-01,5.0,과학,자연/과학,19800
  25    ,자율신경계,"고바야시 히로유키 (지은이), 박주홍 (감수) ", 성안당 ,2022-12-01,4.5,과학,자연/과학,7800
  26    ,생리학의 기본,"나카시마 마사미 (지은이), 김정아 (옮긴이), 윤관현 (감수) ", 성안당 ,2021-10-01,0.0,과학,자연/과학,13200
  27    ,떨림과 울림,김상욱 (지은이) , 동아시아 ,2018-11-01,4.5,과학,자연/과학,9000
  28    ,이토록 뜻밖의 뇌과학,"리사 펠드먼 배럿 (지은이), 변지영 (옮긴이), 정재승 (감수) ", 더퀘스트 ,2021-08-01,4.5,과학,자연/과학,12800
  29    ,침묵의 봄,"레이첼 카슨 (지은이), 김은령 (옮긴이), 홍욱희 (감수) ", 에코리브르 ,2018-04-01,4.5,과학,자연/과학,16000
  30    ,엔드 오브 타임,"브라이언 그린 (지은이), 박병철 (옮긴이) ", 와이즈베리 ,2021-02-01,5.0,과학,자연/과학,15400
  31    ,사이코패스 뇌과학자,"제임스 팰런 (지은이), 김미선 (옮긴이) ", 더퀘스트 ,2020-10-01,4.5,과학,자연/과학,12800
  32    ,비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 ,2022-08-01,5.0,과학,자연/과학,13000
  33    ,차이에 관한 생각,"프란스 드 발 (지은이), 이충호 (옮긴이) ", 세종(세종서적) ,2022-12-01,5.0,과학,자연/과학,15400
  34    ,나를 알고 싶을 때 뇌과학을 공부합니다,"질 볼트 테일러 (지은이), 진영인 (옮긴이) ", 윌북 ,2022-03-01,5.0,과학,자연/과학,13900
  35    ,미적분의 힘,"스티븐 스트로가츠 (지은이), 이충호 (옮긴이) ", 해나무 ,2021-11-01,5.0,과학,자연/과학,15000
  36    ,수학은 어떻게 문명을 만들었는가,"마이클 브룩스 (지은이), 고유경 (옮긴이) ", 브론스테인 ,2022-09-01,4.0,과학,자연/과학,15400
  37    ,정재승의 과학 콘서트 (개정증보 2판),정재승 (지은이) , 어크로스 ,2020-07-01,4.5,과학,자연/과학,11500
  38    ,피타고라스 생각 수업,이광연 (지은이) , 유노라이프 ,2023-01-01,5.0,과학,자연/과학,15000
  39    ,악령이 출몰하는 세상,"칼 세이건 (지은이), 이상헌 (옮긴이) ", 사이언스북스 ,2022-12-01,5.0,과학,자연/과학,24000
  40    ,아인슈타인이 괴델과 함께 걸을 때,"짐 홀트 (지은이), 노태복 (옮긴이) ", 소소의책 ,2020-05-01,4.5,과학,자연/과학,21600
  41    ,양자역학 이야기,"팀 제임스 (지은이), 김주희 (옮긴이) ", 한빛비즈 ,2022-11-01,5.0,과학,자연/과학,12600
  42    ,신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 ,2022-05-01,0.0,과학,자연/과학,13200
  43    ,수학보다 데이터 문해력,정성규 (지은이) , EBS BOOKS ,2022-12-01,5.0,과학,자연/과학,11900
  44    ,탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 ,2022-08-01,5.0,과학,자연/과학,12000
  45    ,캐런 바라드,박신현 (지은이) , 컴북스캠퍼스 ,2023-01-01,5.0,과학,자연/과학,9600
  46    ,헨리에타 랙스의 불멸의 삶,"레베카 스클루트 (지은이), 김정한, 김정부 (옮긴이) ", 꿈꿀자유 ,2023-02-01,0.0,과학,자연/과학,18000
  47    ,정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) ,2022-10-01,0.0,과학,자연/과학,33000
  48    ,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 ,2023-01-01,0.0,과학,자연/과학,17100
  49    ,데이터는 어떻게 인생의 무기가 되는가,"세스 스티븐스 다비도위츠 (지은이), 안진이 (옮긴이) ", 더퀘스트 ,2022-10-01,5.0,과학,자연/과학,15040
  50    ,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 ,2020-08-01,4.0,과학,자연/과학,15500
  51    ,나는 오늘 나에게 ADHD라는 이름을 주었다,신지수 (지은이) , 휴머니스트 ,2021-07-01,4.0,과학,자연/과학,11200
  52    ,느끼고 아는 존재,"안토니오 다마지오 (지은이), 고현석 (옮긴이), 박문호 (감수) ", 흐름출판 ,2021-09-01,4.5,과학,자연/과학,13600
  53    ,신비롭지 않은 여자들,임소연 (지은이) , 민음사 ,2022-06-01,4.5,과학,자연/과학,10500
  54    ,까면서 보는 해부학 만화,"압듈라 (지은이), 신동선 (감수) ", 한빛비즈 ,2020-07-01,4.5,과학,자연/과학,12950
  55    ,미스터리 작가를 위한 법의학 Q&A,"D. P. 라일 (지은이), 강동혁 (옮긴이), 강다솔 (감수) ", 들녘 ,2018-03-01,4.5,과학,자연/과학,12600
  56    ,공감은 지능이다,"자밀 자키 (지은이), 정지인 (옮긴이) ", 심심 ,2021-04-01,4.5,과학,자연/과학,16500
  57    ,김상욱의 과학공부,김상욱 (지은이) , 동아시아 ,2016-07-01,4.0,과학,자연/과학,9600
  58    ,파란하늘 빨간지구,조천호 (지은이) , 동아시아 ,2019-03-01,4.5,과학,자연/과학,9600
  59    ,진화심리학,"이충호 (옮긴이), 최재천 (감수) ", 웅진지식하우스 ,2014-04-01,4.5,과학,자연/과학,26600
  60    ,도덕을 왜 자연에서 찾는가?,"로레인 대스턴 (지은이), 홍성욱, 이지혜 (옮긴이) ", 김영사 ,2022-11-01,4.5,과학,자연/과학,9900
  61    ,오래된 기억들의 방,"베로니카 오킨 (지은이), 김병화 (옮긴이) ", 알에이치코리아(RHK) ,2022-09-01,4.5,과학,자연/과학,13300
  62    ,바디,"빌 브라이슨 (지은이), 이한음 (옮긴이) ", 까치 ,2020-01-01,4.5,과학,자연/과학,16100
  63    ,과학혁명의 구조,"토머스 새뮤얼 쿤 (지은이), 홍성욱, 김명자 (옮긴이) ", 까치 ,2015-08-01,3.5,과학,자연/과학,14400
  64    ,오래된 연장통,전중환 (지은이) , 사이언스북스 ,2017-07-01,4.0,과학,자연/과학,16000
  65    ,나는 어쩌다 명왕성을 죽였나,"마이크 브라운 (지은이), 지웅배 (옮긴이) ", 롤러코스터 ,2021-04-01,4.5,과학,자연/과학,13500
  66    ,대량살상수학무기,"캐시 오닐 (지은이), 김정혜 (옮긴이) ", 흐름출판 ,2017-10-01,4.5,과학,자연/과학,12800
  67    ,주의력 연습,"아미시 자 (지은이), 안진이 (옮긴이) ", 어크로스 ,2022-10-01,4.5,과학,자연/과학,14000
  68    ,우리는 모두 조금은 이상한 것을 믿는다,"대니얼 록스턴, 니콜라 고브리트 (지은이), 스켑틱 협회 편집부 (엮은이) ", 바다출판사 ,2022-09-01,4.5,과학,자연/과학,12800
  69    ,최종 경고 : 6도의 멸종,"마크 라이너스 (지은이), 김아림 (옮긴이) ", 세종(세종서적) ,2022-07-01,5.0,과학,자연/과학,14000
  70    ,더 브레인,"데이비드 이글먼 (지은이), 전대호 (옮긴이) ", 해나무 ,2017-10-01,4.0,과학,자연/과학,12000
  71    ,프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) ,2022-02-01,5.0,과학,자연/과학,35000
  72    ,지구의 짧은 역사,"앤드루 H. 놀 (지은이), 이한음 (옮긴이) ", 다산사이언스 ,2021-10-01,4.5,과학,자연/과학,12600
  73    ,에덴의 용,"칼 세이건 (지은이), 임지원 (옮긴이) ", 사이언스북스 ,2017-09-01,4.5,과학,자연/과학,12800
  74    ,지구를 구할 여자들,"카트리네 마르살 (지은이), 김하현 (옮긴이) ", 부키 ,2022-09-01,5.0,과학,자연/과학,12500
  75    ,가까운 사람이 자기애성 성격 장애일 때,"우도 라우흐플라이슈 (지은이), 장혜경 (옮긴이) ", 심심 ,2021-03-01,4.5,과학,자연/과학,13500
  76    ,호르몬과 건강의 비밀,요하네스 뷔머 (지은이) , 현대지성 ,2020-12-01,5.0,과학,자연/과학,9000
  77    ,프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 ,2019-06-01,5.0,과학,자연/과학,25600
  78    ,작은 것들이 만든 거대한 세계,"멀린 셸드레이크 (지은이), 김은영 (옮긴이), 홍승범 (감수) ", 아날로그(글담) ,2021-05-01,5.0,과학,자연/과학,14000
  79    ,해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) ,2021-07-01,0.0,과학,자연/과학,26000
  80    ,콘택트 1,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 ,2019-08-01,4.5,과학,자연/과학,8000
  81    ,복잡한 세상을 이기는 수학의 힘,"류쉐펑 (지은이), 이서연 (옮긴이), 김지혜 (감수) ", 미디어숲 ,2023-01-01,5.0,과학,자연/과학,15400
  82    ,콘택트 2,"칼 세이건 (지은이), 이상원 (옮긴이) ", 사이언스북스 ,2019-08-01,4.5,과학,자연/과학,8000
  83    ,10대의 뇌,"에이미 엘리스 넛 (지은이), 김성훈 (옮긴이) ", 웅진지식하우스 ,2020-02-01,4.5,과학,자연/과학,12600
  84    ,게놈 익스프레스,"조진호 (지은이), 김우재 (감수) ", 위즈덤하우스 ,2016-08-01,4.5,과학,자연/과학,14700
  85    ,처음 만나는 전자기학,곽동주 (지은이) , 한빛아카데미(교재) ,2020-12-01,0.0,과학,자연/과학,23000
  86    ,"기억하는 뇌, 망각하는 뇌",이인아 (지은이) , 21세기북스 ,2022-07-01,5.0,과학,자연/과학,13600
  87    ,죽는 게 참 어렵습니다,"김영화, 김호성, 나경희 (지은이) ", 시사IN북 ,2021-12-01,4.0,과학,자연/과학,10400
  88    ,겸손한 목격자들 : 철새·경락·자폐증·성형의 현장에 연루되다,"임소연, 김연화, 성한아 (지은이) ", 에디토리얼 ,2022-02-01,5.0,과학,자연/과학,12000
  89    ,복잡계 개론,"윤영수, 채승병 (지은이) ", 삼성글로벌리서치 ,2022-10-01,4.5,과학,자연/과학,12500
  90    ,나우 : 시간의 물리학,"리처드 뮬러 (지은이), 장종훈, 강형구 (옮긴이) ", 바다출판사 ,2021-08-01,4.0,과학,자연/과학,18000
  91    ,면역력,"이시하라 니나 (지은이), 김혜숙 (옮긴이), 박주홍 (감수) ", 성안당 ,2022-12-01,5.0,과학,자연/과학,7800
  92    ,진리는 바뀔 수도 있습니다,"데이비드 도이치 (지은이), 김혜원 (옮긴이) ", 알에이치코리아(RHK) ,2023-02-01,3.0,과학,자연/과학,22400
  93    ,다윈 지능,최재천 (지은이) , 사이언스북스 ,2023-02-01,0.0,과학,자연/과학,16000
  94    ,위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) ,2022-12-01,5.0,과학,자연/과학,29000
  95    ,가상현실과 증강현실의 역사,공병훈 (지은이) , 세계와나 ,2017-01-01,0.0,과학,자연/과학,3500
  96    ,라파엘로가 사랑한 철학자들,김종성 (지은이) , 비제이퍼블릭 ,2023-02-01,5.0,과학,자연/과학,16000
  97    ,전지적 건설 엔지니어 시점 : 철근 콘크리트를 사랑하는 일,양동신 (지은이) , 김영사 ,2023-01-01,5.0,과학,자연/과학,8510
  98    ,이토록 재밌는 의학 이야기,김은중 (지은이) , 반니 ,2022-10-01,5.0,과학,자연/과학,17000
  99    ,동물지,"아리스토텔레스 (지은이), 서경주 (옮긴이), 김대웅 (해설) ", 노마드 ,2023-02-01,0.0,과학,자연/과학,49000
  100    ,만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 ,2016-02-01,4.0,과학,자연/과학,15750
  1    ,이기적 유전자,"리처드 도킨스 (지은이), 홍영남, 이상임 (옮긴이) ", 을유문화사 ,2019-02-01,4.0,대학교재/전문서적,강의지원도서,14000
  2    ,이것이 취업을 위한 코딩 테스트다 with 파이썬,나동빈 (지은이) , 한빛미디어 ,2020-09-01,5.0,대학교재/전문서적,강의지원도서,24480
  3    ,한국전문소생술 4판,대한심폐소생협회 (지은이) , 군자출판사 ,2021-11-01,5.0,대학교재/전문서적,강의지원도서,10000
  4    ,Do it! 알고리즘 코딩 테스트 - 자바 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2022-04-01,4.0,대학교재/전문서적,강의지원도서,22000
  5    ,프셉마음 - 산부인과편,정유정 (지은이) , 드림널스 ,2022-04-01,0.0,대학교재/전문서적,강의지원도서,23200
  6    ,파이썬 알고리즘 인터뷰,"박상길 (지은이), 정진호 (그림) ", 책만 ,2020-10-01,5.0,대학교재/전문서적,강의지원도서,30400
  7    ,이것이 자바다,신용권 (지은이) , 한빛미디어 ,2022-09-01,4.5,대학교재/전문서적,강의지원도서,25920
  8    ,의존성 성격장애와 회피성 성격장애,"민병배, 남기숙 (지은이) ", 학지사 ,2018-10-01,5.0,대학교재/전문서적,강의지원도서,7600
  9    ,틸리 서양철학사,"프랭크 틸리 (지은이), 김기찬 (옮긴이) ", 현대지성 ,2020-03-01,4.5,대학교재/전문서적,강의지원도서,15500
  10    ,아동 심리치료 치료계획서,"Arthur E. Jongsma, Jr., L. Mark Peterson, William P. McInnis, Timothy J. Bruce (지은이), 송영혜 (옮긴이) ", 시그마프레스 ,2015-09-01,5.0,대학교재/전문서적,강의지원도서,16100
  11    ,보육교사 장기 미종사자 직무교육,"윤매자, 하수연, 정연옥 (지은이) ", 공동체 ,2022-12-01,0.0,대학교재/전문서적,강의지원도서,12000
  12    ,ChatGPT와 DALLE2로 인공지능 내맘대로 다루기,초보AI (지은이) , e퍼플 ,2023-02-01,4.0,대학교재/전문서적,강의지원도서,12000
  13    ,헤드 퍼스트 디자인 패턴,"케이시 시에라, 버트 베이츠, 엘리자베스 롭슨 (지은이) ", 한빛미디어 ,2022-04-01,5.0,대학교재/전문서적,강의지원도서,25920
  14    ,비전공자도 이해할 수 있는 AI 지식,"박상길 (지은이), 정진호 (그림) ", 반니 ,2022-08-01,5.0,대학교재/전문서적,강의지원도서,13000
  15    ,프셉마음 : 혈액검사 해석 및 간호편,"이재왕, 김지희 (지은이) ", 드림널스 ,2022-09-01,5.0,대학교재/전문서적,강의지원도서,24000
  16    ,프셉마음 - 약물편,"남소희, 허연정 (지은이) ", 드림널스 ,2022-04-01,4.0,대학교재/전문서적,강의지원도서,20000
  17    ,프셉마음 - 중환자간호 입문편,전호웅 (지은이) , 드림널스 ,2022-04-01,4.5,대학교재/전문서적,강의지원도서,22400
  18    ,프셉마음 : 신경과편,신사랑 (지은이) , 드림널스 ,2022-06-01,4.5,대학교재/전문서적,강의지원도서,23200
  19    ,탄소 농업 (미래를 바꾸는),허북구 (지은이) , 중앙생활사 ,2022-08-01,5.0,대학교재/전문서적,강의지원도서,12000
  20    ,정수론 첫걸음,"Kuldeep Singh (지은이), 한빛수학교재연구소 (옮긴이) ", 한빛아카데미(교재) ,2022-10-01,0.0,대학교재/전문서적,강의지원도서,33000
  21    ,직무별 현직자가 말하는 2차전지 직무 바이블,"배연석, 이차준, 공멘토 (지은이) ", 렛유인 ,2023-01-01,0.0,대학교재/전문서적,강의지원도서,17100
  22    ,보건의료 관리와 리더십,이종율 (지은이) , 한올출판사 ,2023-01-01,0.0,대학교재/전문서적,강의지원도서,28800
  23    ,Do it! 점프 투 파이썬 -전면 개정판,박응용 (지은이) , 이지스퍼블리싱 ,2019-06-01,4.5,대학교재/전문서적,강의지원도서,13000
  24    ,Do it! HTML+CSS+자바스크립트 웹 표준의 정석,고경희 (지은이) , 이지스퍼블리싱 (주) ,2021-01-01,4.5,대학교재/전문서적,강의지원도서,19000
  25    ,Do it! 자바 프로그래밍 입문,박은종 (지은이) , 이지스퍼블리싱 ,2018-08-01,4.5,대학교재/전문서적,강의지원도서,16500
  26    ,레트로의 유니티 게임 프로그래밍 에센스,이제민 (지은이) , 한빛미디어 ,2022-02-01,5.0,대학교재/전문서적,강의지원도서,43200
  27    ,프셉마음 - 정형외과편,박기옥 (지은이) , 드림널스 ,2022-04-01,0.0,대학교재/전문서적,강의지원도서,23200
  28    ,암또의 임상노트 Volume.1,암또 (지은이) , 포널스 ,2019-11-01,5.0,대학교재/전문서적,강의지원도서,17500
  29    ,Do it! 자료구조와 함께 배우는 알고리즘 입문 - 자바 편 : 전면개정판,"시바타 보요 (지은이), 강민 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-05-01,5.0,대학교재/전문서적,강의지원도서,15000
  30    ,C# 교과서,박용준 (지은이) , 길벗 ,2020-06-01,5.0,대학교재/전문서적,강의지원도서,21000
  31    ,프셉마음 - 입문편,드림널스 편집부 (지은이) , 드림널스 ,2022-04-01,5.0,대학교재/전문서적,강의지원도서,22400
  32    ,문명의 충돌,"새뮤얼 헌팅턴 (지은이), 이희재 (옮긴이) ", 김영사 ,2017-04-01,4.0,대학교재/전문서적,강의지원도서,11610
  33    ,파이썬 코딩의 기술(개정2판),"브렛 슬라킨 (지은이), 오현석 (옮긴이) ", 길벗 ,2020-11-01,5.0,대학교재/전문서적,강의지원도서,25600
  34    ,누구나 자료 구조와 알고리즘(개정2판),"제이 웬그로우 (지은이), 심지현 (옮긴이) ", 길벗 ,2021-12-01,5.0,대학교재/전문서적,강의지원도서,26400
  35    ,프리드버그 선형대수학,"스티븐 H. 프리드버그, 아놀드 J. 인셀, 로렌스 E. 스펜스 (지은이) ", 한빛아카데미(교재) ,2022-02-01,5.0,대학교재/전문서적,강의지원도서,35000
  36    ,정보 보안 개론,양대일 (지은이) , 한빛아카데미(교재) ,2021-06-01,0.0,대학교재/전문서적,강의지원도서,30000
  37    ,암또의 임상노트 Volume.2,암또 (지은이) , 포널스 ,2021-04-01,5.0,대학교재/전문서적,강의지원도서,28000
  38    ,프셉마음 - 심혈관계편,안정언 (지은이) , 드림널스 ,2022-04-01,0.0,대학교재/전문서적,강의지원도서,24000
  39    ,운영체제,구현회 (지은이) , 한빛아카데미(교재) ,2020-11-01,3.0,대학교재/전문서적,강의지원도서,27000
  40    ,"논문, 쓰다",김용찬 (지은이) , 컬처룩 ,2020-11-01,5.0,대학교재/전문서적,강의지원도서,11200
  41    ,양극성 장애,"조용래, 김빛나 (지은이) ", 학지사 ,2018-10-01,5.0,대학교재/전문서적,강의지원도서,7600
  42    ,사회불안장애,김은정 (지은이) , 학지사 ,2018-10-01,0.0,대학교재/전문서적,강의지원도서,7600
  43    ,프셉마음 - 의학용어편 Ⅰ: 외과계,드림널스 편집부 (지은이) , 드림널스 ,2022-04-01,4.0,대학교재/전문서적,강의지원도서,17600
  44    ,수용전념치료(ACT) 은유(메타포) 모음집,"Jill A. Stoddard, Niloofar Afari (지은이), 손정락 (옮긴이), 스티븐 헤이즈 ", 시그마프레스 ,2016-03-01,0.0,대학교재/전문서적,강의지원도서,12600
  45    ,계량경제학,"R. 카터 힐, William E. Griffiths, Guay C. Lim (지은이) ", 시그마프레스 ,2021-02-01,0.0,대학교재/전문서적,강의지원도서,29600
  46    ,한국의 샤머니즘과 분석심리학,이부영 (지은이) , 한길사 ,2014-11-01,5.0,대학교재/전문서적,강의지원도서,22500
  47    ,Do it! 지옥에서 온 문서 관리자 깃&깃허브 입문 (전면 개정판),"고경희, 이고잉 (지은이) ", 이지스퍼블리싱 (주) ,2022-10-01,5.0,대학교재/전문서적,강의지원도서,12000
  48    ,프로그래머를 위한 확률과 통계,"히라오카 카즈유키, 호리 겐 (지은이), 이창신 (옮긴이) ", 길벗 ,2019-06-01,5.0,대학교재/전문서적,강의지원도서,25600
  49    ,최신 수술실 매뉴얼,"윤혜상, 장영진, 서은주 (지은이) ", 포널스 ,2021-09-01,5.0,대학교재/전문서적,강의지원도서,32000
  50    ,해석학 첫걸음,"스티븐 애벗 (지은이), 한빛수학교재연구소 (옮긴이), 김세익 (감수) ", 한빛아카데미(교재) ,2021-07-01,0.0,대학교재/전문서적,강의지원도서,26000
  51    ,Do it! 게임 10개 만들며 배우는 파이썬,"벤 포터, 쉬무엘 포터 (지은이), 안동현 (옮긴이) ", 이지스퍼블리싱 ,2022-12-01,5.0,대학교재/전문서적,강의지원도서,15000
  52    ,간호 알고리즘 Vol.1,"전호웅, 한동수 (지은이) ", 포널스 ,2022-06-01,0.0,대학교재/전문서적,강의지원도서,28000
  53    ,Do it! 알고리즘 코딩 테스트 - C++ 편,김종관 (지은이) , 이지스퍼블리싱 (주) ,2023-01-01,5.0,대학교재/전문서적,강의지원도서,23500
  54    ,국제회의 통역사를 위한 노트테이킹 핵심기술,이상빈 (지은이) , 한국문화사 ,2021-08-01,0.0,대학교재/전문서적,강의지원도서,14400
  55    ,Do it! 건축 BIM을 위한 Revit 입문,장동수 (지은이) , 이지스퍼블리싱 (주) ,2020-05-01,5.0,대학교재/전문서적,강의지원도서,15000
  56    ,그림으로 보는 건설현장의 안전관리,이병수 (지은이) , 성안당 ,2022-08-01,5.0,대학교재/전문서적,강의지원도서,39200
  57    ,지속가능 성장을 위한 인적자원관리,"권석균, 이병철, 양재완 (지은이) ", 시대가치 ,2021-12-01,5.0,대학교재/전문서적,강의지원도서,30000
  58    ,처음 만나는 전자기학,곽동주 (지은이) , 한빛아카데미(교재) ,2020-12-01,0.0,대학교재/전문서적,강의지원도서,23000
  59    ,예술의 종말 이후,"아서 단토 (지은이), 김광우, 이성훈 (옮긴이) ", 미술문화 ,2015-05-01,4.5,대학교재/전문서적,강의지원도서,15000
  60    ,파이썬으로 배우는 음성인식,"다카시마 료이치 (지은이), 정권우 (옮긴이) ", 비제이퍼블릭 ,2023-01-01,0.0,대학교재/전문서적,강의지원도서,21600
  61    ,조선해양 선박설계 전장생산설계편,"서복동, 설병헌 (지은이) ", 쏘브 ,2015-11-01,0.0,대학교재/전문서적,강의지원도서,20000
  62    ,불륜의 심리학,"게르티 젱어, 발터 호프만 (지은이), 함미라 (옮긴이) ", 탐나는책 ,2023-02-01,0.0,대학교재/전문서적,강의지원도서,14000
  63    ,비극의 탄생,"프리드리히 니체 (지은이), 박찬국 (옮긴이) ", 아카넷 ,2015-04-01,4.5,대학교재/전문서적,강의지원도서,12600
  64    ,간호 알고리즘 Vol.2,"전호웅, 한동수 (지은이) ", 포널스 ,2022-06-01,5.0,대학교재/전문서적,강의지원도서,24000
  65    ,역사철학강의,"게오르그 빌헬름 프리드리히 헤겔 (지은이), 권기철 (옮긴이) ", 동서문화동판(동서문화사) ,2008-06-01,4.5,대학교재/전문서적,강의지원도서,6860
  66    ,겐지 모노가타리 1,"무라사키 시키부 (지은이), 이미숙 (옮긴이) ", 서울대학교출판문화원 ,2014-10-01,5.0,대학교재/전문서적,강의지원도서,30000
  67    ,쉽게 배워 바로 써먹는 디자인 패턴,이호진 (지은이) , 한빛미디어 ,2020-10-01,4.0,대학교재/전문서적,강의지원도서,25200
  68    ,불교의 무아론,한자경 (지은이) , 이화여자대학교출판문화원 ,2022-03-01,0.0,대학교재/전문서적,강의지원도서,17600
  69    ,아동과 청소년의 심리치료,"Arthur E. Jongsma, Jr., David J. Berghuis, L. Mark Peterson, William P. McInnis (지은이), 김정휘, 홍종관, 허주연, 김은영 (옮긴이) ", 시그마프레스 ,2018-04-01,0.0,대학교재/전문서적,강의지원도서,17500
  70    ,캐릭터 디자인 수업,"황정혜, 석금주, 홍윤미 (지은이) ", 청문각 ,2022-08-01,0.0,대학교재/전문서적,강의지원도서,19200
  71    ,에다,"최윤영 (지은이), 임한순, 김길웅 (옮긴이) ", 서울대학교출판부 ,2015-06-01,5.0,대학교재/전문서적,강의지원도서,42000
  72    ,생활속의 응용윤리,박찬구 (지은이) , 세창출판사(세창미디어) ,2023-01-01,0.0,대학교재/전문서적,강의지원도서,20000
  73    ,위상수학 첫걸음,"Fred H. Croom (지은이), 한빛수학교재연구소 (옮긴이), 김상현 (감수) ", 한빛아카데미(교재) ,2022-12-01,5.0,대학교재/전문서적,강의지원도서,29000
  74    ,거시경제학,"그레고리 맨큐 (지은이), 이병락 (옮긴이) ", 시그마프레스 ,2023-02-01,0.0,대학교재/전문서적,강의지원도서,31500
  75    ,알기 쉽게 해설한 자바 프로그래밍,김충석 (지은이) , 한빛아카데미(교재) ,2023-02-01,0.0,대학교재/전문서적,강의지원도서,30000
  76    ,역주 손무자직해 오자직해 2,"성백효, 이난수 (지은이) ", 전통문화연구회 ,2021-03-01,0.0,대학교재/전문서적,강의지원도서,8750
  77    ,만들어진 신,"리처드 도킨스 (지은이), 이한음 (옮긴이) ", 김영사 ,2016-02-01,4.0,대학교재/전문서적,강의지원도서,15750
  78    ,청소년 및 성인을 위한 ADHD의 인지행동치료 (제2판),"Susan Young, Jessica Bramham (지은이), 최병휘, 곽욱환, 조철래, 김원, 임미정, 박준성, 김선욱, 김혜경 (옮긴이) ", 시그마프레스 ,2019-04-01,4.0,대학교재/전문서적,강의지원도서,14000
  79    ,수치심의 치유,존 브래드쇼 (지은이) , 도서출판 한국상담심리연구원 ,2021-06-01,4.5,대학교재/전문서적,강의지원도서,11000
  80    ,군중심리,"귀스타브 르 봉 (지은이), 강주헌 (옮긴이) ", 현대지성 ,2021-10-01,5.0,대학교재/전문서적,강의지원도서,7900
  81    ,무경계,"켄 윌버 (지은이), 김철수 (옮긴이) ", 정신세계사 ,2017-01-01,4.5,대학교재/전문서적,강의지원도서,10500
  82    ,데이터베이스 개론,김연희 (지은이) , 한빛아카데미(교재) ,2022-01-01,0.0,대학교재/전문서적,강의지원도서,29000
  83    ,아들러의 인간이해,"알프레드 아들러 (지은이), 홍혜경 (옮긴이) ", 을유문화사 ,2016-09-01,4.5,대학교재/전문서적,강의지원도서,9000
