aladin_순위,제목,aladin_저자,aladin_출판사,aladin_출간일,aladin_가격,aladin_평점,aladin_장르,상명대학교_학술정보관_장르,현재 날짜
  13    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,8000,4.0,요리/살림,가정/생활,2023-02-23
  14    ,365일 반찬 걱정 없는 책,송혜영 (지은이) , 길벗 ,2022-12-01,21600,5.0,요리/살림,가정/생활,2023-02-23
  15    ,정리 잘하는 사람은 이렇게 합니다,"고메다 마리나 (지은이), 박연정 (옮긴이) ", 한빛라이프 ,2022-01-01,10800,5.0,요리/살림,가정/생활,2023-02-23
  16    ,품격 있는 아내들의 남편 다루는 법,김민수 (지은이) , 북스고 ,2022-10-01,11900,5.0,요리/살림,가정/생활,2023-02-23
  17    ,딱 1년만 옷 안 사고 살아보기,임다혜 (지은이) , 잇콘 ,2020-09-01,9450,4.0,요리/살림,가정/생활,2023-02-23
  18    ,"채식은 어렵지만, 채소 습관",홍성란 (지은이) , 휴머니스트 ,2019-07-01,8190,4.5,요리/살림,가정/생활,2023-02-23
  19    ,오! 이렇게 다양한 오트밀 요리,챱챱테이블 박현주 (지은이) , 레시피팩토리 ,2020-11-01,9660,5.0,요리/살림,가정/생활,2023-02-23
  20    ,TRUE LOVE 슬로 섹스를 위한 조언,아담 도쿠나가 (지은이) , 바닐라미디어 ,2017-02-01,7500,0.0,요리/살림,가정/생활,2023-02-23
  21    ,사랑하지 않을 수 없는 달걀 요리,"쓰레즈레 하나코 (지은이), 가케히준 (그림), 조수연 (옮긴이) ", 시그마북스 ,2023-02-01,10500,4.5,요리/살림,가정/생활,2023-02-23
  22    ,아메리칸 쿠키,"까망레시피, 호야 (지은이) ", 경향BP ,2022-11-01,10400,5.0,요리/살림,가정/생활,2023-02-23
  23    ,백종원의 혼밥 메뉴,백종원 (지은이) , 서울문화사 ,2019-05-01,7600,3.5,요리/살림,가정/생활,2023-02-23
  24    ,브리첼의 감성 케이크,서귀영(브리첼) (지은이) , 북라이프 ,2021-05-01,15400,5.0,요리/살림,가정/생활,2023-02-23
  25    ,"두부예찬(예술 藝 반찬 饌) : 예술 藝 반찬 饌, 두부조림만 먹는 당신을 위하여",김영빈 (지은이) , 윈타임즈 ,2017-04-01,8200,0.0,요리/살림,가정/생활,2023-02-23
  26    ,발효 음식의 세계,"홀리 데이비스 (지은이), 박지현 (옮긴이), 박천석 (감수) ", 미호 ,2021-04-01,25000,0.0,요리/살림,가정/생활,2023-02-23
  27    ,공간의 위로 : 삶을 바꾸는 나만의 집,"소린 밸브스 (지은이), 윤서인 (옮긴이) ", 문예출판사 ,2014-08-01,5460,4.5,요리/살림,가정/생활,2023-02-23
  28    ,맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 비에이블 ,2020-07-01,12250,5.0,요리/살림,가정/생활,2023-02-23
  29    ,고단백 저탄수화물 다이어트 레시피,미니 박지우 (지은이) , 위즈덤하우스 ,2018-06-01,10500,4.5,요리/살림,가정/생활,2023-02-23
  30    ,"섹스, 그리고 카마수트라","바츠야야나 (지은이), 척 윌스 (엮은이), 엄성수 (옮긴이) ", 시그마북스 ,2015-01-01,15000,2.5,요리/살림,가정/생활,2023-02-23
  31    ,나는 질병없이 살기로 했다 : 독소를 청소하면 왜 병과 비만은 사라지는가,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2020-02-01,8000,5.0,요리/살림,가정/생활,2023-02-23
  32    ,라임맘의 실패 없는 아이주도이유식 & 유아식,"옥한나 (지은이), 조애경 (감수) ", 중앙books(중앙북스) ,2021-07-01,20000,5.0,요리/살림,가정/생활,2023-02-23
  33    ,김밀란 파스타,김밀란 (지은이) , 다산라이프 ,2021-12-01,12600,5.0,요리/살림,가정/생활,2023-02-23
  34    ,진짜 기본 요리책,수퍼레시피 (지은이) , 레시피팩토리 ,2020-12-01,13160,4.5,요리/살림,가정/생활,2023-02-23
  35    ,세상에서 가장 맛있게 와인을 즐기는 방법,"휴 존슨 (지은이), 황근하 (옮긴이) ", 휴먼앤북스(Human&Books) ,2010-10-01,7500,4.5,요리/살림,가정/생활,2023-02-23
  36    ,만원으로 일주일 반찬 만들기,송혜영 (지은이) , 길벗 ,2020-06-01,10080,5.0,요리/살림,가정/생활,2023-02-23
  37    ,맛있는 게 좋아서 양조절 다이어트,한아름 (지은이) , 길벗 ,2022-06-01,12950,4.5,요리/살림,가정/생활,2023-02-23
  38    ,라미의 믿고 먹는 다이어트 레시피,이주아 (지은이) , 북테이블 ,2021-08-01,12600,5.0,요리/살림,가정/생활,2023-02-23
  39    ,정리 못하는 사람을 위한 정리책,"와타나베 아야 (지은이), 김수정 (옮긴이) ", 즐거운상상 ,2021-05-01,9800,5.0,요리/살림,가정/생활,2023-02-23
  40    ,집밥 수업,이윤정 (지은이) , 빅피시 ,2021-12-01,12950,4.5,요리/살림,가정/생활,2023-02-23
  41    ,나의 프랑스식 샐러드,이선혜 (지은이) , 브.레드(b.read) ,2020-08-01,12000,5.0,요리/살림,가정/생활,2023-02-23
  42    ,와인 상식사전,이기태 (지은이) , 길벗 ,2017-06-01,11600,4.5,요리/살림,가정/생활,2023-02-23
  43    ,피부에 헛돈 쓰지 마라,"옥지윤, 함익병 (지은이) ", 중앙books(중앙북스) ,2015-07-01,10500,4.5,요리/살림,가정/생활,2023-02-23
  44    ,사라진 암,한상도 (지은이) , 사이몬북스 ,2021-10-01,9000,5.0,요리/살림,가정/생활,2023-02-23
  45    ,안 먹는 아이도 바쁜 엄마도 반한 엘리네 미국 유아식,스마일 엘리 (지은이) , 세종(세종서적) ,2022-01-01,13300,5.0,요리/살림,가정/생활,2023-02-23
  46    ,1인 가구 맞춤 요리책 : 작은 주방에서 적은 재료로 만드는 1인 가구 맞춤 메뉴 150개,월간 수퍼레시피 (지은이) , 레시피팩토리 ,2018-03-01,11060,5.0,요리/살림,가정/생활,2023-02-23
  47    ,1일 1쓰레기 1제로,"캐서린 켈로그 (지은이), 박여진 (옮긴이) ", 현대지성 ,2022-10-01,11000,5.0,요리/살림,가정/생활,2023-02-23
  48    ,내 몸에 착한 매일 저염식,이정민 (지은이) , 니들북 ,2015-01-01,6500,4.5,요리/살림,가정/생활,2023-02-23
  49    ,오늘부터 우리는 비건 집밥,김보배 (지은이) , 길벗 ,2021-12-01,10500,5.0,요리/살림,가정/생활,2023-02-23
  50    ,자연식물식 다이어트 30일 챌린지,오공삼(오영세) (지은이) , 21세기북스 ,2020-01-01,11040,4.5,요리/살림,가정/생활,2023-02-23
  51    ,맛있고 배부른 다노 다이어트 레시피,"이지수, 이애리 (지은이) ", 세미콜론 ,2021-08-01,13300,5.0,요리/살림,가정/생활,2023-02-23
  52    ,집밥이 더 맛있어지는 명랑쌤 비법 국물요리,명랑쌤(이혜원) (지은이) , 레시피팩토리 ,2021-02-01,9660,5.0,요리/살림,가정/생활,2023-02-23
  53    ,커피인문학,"박영순 (지은이), 유사랑 (그림) ", 인물과사상사 ,2018-01-01,13300,4.0,요리/살림,가정/생활,2023-02-23
  54    ,도해 사케,"키미지마 사토시 (지은이), 기미정 (옮긴이), 노자키 히로미츠 (감수) ", AK(에이케이)커뮤니케이션즈 ,2015-06-01,9100,0.0,요리/살림,가정/생활,2023-02-23
  55    ,무니키친의 저탄고지 다이어트 레시피,무니키친 (지은이) , 베가북스 ,2021-07-01,11060,5.0,요리/살림,가정/생활,2023-02-23
  56    ,셀러리 주스,"앤서니 윌리엄 (지은이), 황은정 (옮긴이) ", 샨티 ,2022-05-01,18000,4.0,요리/살림,가정/생활,2023-02-23
  57    ,커픽처스 커피 레시피 101,김현석 (지은이) , 비타북스 ,2022-11-01,15000,5.0,요리/살림,가정/생활,2023-02-23
  58    ,카페 실무 매뉴얼,신기욱 (지은이) , 클 ,2021-06-01,21000,0.0,요리/살림,가정/생활,2023-02-23
  59    ,와인이 있는 100가지 장면,"엄정선, 배두환 (지은이), 박이수(박수정) (그림) ", 보틀프레스 ,2021-09-01,15120,5.0,요리/살림,가정/생활,2023-02-23
  60    ,조말순 채소법 : 집밥,김지나 (지은이) , 길벗 ,2022-11-01,21600,5.0,요리/살림,가정/생활,2023-02-23
  61    ,조말순 채소법 : 도시락,김지나 (지은이) , 길벗 ,2022-11-01,24000,5.0,요리/살림,가정/생활,2023-02-23
  62    ,베이킹 하다 앳 홈,박정아 (지은이) , 중앙books(중앙북스) ,2022-02-01,14400,5.0,요리/살림,가정/생활,2023-02-23
  63    ,이정현의 집밥레스토랑,이정현 (지은이) , 서사원 ,2020-04-01,15400,4.0,요리/살림,가정/생활,2023-02-23
  64    ,마음이 단단해지는 살림,강효진(보통엄마jin) (지은이) , 비타북스 ,2022-02-01,10500,5.0,요리/살림,가정/생활,2023-02-23
  65    ,남자의 바람을 응징하라!,안동헌 (지은이) , M&W ,2013-03-01,7200,4.0,요리/살림,가정/생활,2023-02-23
  66    ,맛있게 쓴 옥주부 레시피 100,정종철 (지은이) , 중앙books(중앙북스) ,2021-06-01,14400,5.0,요리/살림,가정/생활,2023-02-23
  67    ,열두 달 향신료 카레,김민지 (지은이) , 세미콜론 ,2022-07-01,14000,5.0,요리/살림,가정/생활,2023-02-23
  68    ,차 상식사전,"리사 리처드슨 (지은이), 공민희 (옮긴이), 이유진 (감수) ", 길벗 ,2016-11-01,12000,5.0,요리/살림,가정/생활,2023-02-23
  69    ,영국 인테리어의 역사,"트레버 요크 (지은이), 김효진 (옮긴이) ", AK(에이케이)커뮤니케이션즈 ,2022-12-01,11840,5.0,요리/살림,가정/생활,2023-02-23
  70    ,에어프라이어로 시작하는 건강 다이어트 요리,김희영 (지은이) , 레시피팩토리 ,2020-11-01,9660,5.0,요리/살림,가정/생활,2023-02-23
  71    ,나를 만져요 : 내 남자를 사로잡는 은밀한 섹스의 기술,사막여우 ,,2013-10-01,5800,4.0,요리/살림,가정/생활,2023-02-23
  72    ,결혼은 환상이고 부부는 현실이다,공진수 (지은이) , 마음책방 ,2022-02-01,10360,5.0,요리/살림,가정/생활,2023-02-23
  73    ,부부 같이 사는 게 기적입니다,김용태 (지은이) , 덴스토리(Denstory) ,2018-02-01,9660,4.0,요리/살림,가정/생활,2023-02-23
  74    ,사유 식탁,"알랭 드 보통, 인생학교 (지은이), 이용재 (옮긴이) ", 오렌지디 ,2022-12-01,26950,5.0,요리/살림,가정/생활,2023-02-23
  75    ,세계 최고의 바리스타가 커피 초보자를 위해 만든 BOOK,"이자키 히데노리 (지은이), 전지혜 (옮긴이) ", 아티오 ,2022-03-01,11900,4.5,요리/살림,가정/생활,2023-02-23
  76    ,"엄마니까 뚝딱, 내 아이의 아침밥 PART 01 Spring",다소마미 (지은이) , 위즈덤스타일 ,2014-11-01,2940,4.5,요리/살림,가정/생활,2023-02-23
  77    ,최고의 당뇨 밥상,마켓온오프 (지은이) , 리스컴 ,2021-03-01,10200,4.5,요리/살림,가정/생활,2023-02-23
  78    ,반찬 없이도 테이블이 완벽해지는 솥밥,킴스쿠킹 (지은이) , 길벗 ,2019-11-01,11900,5.0,요리/살림,가정/생활,2023-02-23
  79    ,키토 한식,박지아 (지은이) , 경향BP ,2022-03-01,11800,5.0,요리/살림,가정/생활,2023-02-23
  80    ,더 솥밥,이민주 (지은이) , 서사원 ,2022-01-01,14000,5.0,요리/살림,가정/생활,2023-02-23
  81    ,[고화질] R선생님의 간식,"후쿠다 리카 (글), 쿠모타 하루코 (그림) ", artePOP(아르테팝) ,2019-11-01,9600,4.5,요리/살림,가정/생활,2023-02-23
  82    ,샐러드에 반하다,장연정 (지은이) , 리스컴 ,2015-06-01,8400,5.0,요리/살림,가정/생활,2023-02-23
  83    ,"샐러드가 필요한 모든 순간, 나만의 드레싱이 빛나는 순간",지은경 (지은이) , 레시피팩토리 ,2022-11-01,11760,4.5,요리/살림,가정/생활,2023-02-23
  84    ,"엄마니까 뚝딱, 내 아이의 아침밥 PART 04 Winter",다소마미 (지은이) , 위즈덤스타일 ,2014-11-01,2940,4.5,요리/살림,가정/생활,2023-02-23
  85    ,당질,"마키타 젠지 (지은이), 김선숙 (옮긴이), 차원 (감수) ", 성안당 ,2021-06-01,7800,0.0,요리/살림,가정/생활,2023-02-23
  86    ,관계 디자인,박소영 (지은이) , 부커 ,2021-08-01,10500,5.0,요리/살림,가정/생활,2023-02-23
  87    ,인생을 바꾸고 싶다면 서랍부터 정리하세요,이은영(더 프레젠트) (지은이) , 21세기북스 ,2022-12-01,14240,4.5,요리/살림,가정/생활,2023-02-23
  88    ,벤꾸리 가계부 다이어리,벤꾸리 (지은이) , 시원북스 ,2022-11-01,11900,4.5,요리/살림,가정/생활,2023-02-23
  89    ,나는 당신이 작은 얼굴을 가졌으면 좋겠습니다 : 윤곽수술 없이 작고 아름다운 얼굴 만들기,이하영 (지은이) , 미다스북스 ,2019-06-01,10000,5.0,요리/살림,가정/생활,2023-02-23
  90    ,셀프도배 나만의 공간예술 우리집 직접 도배하기,김성원 (지은이) , 히얼앤나우 ,2015-11-01,2000,0.0,요리/살림,가정/생활,2023-02-23
  91    ,토마토가 다한 요리,김봉경 (지은이) , 이덴슬리벨 ,2020-08-01,10300,5.0,요리/살림,가정/생활,2023-02-23
  92    ,"아기와 함께 10개월 잘 먹기, 태교음식","이지연 (지은이), 신종철, 남기선 (감수) ", 레시피팩토리 ,2021-03-01,12460,5.0,요리/살림,가정/생활,2023-02-23
  93    ,조리법별 일본 요리,"츠지조리사전문학교 (지은이), 최강록 (옮긴이) ", 클 ,2018-04-01,23100,5.0,요리/살림,가정/생활,2023-02-23
  94    ,바나나 키친,"요시모토 바나나 (지은이), 김난주 (옮긴이) ", 민음사 ,2013-11-01,8400,4.0,요리/살림,가정/생활,2023-02-23
  95    ,여자의 보디랭귀지를 읽으면 SEX가 보인다,팬케익 (지은이) , 볼륨 ,2013-04-01,9900,0.0,요리/살림,가정/생활,2023-02-23
  96    ,송학운 김옥경 부부의 나를 살린 자연식 밥상,김옥경 (지은이) , 동녘라이프(친구미디어) ,2013-06-01,8960,4.5,요리/살림,가정/생활,2023-02-23
  97    ,윤혜신의 맛있는 저염밥상,윤혜신 (지은이) , 중앙books(중앙북스) ,2021-03-01,14800,4.5,요리/살림,가정/생활,2023-02-23
  98    ,최성애 박사의 행복 수업,최성애 (지은이) , 해냄출판사 ,2017-11-01,9900,4.5,요리/살림,가정/생활,2023-02-23
  99    ,서재걸의 New 해독주스,서재걸 (지은이) , 비타북스 ,2019-03-01,10000,5.0,요리/살림,가정/생활,2023-02-23
  100    ,탐나는 플라워케이크 : 버터크림 플라워&앙금 플라워의 모든 것,이효주 (지은이) , 이덴슬리벨 ,2017-06-01,14200,5.0,요리/살림,가정/생활,2023-02-23
  1    ,당신도 느리게 나이 들 수 있습니다,정희원 (지은이) , 더퀘스트 ,2023-01-01,14240,5.0,건강/취미,가정/생활,2023-02-23
  2    ,음식 중독,"마이클 모스 (지은이), 연아람 (옮긴이) ", 민음사 ,2023-01-01,12600,4.5,건강/취미,가정/생활,2023-02-23
  3    ,백년 목,정선근 (지은이) , 사이언스북스 ,2018-07-01,12000,4.0,건강/취미,가정/생활,2023-02-23
  4    ,고통의 비밀,"몬티 라이먼 (지은이), 박선영 (옮긴이) ", 상상스퀘어 ,2022-11-01,13230,5.0,건강/취미,가정/생활,2023-02-23
  5    ,나는 당신이 오래오래 걸었으면 좋겠습니다,"다나카 나오키 (지은이), 송소정 (옮긴이) ", 포레스트북스 ,2018-05-01,9500,4.5,건강/취미,가정/생활,2023-02-23
  6    ,비만코드,"제이슨 펑 (지은이), 제효영 (옮긴이) ", 시그마북스 ,2018-11-01,11200,4.5,건강/취미,가정/생활,2023-02-23
  7    ,환자혁명,조한경 (지은이) , 에디터 ,2017-11-01,10500,4.5,건강/취미,가정/생활,2023-02-23
  8    ,식사가 잘못됐습니다,"마키타 젠지 (지은이), 전선영 (옮긴이), 강재헌 (감수) ", 더난출판사 ,2018-10-01,10150,4.0,건강/취미,가정/생활,2023-02-23
  9    ,다이어트 말고 직관적 식사,"에블린 트리볼리, 엘리스 레시 (지은이), 정지현 (옮긴이) ", 골든어페어 ,2019-05-01,15000,5.0,건강/취미,가정/생활,2023-02-23
  10    ,건강의 뇌과학,"제임스 굿윈 (지은이), 박세연 (옮긴이) ", 현대지성 ,2022-07-01,15000,5.0,건강/취미,가정/생활,2023-02-23
  11    ,처음 만나는 알렉산더 테크닉,김수연 (지은이) , 판미동 ,2022-05-01,13230,5.0,건강/취미,가정/생활,2023-02-23
  12    ,헬스는 쪼렙입니다만,수피 (지은이) , 한문화 ,2023-01-01,10500,0.0,건강/취미,가정/생활,2023-02-23
  13    ,브레인 리부트,"크리스틴 윌르마이어 (지은이), 김나연 (옮긴이) ", 부키 ,2023-02-01,13000,5.0,건강/취미,가정/생활,2023-02-23
  14    ,피톨로지 피트니스 영양학,"이호욱, 정자람 (지은이) ", 예문당 ,2021-09-01,11000,3.5,건강/취미,가정/생활,2023-02-23
  15    ,김대리의 쉽게 뜨는 요즘 니트,김대리(바늘이야기) (지은이) , 웅진리빙하우스 ,2022-01-01,13800,4.5,건강/취미,가정/생활,2023-02-23
  16    ,핏블리의 헬스 다이어트 전략집,핏블리(문석기) (지은이) , 비타북스 ,2021-06-01,10500,5.0,건강/취미,가정/생활,2023-02-23
  17    ,지방 대사 켜는 스위치온 다이어트,박용우 (지은이) , 루미너스 ,2019-01-01,9800,4.5,건강/취미,가정/생활,2023-02-23
  18    ,STOP! SMOKING : 스탑 스모킹,"알렌 카 (지은이), 심교준 (옮긴이) ", 한언출판사 ,2015-06-01,8900,4.5,건강/취미,가정/생활,2023-02-23
  19    ,열방약국 유방암 상담소,김훈하 (지은이) , 리더북스 ,2022-01-01,10000,5.0,건강/취미,가정/생활,2023-02-23
  20    ,자율신경계,"고바야시 히로유키 (지은이), 박주홍 (감수) ", 성안당 ,2022-12-01,7800,4.5,건강/취미,가정/생활,2023-02-23
  21    ,노화의 종말,"매슈 D. 러플랜트, 데이비드 A. 싱클레어 (지은이), 이한음 (옮긴이) ", 부키 ,2020-08-01,15500,4.0,건강/취미,가정/생활,2023-02-23
  22    ,축구를 하며 생각한 것들,손흥민 (지은이) , 브레인스토어 ,2022-11-01,12600,4.5,건강/취미,가정/생활,2023-02-23
  23    ,핏블리의 다이어트 식단 전략집,"핏블리(문석기), 조은비(핑크힙 응비) (지은이) ", 비타북스 ,2022-07-01,11900,4.5,건강/취미,가정/생활,2023-02-23
  24    ,먹고 단식하고 먹어라,"브래드 필론 (지은이), 박종윤 (옮긴이), 고수민 (감수) ", 36.5 ,2013-06-01,11200,4.5,건강/취미,가정/생활,2023-02-23
  25    ,기적의 식단,이영훈 (지은이) , 북드림 ,2021-11-01,16500,5.0,건강/취미,가정/생활,2023-02-23
  26    ,된다! 깨비의 DSLR&미러리스 사진 수업,박기덕 (지은이) , 이지스퍼블리싱 (주) ,2022-01-01,12000,5.0,건강/취미,가정/생활,2023-02-23
  27    ,건강과 치유의 비밀,"안드레아스 모리츠 (지은이), 정진근 (옮긴이) ", 에디터 ,2020-11-01,22800,5.0,건강/취미,가정/생활,2023-02-23
  28    ,80세의 벽,"와다 히데키 (지은이), 김동연 (옮긴이) ", 한즈미디어 ,2022-12-01,11100,5.0,건강/취미,가정/생활,2023-02-23
  29    ,요리하는 다이어터의 맛있게 살 빼는 다이어트 레시피	,이은경 (지은이) , 메가스터디BOOKS	 ,2023-01-01,12600,5.0,건강/취미,가정/생활,2023-02-23
  30    ,근육이 연금보다 강하다 : 건강나이를 10년 앞당기는 최강의 근력 운동,김헌경 (지은이) , 비타북스 ,2019-08-01,10300,4.5,건강/취미,가정/생활,2023-02-23
  31    ,신체와 질병의 구조,"윤관현, 김희성 (옮긴이), 다나카 후미히코 (감수) ", 성안당 ,2022-05-01,13200,0.0,건강/취미,가정/생활,2023-02-23
  32    ,밤의 숨소리,치아(治我) (지은이) , FIKA(피카) ,2021-03-01,11550,5.0,건강/취미,가정/생활,2023-02-23
  33    ,다이어트 불변의 법칙,"하비 다이아몬드 (지은이), 강신원 (옮긴이) ", 사이몬북스 ,2021-09-01,9000,4.5,건강/취미,가정/생활,2023-02-23
  34    ,염증 해방,정세연 (지은이) , 다산라이프 ,2022-11-01,12600,5.0,건강/취미,가정/생활,2023-02-23
  35    ,그 여자의 섹스 : 내 남자를 위한 사랑의 기술,"이안 커너 (지은이), 전광철 (옮긴이) ", S플레이북 ,2014-10-01,5000,4.0,건강/취미,가정/생활,2023-02-23
  36    ,섹스의 기술 (합본),이영기 (지은이) , 볼륨 ,2012-08-01,25000,0.0,건강/취미,가정/생활,2023-02-23
  37    ,독소를 비우는 몸,"지미 무어, 제이슨 펑 (지은이), 이문영 (옮긴이), 양준상 (감수) ", 라이팅하우스 ,2018-08-01,15000,4.5,건강/취미,가정/생활,2023-02-23
  38    ,나는 스마트폰으로 매일 인생사진 찍는다,방쿤 (지은이) , T.W.I.G(티더블유아이지)(주) ,2021-06-01,9900,5.0,건강/취미,가정/생활,2023-02-23
  39    ,섹스 잘하는 남자 만들기,"미츠이 쿄코 (지은이), 스미 신사쿠 (그림), 이솔 (옮긴이) ", S플레이북 ,2014-01-01,8000,4.0,건강/취미,가정/생활,2023-02-23
  40    ,내 강아지 마음 상담소,강형욱 (지은이) , 혜다 ,2020-02-01,13320,5.0,건강/취미,가정/생활,2023-02-23
  41    ,당신의 몸짓은 개에게 무엇을 말하는가,"패트리샤 맥코넬 (지은이), 신남식, 김소희 (옮긴이) ", 페티앙북스 ,2012-01-01,10800,4.5,건강/취미,가정/생활,2023-02-23
  42    ,달리기의 모든 것,남혁우 (지은이) , 매일경제신문사 ,2022-03-01,11000,5.0,건강/취미,가정/생활,2023-02-23
  43    ,힐링 코드,"알렉산더 로이드, 벤 존슨 (지은이), 이문영 (옮긴이) ", 시공사 ,2022-08-01,11800,4.5,건강/취미,가정/생활,2023-02-23
  44    ,조금씩 천천히 자연식물식,이의철 (지은이) , 니들북 ,2021-03-01,13090,4.5,건강/취미,가정/생활,2023-02-23
  45    ,"채식은 어렵지만, 채소 습관",홍성란 (지은이) , 휴머니스트 ,2019-07-01,8190,4.5,건강/취미,가정/생활,2023-02-23
  46    ,의사의 반란,신우섭 (지은이) , 에디터 ,2014-11-01,8400,4.5,건강/취미,가정/생활,2023-02-23
  47    ,미라클 브레인 푸드,"우마 나이두 (지은이), 김지혜 (옮긴이) ", 북라이프 ,2021-05-01,13860,5.0,건강/취미,가정/생활,2023-02-23
  48    ,체스 챔피언,김도윤 (지은이) , 성안당 ,2022-08-01,17600,5.0,건강/취미,가정/생활,2023-02-23
  49    ,아이패드로 캐릭터 디자인 with 프로크리에이트,"3dtotal Publishing (지은이), 김혜연 (옮긴이) ", 이지스퍼블리싱 (주) ,2022-04-01,14000,5.0,건강/취미,가정/생활,2023-02-23
  50    ,30일 5분 달리기,김성우 (지은이) , HB PRESS ,2021-09-01,11200,5.0,건강/취미,가정/생활,2023-02-23
  51    ,갱년기 교과서,"다카오 미호 (지은이), 박승희 (옮긴이), 정문영 (감수) ", 즐거운상상 ,2022-11-01,10500,4.5,건강/취미,가정/생활,2023-02-23
  52    ,인요가,"버니 클락 (지은이), 이상희, 지문 (옮긴이) ", 판미동 ,2023-01-01,17010,5.0,건강/취미,가정/생활,2023-02-23
  53    ,운동 말고 움직임 리셋,홍정기 (지은이) , EBS BOOKS ,2022-01-01,11200,5.0,건강/취미,가정/생활,2023-02-23
  54    ,축구직업설명서,"김환, 정다워 (지은이) ", 풋볼리스트 ,2016-12-01,9900,4.5,건강/취미,가정/생활,2023-02-23
  55    ,아파도 괜찮아,진정주 (지은이) , 행복에너지 ,2019-02-01,9750,5.0,건강/취미,가정/생활,2023-02-23
  56    ,대장암 수술 후 식사 가이드,삼성서울병원 대장암센터 (지은이) , 싸이프레스 ,2019-09-01,13500,0.0,건강/취미,가정/생활,2023-02-23
  57    ,하루 한 끼의 기적,이태근 (지은이) , 정신세계사 ,2016-12-01,8400,4.0,건강/취미,가정/생활,2023-02-23
  58    ,왜 우리는 전통 음식을 먹어야 하는가,"캐서린 섀너핸, 루크 섀너핸 (지은이), 박리라 (옮긴이) ", 에코리브르 ,2018-07-01,15000,4.5,건강/취미,가정/생활,2023-02-23
  59    ,질병을 치료하는 약초 사용 백과 - 장에 좋은 약초,조경남 (지은이) , 푸른행복출판사 ,2021-08-01,990,0.0,건강/취미,가정/생활,2023-02-23
  60    ,최현우의 마법 타로,최현우 (지은이) , 넥서스BOOKS ,2020-12-01,11600,4.5,건강/취미,가정/생활,2023-02-23
  61    ,질병을 치료하는 약초 사용 백과 - 간에 좋은 약초,조경남 (지은이) , 푸른행복출판사 ,2021-08-01,990,0.0,건강/취미,가정/생활,2023-02-23
  62    ,면역력,"이시하라 니나 (지은이), 김혜숙 (옮긴이), 박주홍 (감수) ", 성안당 ,2022-12-01,7800,5.0,건강/취미,가정/생활,2023-02-23
  63    ,"질병을 치료하는 약초 사용 백과 - 요통, 관절염에 좋은 약초",조경남 (지은이) , 푸른행복출판사 ,2021-08-01,990,0.0,건강/취미,가정/생활,2023-02-23
  64    ,굿바이 과민대장증후군,이진원 (지은이) , 바른북스 ,2022-08-01,10500,4.5,건강/취미,가정/생활,2023-02-23
  65    ,"질병을 치료하는 약초 사용 백과 - 비염, 축농증에 좋은 약초",조경남 (지은이) , 푸른행복출판사 ,2021-08-01,990,0.0,건강/취미,가정/생활,2023-02-23
